ÝLÇE ADI;MAHALLE ADI;TARIMSAL SULAMA SUYU
Altýnekin;OÐUZELÝ;VAR
Altýnekin;AKCAÞAR;VAR
Altýnekin;AYIÞIÐI;YOK
Altýnekin;AKKÖY;VAR
Altýnekin;BORUKKUYU;VAR
Altýnekin;HACINUMAN;VAR
Altýnekin;KARAKAYA;VAR
Altýnekin;KOÇAÞ;VAR
Altýnekin;KOÇYAKA;VAR
Altýnekin;MANTAR;VAR
Altýnekin;YENÝÖLMEZ;VAR
Altýnekin;SARNIÇ;VAR
Altýnekin;TOPRAKLIK;VAR
Altýnekin;YENÝKUYU;VAR
Altýnekin;YENÝYAYLA;VAR
Altýnekin;DEDELER;VAR
Altýnekin;AKINCILAR;VAR
Beyþehir;ADAKÖY;VAR
Beyþehir;AÐILÖNÜ;VAR
Beyþehir;AKBURUN;VAR
Beyþehir;AKÇABELEN;VAR
Beyþehir;AVDANCIK;YOK
Beyþehir;BADEMLÝ;YOK
Beyþehir;BAYAT;VAR
Beyþehir;BAYAVÞAR;VAR
Beyþehir;BAYINDIR;VAR
Beyþehir;BAÞGÖZE;VAR
Beyþehir;BEKDEMÝR;VAR
Beyþehir;DAMLAPINAR;VAR
Beyþehir;DOÐANBEY;VAR
Beyþehir;DOÐANCIK;VAR
Beyþehir;DUMANLI;VAR
Beyþehir;EMEN;VAR
Beyþehir;ESENCE;VAR
Beyþehir;EYLÝKLER;VAR
Beyþehir;EÐÝRLER;VAR
Beyþehir;FASILLAR;VAR
Beyþehir;GÖKÇEKUYU;VAR
Beyþehir;GÖKÇÝMEN;VAR
Beyþehir;GÖLKAÞI;VAR
Beyþehir;GÖLYAKA;VAR
Beyþehir;GÖNEN;VAR
Beyþehir;GÖÇÜ;VAR
Beyþehir;GÜNDOÐDU;VAR
Beyþehir;HUÐLU;VAR
Beyþehir;HÜSEYÝNLER;VAR
Beyþehir;ÝSAKÖY;VAR
Beyþehir;KARAALÝ;VAR
Beyþehir;KARABAYAT;VAR
Beyþehir;KARADÝKEN;VAR
Beyþehir;KARAHÝSAR;VAR
Beyþehir;KAYABAÞI;VAR
Beyþehir;KURUCUOVA;VAR
Beyþehir;KUÞLUCA;VAR
Beyþehir;KÜÇÜKAVÞAR;VAR
Beyþehir;MESUTLAR;VAR
Beyþehir;SADIKHACI;VAR
Beyþehir;SARIKÖY;VAR
Beyþehir;SEVÝNDÝK;VAR
Beyþehir;ÞAMLAR;VAR
Beyþehir;ÜÇPINAR;VAR
Beyþehir;ÜSTÜNLER;VAR
Beyþehir;ÜZÜMLÜ;VAR
Beyþehir;YAZYURDU;VAR
Beyþehir;YENÝDOÐAN;VAR
Beyþehir;YEÞÝLDAÐ;VAR
Beyþehir;YUKARIESENCE;VAR
Beyþehir;YUNUSLAR;YOK
Beyþehir;ÇÝFTLÝK;VAR
Beyþehir;ÇÝVRÝL;VAR
Beyþehir;ÇUKURAÐIL;VAR
Bozkýr;ÇAÐLAYAN;VAR
Bozkýr;HAMZALAR;VAR
Bozkýr;AKÇAPINAR;VAR
Bozkýr;ARMUTLU;VAR
Bozkýr;ARSLANTAÞ;VAR
Bozkýr;AYDINKIÞLA;VAR
Bozkýr;AYVALCA;VAR
Bozkýr;BAÐYURDU;VAR
Bozkýr;BAYBAÐAN;VAR
Bozkýr;BOZDAM;VAR
Bozkýr;DEREÝÇÝ;VAR
Bozkýr;DEREKÖY;VAR
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;VAR
Bozkýr;HACIYUNUSLAR;VAR
Bozkýr;HARMANPINAR;VAR
Bozkýr;HÝSARLIK;VAR
Bozkýr;IÞIKLAR;VAR
Bozkýr;KARABAYIR;VAR
Bozkýr;KARACAARDIÇ;VAR
Bozkýr;KARACAHÝSAR;VAR
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;VAR
Bozkýr;KAYAPINAR;VAR
Bozkýr;KINIK;VAR
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;VAR
Bozkýr;KOVANLIK;VAR
Bozkýr;KOZAÐAÇ;VAR
Bozkýr;KUÞÇA;VAR
Bozkýr;KÜÇÜKHÝSARLIK;VAR
Bozkýr;PINARCIK;VAR
Bozkýr;SARIOÐLAN;VAR
Bozkýr;SAZLI;VAR
Bozkýr;SOÐUCAK;VAR
Bozkýr;SORKUN;VAR
Bozkýr;SÖÐÜT;VAR
Bozkýr;TARLABAÞI;VAR
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;VAR
Bozkýr;TEPELÝCE;VAR
Bozkýr;ULUPINAR;VAR
Bozkýr;ÜÇPINAR;VAR
Bozkýr;YALNIZCA;VAR
Bozkýr;YAZDAMI;VAR
Bozkýr;YELBEYÝ;VAR
Bozkýr;YENÝKÖY;VAR
Bozkýr;YOLÖREN;VAR
Çeltik;GÖKPINAR;VAR
Çeltik;ADAKASIM;VAR
Çeltik;DOÐANYURT;VAR
Çeltik;KAÞÖREN;VAR
Çeltik;KÜÇÜKHASAN;VAR
Çeltik;TORUNLAR;VAR
Çeltik;ÝSHAKUÞAÐI;VAR
Çeltik;HONAMLI;VAR
Cihanbeyli;BÖÐRÜDELÝK;VAR
Cihanbeyli;YAPALI;VAR
Cihanbeyli;YENÝCEOBA;VAR
Cihanbeyli;CUMHURÝYET;YOK
Cihanbeyli;GEMECÝK;VAR
Cihanbeyli;GÖKTEPE;VAR
Cihanbeyli;AÐABEYLÝ;VAR
Cihanbeyli;HODOÐLU;YOK
Cihanbeyli;KAYI;VAR
Cihanbeyli;KIRKIÞLA;VAR
Cihanbeyli;KORKMAZLAR;VAR
Cihanbeyli;KÜÇÜKBEÞKAVAK;VAR
Cihanbeyli;MUTLUKONAK;VAR
Cihanbeyli;SAÐLIK;YOK
Cihanbeyli;SIÐIRCIK;VAR
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇÝPINAR;VAR
Cihanbeyli;UZUNCAYAYLA;VAR
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERÝYE;VAR
Cihanbeyli;GÖLYAZI;VAR
Cihanbeyli;GÜNYÜZÜ;VAR
Cihanbeyli;ÝNSUYU;VAR
Cihanbeyli;KANDÝL;VAR
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;VAR
Cihanbeyli;KUÞCA;VAR
Cihanbeyli;KÜTÜKUÞAÐI;VAR
Cihanbeyli;TAÞPINAR;VAR
Cihanbeyli;BEYLÝOVA;VAR
Cihanbeyli;ÇÝMEN;VAR
Cihanbeyli;ÇÖL;VAR
Cihanbeyli;DAMLAKUYU;VAR
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;VAR
Çumra;DEDEMOÐLU;VAR
Çumra;TÜRKMENCAMÝLÝ;VAR
Çumra;A.B.HÜYÜÐÜ;VAR
Çumra;DÝNEK;VAR
Çumra;ÝÇERÝÇUMRA;VAR
Çumra;GÜVERCÝNLÝK;VAR
Çumra;KARKIN;VAR
Çumra;OKÇU;VAR
Çumra;YENÝSU;VAR
Çumra;APA;VAR
Çumra;ABDÝTOLU;VAR
Çumra;ADAKALE;VAR
Çumra;ALEMDAR;VAR
Çumra;APASARAYCIK;VAR
Çumra;AFÞAR;YOK
Çumra;AVDUL;VAR
Çumra;BALÇIKHÝSAR;VAR
Çumra;BEYLERCE;VAR
Çumra;B.AÞLAMA;VAR
Çumra;CÝCEK;VAR
Çumra;ÇUKURKAVAK;VAR
Çumra;DÝNLENDÝK;VAR
Çumra;DÝNEKSARAY;VAR
Çumra;DOÐANLI;VAR
Çumra;FETHÝYE;VAR
Çumra;GÖKHÜYÜK;VAR
Çumra;ERENTEPE;VAR
Çumra;ÝNLÝ;VAR
Çumra;KUZUCU;VAR
Çumra;KÜÇÜKKÖY;VAR
Çumra;SEÇME;VAR
Çumra;SÜRGÜÇ;VAR
Çumra;TAHTALI;VAR
Çumra;T.KARAHÜYÜK;VAR
Çumra;TAÞAÐIL;VAR
Çumra;UZUNKUYU;VAR
Çumra;ÜÇHÜYÜK;VAR
Çumra;ÜRÜNLÜ;VAR
Çumra;YÖRÜKCAMÝLÝ;VAR
Çumra;ÇAYBAÞI;VAR
Derbent;ÇÝFTLÝKÖZÜ;VAR
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;VAR
Derbent;GÜNEYKÖY;VAR
Derbent;MÜLAYÝM;YOK
Derbent;SARAYPINAR;VAR
Derbent;YASSIÖREN;VAR
Derbent;SÜLEYMAN;VAR
Derbent;KARALAR;VAR
Derebucak;ÇAMLIK;VAR
Derebucak;DURAK;YOK
Derebucak;GENCEK;VAR
Derebucak;GÖYNEM;VAR
Derebucak;PINARBAÞI;VAR
Derebucak;TAÞLIPINAR;VAR
Derebucak;TEPEARASI;VAR
Derebucak;UÐURLU;VAR
Doðanhisar;BAÞKÖY;VAR
Doðanhisar;YAZLICA;VAR
Doðanhisar;AYASLAR;VAR
Doðanhisar;ÇINAROBA;VAR
Doðanhisar;DEÞTÝÐÝN;VAR
Doðanhisar;FIRINLI;VAR
Doðanhisar;GÜVENDÝK;VAR
Doðanhisar;ÝLYASLAR;VAR
Doðanhisar;KARAAÐA;VAR
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;VAR
Doðanhisar;KONAKKALE;VAR
Doðanhisar;TEKKE;VAR
Doðanhisar;UNCULAR;VAR
Doðanhisar;YAZIR;VAR
Doðanhisar;YENÝCE;VAR
Emirgazi;EKÝZLÝ;VAR
Emirgazi;AKMESCÝT;VAR
Emirgazi;BESCÝ;VAR
Emirgazi;DEMÝRCÝ;VAR
Emirgazi;GÖLÖREN;VAR
Emirgazi;IÞIKLAR;VAR
Emirgazi;KARAÖREN;VAR
Emirgazi;MEÞELÝ;VAR
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;VAR
Ereðli;ZENGEN;VAR
Ereðli;ACIPINAR;VAR
Ereðli;ADABAÐ;VAR
Ereðli;AKHÜYÜK;VAR
Ereðli;ALHAN;VAR
Ereðli;AÞAÐI GÖNDELEN;VAR
Ereðli;AÞIKLAR;VAR
Ereðli;AZÝZÝYE;VAR
Ereðli;BAHÇELÝ;VAR
Ereðli;BELCEAÐAÇ;VAR
Ereðli;BELKAYA;VAR
Ereðli;BEYKÖY;VAR
Ereðli;BEYÖREN;VAR
Ereðli;BULGURLUK;VAR
Ereðli;BURHANÝYE;VAR
Ereðli;BÜYÜKDEDE;VAR
Ereðli;ÇAKMAK;VAR
Ereðli;ÇAYHAN;VAR
Ereðli;ÇÝLLER;VAR
Ereðli;ÇÝMENCÝK;VAR
Ereðli;GAYBÝ;VAR
Ereðli;GÖKÇEYAZI;VAR
Ereðli;GÖKTÖME;VAR
Ereðli;HACIMEMÝÞ;VAR
Ereðli;KAMIÞLIKUYU;VAR
Ereðli;KARABURUN;VAR
Ereðli;KARGACI;VAR
Ereðli;KIZILGEDÝK;YOK
Ereðli;KUSKUNCUK;VAR
Ereðli;KUTÖREN;VAR
Ereðli;KUZUKUYU;VAR
Ereðli;MELÝCEK;VAR
Ereðli;ORHANÝYE;VAR
Ereðli;ÖZGÜRLER;VAR
Ereðli;PINARÖZÜ;VAR
Ereðli;SARICA;VAR
Ereðli;SARITOPALLI;VAR
Ereðli;SELVÝLÝ;VAR
Ereðli;TAÞAÐIL;VAR
Ereðli;TAÞBUDAK;VAR
Ereðli;TATLIKUYU;VAR
Ereðli;TÜRKMEN;VAR
Ereðli;ULUMEÞE;VAR
Ereðli;YAZLIK;VAR
Ereðli;YELLÝCE;VAR
Ereðli;YENÝKÖY;VAR
Ereðli;YILDIZLI;VAR
Ereðli;YUKARIGÖNDELEN;VAR
Ereðli;HORTU;VAR
Ereðli;ACIKUYU;VAR
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;VAR
Güneysýnýr;ALANÖZÜ;VAR
Güneysýnýr;AVCITEPE;VAR
Güneysýnýr;AYDOÐMUÞ;YOK
Güneysýnýr;HABÝLLER;VAR
Güneysýnýr;KARAGÜNEY;VAR
Güneysýnýr;KAYAAÐZI;VAR
Güneysýnýr;KIZILÖZ;VAR
Güneysýnýr;KURUKAVAK;VAR
Güneysýnýr;MEHMET ALÝ;VAR
Güneysýnýr;ÖMEROÐLU;VAR
Güneysýnýr;ÖRENBOYALI;VAR
Güneysýnýr;SARIHACI;VAR
Hadim;AÞAÐIEÞENLER;VAR
Hadim;AÞAÐIKIZILKAYA;VAR
Hadim;BADEMLÝ;VAR
Hadim;BAÐBAÞI;VAR
Hadim;BEYRELÝ;VAR
Hadim;BOLAT;VAR
Hadim;ÇÝFTEPINAR;VAR
Hadim;DEDEMLÝ;VAR
Hadim;DÜLGERLER;VAR
Hadim;FAKILAR;VAR
Hadim;GAZÝLER;VAR
Hadim;GÖYNÜKKIÞLA;VAR
Hadim;GÜLPINAR;VAR
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;VAR
Hadim;KAPLANLI;VAR
Hadim;GEZLEVÝ;VAR
Hadim;KÜPLÜCE;VAR
Hadim;ODUNCU;VAR
Hadim;SARNIÇ;VAR
Hadim;SELAHATTÝN;VAR
Hadim;UMURLAR;VAR
Hadim;YAÐCI;VAR
Hadim;YALINÇEVRE;VAR
Hadim;YELMEZ;VAR
Hadim;YENÝKONAK;VAR
Hadim;YUKARIEÞENLER;VAR
Halkapýnar;ÝVRÝZ;VAR
Halkapýnar;BÜYÜKDOÐAN;VAR
Halkapýnar;DEDELÝ;VAR
Halkapýnar;DELÝMAHMUTLU;VAR
Halkapýnar;ESKÝHÝSAR;VAR
Halkapýnar;KARAYUSUFLU;VAR
Halkapýnar;KAYASARAY;VAR
Halkapýnar;KÖRLÜ;VAR
Halkapýnar;KÜSERE;VAR
Halkapýnar;OSMANKÖSELÝ;VAR
Halkapýnar;SEYDÝFAKILI;VAR
Halkapýnar;YASSIKAYA;VAR
Halkapýnar;YAYIKLI;VAR
Halkapýnar;YEÞÝLYURT;VAR
Halkapýnar;ÇAKILLAR;VAR
Hüyük;BAÞLAMIÞ;VAR
Hüyük;BUDAK;VAR
Hüyük;BURUNSUZ;VAR
Hüyük;ÇAMLICA;VAR
Hüyük;ÇAVUÞ;VAR
Hüyük;ÇUKURKENT;VAR
Hüyük;DEÐÝRMENALTI;VAR
Hüyük;GÖÇERÝ;VAR
Hüyük;GÖRÜNMEZ;VAR
Hüyük;ÝLMEN;VAR
Hüyük;ÝMRENLER;VAR
Hüyük;KIRELÝ;VAR
Hüyük;KÖÞK;VAR
Hüyük;MUTLU;VAR
Hüyük;PINARBAÞI;VAR
Hüyük;SELKÝ;VAR
Hüyük;SULUDERE;VAR
Hüyük;TOLCA;VAR
Hüyük;YENÝCE;VAR
Ilgýn;ARGITHANI;VAR
Ilgýn;BEYKONAK;VAR
Ilgýn;ÇAVUÞÇUGÖL;VAR
Ilgýn;AÐALAR;VAR
Ilgýn;BALKI;VAR
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;VAR
Ilgýn;BOÐAZKENT;VAR
Ilgýn;BULCUK;VAR
Ilgýn;BÜYÜKOBA;VAR
Ilgýn;ÇÝÐÝL;VAR
Ilgýn;ÇATAK;YOK
Ilgýn;ÇOBANKAYA;YOK
Ilgýn;ÇÖMLEKCÝ;YOK
Ilgýn;DEREKÖY;VAR
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;VAR
Ilgýn;ELDEÞ;VAR
Ilgýn;GEÇÝT;VAR
Ilgýn;GEDÝKÖREN;VAR
Ilgýn;GÖSTERE;VAR
Ilgýn;GÖKÇEYURT;VAR
Ilgýn;GÖLYAKA;VAR
Ilgýn;GÖKBUDAK;VAR
Ilgýn;GÜNEYPINAR;VAR
Ilgýn;HARMANYAZI;VAR
Ilgýn;ÝHSANÝYE;VAR
Ilgýn;KAPAKLI;VAR
Ilgýn;KARAKÖY;VAR
Ilgýn;KALEKÖY;VAR
Ilgýn;MAHMUTHÝSAR;VAR
Ilgýn;MECÝDÝYE;VAR
Ilgýn;MÝSAFÝRLÝ;VAR
Ilgýn;OLUKPINAR;VAR
Ilgýn;ORHANÝYE;VAR
Ilgýn;ORMANÖZÜ;VAR
Ilgýn;SADIKKÖY;VAR
Ilgýn;SEBÝLLER;VAR
Ilgýn;TEKELER;YOK
Ilgýn;YUKARIÇÝÐÝL;VAR
Ilgýn;YORAZLAR;VAR
Ilgýn;ZAFERÝYE;VAR
Ilgýn;AVDAN;VAR
Kadýnhaný;OSMANCIK;VAR
Kadýnhaný;AFÞARLI;VAR
Kadýnhaný;ALABAÐ;VAR
Kadýnhaný;ATLANTI;VAR
Kadýnhaný;BAKIRPINAR;VAR
Kadýnhaný;BAÞKUYU;VAR
Kadýnhaný;BAYRAMLI;VAR
Kadýnhaný;BEYKAVAÐI;VAR
Kadýnhaný;BULGURPINAR;VAR
Kadýnhaný;ÇAVDAR;VAR
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;VAR
Kadýnhaný;HACIMEHMETLÝ;VAR
Kadýnhaný;HACIOFLAZLAR;VAR
Kadýnhaný;HACIPÝRLÝ;VAR
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;VAR
Kadýnhaný;KARAHÝSARLI;VAR
Kadýnhaný;KARAKURTLU;VAR
Kadýnhaný;KARASEVÝNÇ;YOK
Kadýnhaný;KARAYÜRÜKLÜ;VAR
Kadýnhaný;KIZILKUYU;VAR
Kadýnhaný;KOLUKISA;VAR
Kadýnhaný;KONURÖREN;VAR
Kadýnhaný;KÖKEZ;VAR
Kadýnhaný;KÖYLÜTOLU;VAR
Kadýnhaný;KURTHASANLI;VAR
Kadýnhaný;KÜÇÜKKUYU;VAR
Kadýnhaný;MAHMUDÝYE;VAR
Kadýnhaný;MEYDANLI;VAR
Kadýnhaný;ÖRNEK;VAR
Kadýnhaný;PÝRALÝ;YOK
Kadýnhaný;PUSAT;VAR
Kadýnhaný;SAÇIKARA;VAR
Kadýnhaný;SARIKAYA;YOK
Kadýnhaný;SÖÐÜTÖZÜ;VAR
Kadýnhaný;ÞAHÖREN;VAR
Kadýnhaný;TOSUNOÐLU;VAR
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;VAR
Karapýnar;HOTAMIÞ;VAR
Karapýnar;KESMEZ;VAR
Karapýnar;AKÇAYAZI;VAR
Karapýnar;AKÖREN;VAR
Karapýnar;ÇÝÐÝL;VAR
Karapýnar;HASANOBA;VAR
Karapýnar;ÝSLÝK;VAR
Karapýnar;KARAKIÞLA;VAR
Karapýnar;KAYACIK;VAR
Karapýnar;KAYALI;VAR
Karapýnar;KAZANHÜYÜÐÜ;VAR
Karapýnar;KÜÇÜKAÞLAMA;VAR
Karapýnar;ORTAOBA;VAR
Karapýnar;OYMALI;VAR
Karapýnar;SAZLIPINAR;VAR
Karapýnar;YAÐMAPINAR;VAR
Karapýnar;YENÝKUYU;VAR
Karapýnar;YEÞÝLYURT;VAR
Karatay;YARMA;VAR
Karatay;ACIDORT;VAR
Karatay;AÐSAKLI;VAR
Karatay;AKBAÞ;VAR
Karatay;AKÖRENKIÞLA;VAR
Karatay;BAKIRTOLU;VAR
Karatay;BAÞGÖTÜREN;VAR
Karatay;BEÞAÐIL;VAR
Karatay;BÜYÜKBURNAK;VAR
Karatay;ÇENGÝLTÝ;VAR
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;VAR
Karatay;GÖÇÜ;VAR
Karatay;HAYIROÐLU MERKEZ;VAR
Karatay;ÝPEKLER;VAR
Karatay;ÝSMÝL;VAR
Karatay;KARADONA;VAR
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;VAR
Karatay;KIZÖREN;VAR
Karatay;KÖSEALÝ;VAR
Karatay;OBRUK;VAR
Karatay;OVAKAVAÐI;VAR
Karatay;SAKYATAN;VAR
Karatay;SÜRÜÇ;VAR
Karatay;ÞATIR;VAR
Karatay;YAÐLIBAYAT;VAR
Karatay;YAVÞANKUYU;VAR
Karatay;YENÝCE;VAR
Karatay;YENÝKENT;VAR
Karatay;ZÝNCÝRLÝ;VAR
Kulu;ACIKUYU;VAR
Kulu;AÐILBAÞI;VAR
Kulu;ALTILAR;VAR
Kulu;ARÞINCA;VAR
Kulu;BEÞKARDEÞ;YOK
Kulu;BOÐAZÖREN;YOK
Kulu;BOZAN;VAR
Kulu;BURUNAÐIL;VAR
Kulu;CANIMANA;VAR
Kulu;CELEP;VAR
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;VAR
Kulu;FEVZÝYE;VAR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;VAR
Kulu;HÝSAR;YOK
Kulu;KARACADAÐ;VAR
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;VAR
Kulu;KÖMÜÞÝNÝ;YOK
Kulu;KÖÞKER;YOK
Kulu;SARIYAYLA;VAR
Kulu;SEYÝTAHMETLÝ;VAR
Kulu;SOÐUKKUYU;VAR
Kulu;ÞEREFLÝ;VAR
Kulu;TAVLIÖREN;VAR
Kulu;ÖMERANLI;VAR
Kulu;TUZYAKA;VAR
Kulu;YARAÞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEÞÝLTEPE;VAR
Kulu;YEÞÝLYURT;VAR
Kulu;ZÝNCÝRLÝKUYU;VAR
Kulu;BAHADIRLI;VAR
Kulu;DEÐÝRMENÖZÜ;VAR
Meram;ERENKAYA;YOK
Meram;YATAÐAN;VAR
Meram;GÖKYURT;VAR
Meram;BAYAT;VAR
Meram;BORUKTOLU;VAR
Meram;BOTSA;VAR
Meram;ÇAYIRBAÐI;VAR
Meram;ÇOMAKLAR;VAR
Meram;ÇUKURÇÝMEN;VAR
Meram;EVLÝYATEKKE;VAR
Meram;HATUNSARAY;VAR
Meram;ÝKÝPINAR;VAR
Meram;ÝLYASBABA;VAR
Meram;ÝNLÝCE;VAR
Meram;KARAAÐAÇ;YOK
Meram;KAVAK;VAR
Meram;KAYADÝBÝ;VAR
Meram;KAYALI;VAR
Meram;KAYHÜYÜK;VAR
Meram;KIZILÖREN;VAR
Meram;KUMRALI;VAR
Meram;SADIKLAR;VAR
Meram;SAÐLIK;VAR
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;VAR
Meram;YEÞÝLDERE;VAR
Meram;YEÞÝLTEKKE;VAR
Meram;KAÞINHANI;VAR
Sarayönü;LADÝK;VAR
Sarayönü;BAHÇESARAY;VAR
Sarayönü;BAÞHÜYÜK;VAR
Sarayönü;BOYALI;VAR
Sarayönü;BÜYÜKZENGÝ;VAR
Sarayönü;ÇEÞMELÝSEBÝL;VAR
Sarayönü;DEÐÝRMENLÝ;VAR
Sarayönü;ERTUÐRUL;VAR
Sarayönü;GÖZLÜ;VAR
Sarayönü;KADIOÐLU;VAR
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;VAR
Sarayönü;KAYIÖREN;VAR
Sarayönü;KONAR;VAR
Sarayönü;KURÞUNLU;YOK
Sarayönü;KUYULUSEBÝL;VAR
Sarayönü;ÖZKENT;VAR
Sarayönü;YENÝCEKAYA;VAR
Selçuklu;BAÞARAKAVAK;
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;VAR
Selçuklu;BAÐRIKURT;YOK
Selçuklu;BÝÇER;YOK
Selçuklu;ÇALDERE;VAR
Selçuklu;ÇALTI;VAR
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;VAR
Selçuklu;EÐRÝBAYAT;VAR
Selçuklu;GÜVENÇ;VAR
Selçuklu;KALE;VAR
Selçuklu;KARAÖMERLER;VAR
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;VAR
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTÝN;VAR
Selçuklu;SIZMA;VAR
Selçuklu;TEPEKENT;VAR
Selçuklu;ULUMUHSÝNE;VAR
Selçuklu;YAZIBELEN;VAR
Selçuklu;SÝLLE;VAR
Selçuklu;ARDIÇLI;VAR
Selçuklu;AÞAÐIPINARBAÞI;VAR
Selçuklu;YUKARIPINARBAÞI;VAR
Selçuklu;KÜÇÜKMUHSÝNE;VAR
Selçuklu;SARICALAR;VAR
Selçuklu;TÖMEK;VAR
Selçuklu;YÜKSELEN;VAR
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;VAR
Seydiþehir;AKÇALAR;VAR
Seydiþehir;AÞAÐIKARAÖREN;VAR
Seydiþehir;BAÞKARAÖREN;VAR
Seydiþehir;BOSTANDERE;VAR
Seydiþehir;BOYALI;VAR
Seydiþehir;BÜKÇE;VAR
Seydiþehir;ÇAT;VAR
Seydiþehir;ÇATMAKAYA;VAR
Seydiþehir;ÇAVUÞ;VAR
Seydiþehir;DÝKÝLÝTAÞ;VAR
Seydiþehir;GEVREKLÝ;VAR
Seydiþehir;GÖKÇEHÜYÜK;VAR
Seydiþehir;GÖKHÜYÜK;VAR
Seydiþehir;GÖLYÜZÜ;VAR
Seydiþehir;IRMAKLI;VAR
Seydiþehir;ÝNCESU;VAR
Seydiþehir;KARABULAK;VAR
Seydiþehir;KARACAÖREN;VAR
Seydiþehir;KAVAK;VAR
Seydiþehir;KETENLÝ;VAR
