ÝLÇE ADI;MAHALLE ADI;TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Kulu;KÖÞKER;ÇÖREKOTU, KÝMYON
Kulu;SARIYAYLA;KÝMYON
Kulu;SEYÝTAHMETLÝ;KÝMYON
Kulu;SOÐUKKUYU;KÝMYON
Kulu;ÞEREFLÝ;KÝMYON
Kulu;TAVLIÖREN;KÝMYON
Kulu;ÖMERANLI;KÝMYON
Kulu;TUZYAKA;ÇÖREKOTU, KÝMYON
Kulu;YARAÞLI;KÝMYON
Kulu;YAZIÇAYIR;KÝMYON
Kulu;YEÞÝLTEPE;ÇÖREKOTU, KÝMYON
Kulu;YEÞÝLYURT;KÝMYON
Kulu;ZÝNCÝRLÝKUYU;ÇÖREKOTU, KÝMYON
Kulu;BAHADIRLI;ÇÖREKOTU
Kulu;DEÐÝRMENÖZÜ;ÇÖREKOTU, KÝMYON
Meram;ERENKAYA;YOK
Meram;YATAÐAN;YOK
Meram;GÖKYURT;ÇÖREKOTU, GÝLABURU
Meram;BAYAT;ADA ÇAYI
Meram;BORUKTOLU;YOK
Meram;BOTSA;ASPÝR, ÇÖREKOTU
Meram;ÇAYIRBAÐI;YOK
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇÝMEN;YOK
Meram;EVLÝYATEKKE;ÇÖREKOTU, GÝLABURU
Meram;HATUNSARAY;YOK
Meram;ÝKÝPINAR;YOK
Meram;ÝLYASBABA;YOK
Meram;ÝNLÝCE;YOK
Meram;KARAAÐAÇ;YOK
Meram;KAVAK;YOK
Meram;KAYADÝBÝ;YOK
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;GOJÝ BERRY, KEKÝK, ADA ÇAYI
Meram;KUMRALI;DAÐ ÇAYI, KEKÝK
Meram;SADIKLAR;DAÐ ÇAYI
Meram;SAÐLIK;YOK
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;YOK
Meram;YEÞÝLDERE;YOK
Meram;YEÞÝLTEKKE;ÇÖREKOTU
Meram;KAÞINHANI;LAVANTA, NANE
Sarayönü;LADÝK;ÇÖREKOTU, KÝMYON
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAÞHÜYÜK;YOK
Sarayönü;BOYALI;ÇÖREKOTU
Sarayönü;BÜYÜKZENGÝ;KEKÝK
Sarayönü;ÇEÞMELÝSEBÝL;ÇÖREKOTU, NANE
Sarayönü;DEÐÝRMENLÝ;YOK
Sarayönü;ERTUÐRUL;YOK
Sarayönü;GÖZLÜ;NANE, ADA ÇAYI
Sarayönü;KADIOÐLU;YOK
Sarayönü;KARABIYIK;ANASON, KÝMYON
Sarayönü;KARATEPE;YOK
Sarayönü;KAYIÖREN;KÝMYON
Sarayönü;KONAR;YOK
Sarayönü;KURÞUNLU;YOK
Sarayönü;KUYULUSEBÝL;ANASON, KÝMYON
Sarayönü;ÖZKENT;YOK
Sarayönü;YENÝCEKAYA;YOK
Selçuklu;BAÞARAKAVAK;NANE
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;KEKÝK
Selçuklu;AKPINAR;YOK
Selçuklu;BAÐRIKURT;YOK
Selçuklu;BÝÇER;YOK
Selçuklu;ÇALDERE;KÝMYON
Selçuklu;ÇALTI;YOK
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;YOK
Selçuklu;EÐRÝBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTÝN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;YOK
Selçuklu;ULUMUHSÝNE;ÇÖREKOTU, KEKÝK
Selçuklu;YAZIBELEN;YOK
Selçuklu;SÝLLE;YOK
Selçuklu;ARDIÇLI;YOK
Selçuklu;AÞAÐIPINARBAÞI;YOK
Selçuklu;YUKARIPINARBAÞI;YOK
Selçuklu;KÜÇÜKMUHSÝNE;NANE, KEKÝK, ADA ÇAYI
Selçuklu;SARICALAR;DAÐ ÇAYI, KEKÝK
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;YOK
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;NANE, KEKÝK, ADA ÇAYI
Seydiþehir;AKÇALAR;YOK
Seydiþehir;AÞAÐIKARAÖREN;HAÞHAÞ, SUSAM
Seydiþehir;BAÞKARAÖREN;HAÞHAÞ, SUSAM
Seydiþehir;BOSTANDERE;KATRAN, KEKÝK, PAPATYA
Seydiþehir;BOYALI;HAÞHAÞ
Seydiþehir;BÜKÇE;YOK
Seydiþehir;ÇAT;YOK
Seydiþehir;ÇATMAKAYA;YOK
Seydiþehir;ÇAVUÞ;YOK
Seydiþehir;DÝKÝLÝTAÞ;YOK
Seydiþehir;GEVREKLÝ;YOK
Seydiþehir;GÖKÇEHÜYÜK;YOK
Seydiþehir;GÖKHÜYÜK;YOK
Seydiþehir;GÖLYÜZÜ;YOK
Seydiþehir;IRMAKLI;YOK
Seydiþehir;ÝNCESU;YOK
Seydiþehir;KARABULAK;YOK
Seydiþehir;KARACAÖREN;YOK
Seydiþehir;KAVAK;YOK
Seydiþehir;KETENLÝ;YOK
Seydiþehir;KIZILCA;YOK
Seydiþehir;KOZLU;YOK
Seydiþehir;KUMLUCA;YOK
Seydiþehir;KURAN;YOK
Seydiþehir;MADENLÝ;YOK
Seydiþehir;MESUDÝYE;YOK
Seydiþehir;MURADÝYE;YOK
Seydiþehir;OÐLAKÇI;YOK
Seydiþehir;ORTAKARAÖREN;YOK
Seydiþehir;SARAYCIK;YOK
Seydiþehir;SUSUZ;YOK
Seydiþehir;TARAÞÇI;YOK
Seydiþehir;TAÞAÐIL;YOK
Seydiþehir;TEPECÝK;YOK
Seydiþehir;TOL;SUSAM
Seydiþehir;UFACIK;YOK
Seydiþehir;YAYLACIK;ELMACIK
Seydiþehir;YENÝCE;YOK
Taþkent;AFÞAR;KEKÝK
Taþkent;BALCILAR;KEKÝK, KUÞBURNU, PAPATYA, KIRKKÝLÝT OTU, ALIÇ
Taþkent;BOLAY;YOK
Taþkent;ÇETMÝ;YOK
Taþkent;KECÝMEN;YOK
Taþkent;KONGUL;YOK
Taþkent;SAZAK;YOK
Taþkent;ILICAPINAR;YOK
Tuzlukçu;KONARI;NANE, KÝMYON
Tuzlukçu;MEVLÜTLÜ;ASPÝR, KÝMYON
Tuzlukçu;KORAÞI;YOK
Tuzlukçu;ÇÖÐÜRLÜ;YOK
Tuzlukçu;TURSUNLU;YOK
Tuzlukçu;KUNDULLU;YOK
Tuzlukçu;PAZARKAYA;YOK
Tuzlukçu;SUBATAN;YOK
Tuzlukçu;GÜRSU;YOK
Tuzlukçu;ERDOÐDU;YOK
Tuzlukçu;KÖKLÜCE;YOK
Yalýhüyük;SARAY;YOK
Yalýhüyük;ARASÖÐÜT;YOK
Yunak;KUZÖREN;HAÞHAÞ
Yunak;KOÇYAZI;ANASON, ÇÖREKOTU, KÝMYON
Yunak;TURGUT;YOK
Yunak;PÝRÝBEYLÝ;ANASON, KÝMYON
Yunak;SÜLÜKLÜ;YOK
Yunak;ALTINÖZ;ÇÖREKOTU, REZENE
Yunak;AYRITEPE;ANASON, DAÐ ÇAYI
Yunak;BEÞIÞIKLI;KÝMYON
Yunak;CEBRAÝL;ANASON
Yunak;ÇAYIRBAÞI;ANASON, ÇÖREKOTU, KÝÞNÝÞ, KÝMYON
Yunak;EÐRÝKUYU;HAÞHAÞ
Yunak;HACIÖMEROÐLU;ANASON, ÇÖREKOTU, KÝMYON
Yunak;HATIRLI;ANASON, ÇÖREKOTU, KÝMYON
Yunak;HACIFAKILI;YOK
Yunak;HARUNLAR;KÝMYON
Yunak;HURSUNLU;DAÐ ÇAYI
Yunak;ÝMAMOÐLU;ANASON, KÝMYON
Yunak;KARGALI;ÇÖREKOTU, KÝMYON
Yunak;KARAYAYLA;KÝMYON
Yunak;KILLAR;ANASON
Yunak;KURTUÞAÐI;ASPÝR, ANASON, DAÐ ÇAYI, KÝMYON
Yunak;KUYUBAÞI;ANASON, ÇÖREKOTU, KÝÞNÝÞ, KÝMYON
Yunak;MEÞELÝK;YOK
Yunak;ODABAÞI;ANASON, ÇÖREKOTU
Yunak;ORTAKIÞLA;KÝMYON
Yunak;ÖZYAYLA;ANASON, ÇÖREKOTU
Yunak;SERTLER;KÝMYON
Yunak;SEVÝNÇ;KEKÝK, ADA ÇAYI, KÝMYON
Yunak;SIRAM;REZENE, KÝMYON
Yunak;SÝNANLI;KÝMYON
Yunak;YAVAÞLI;ANASON, KÝMYON
Yunak;YEÞÝLOBA;ANASON, KEKÝK, KÝMYON
Yunak;YEÞÝLYAYLA;ÇÖREKOTU
Yunak;YIÐAR;YOK
Yunak;SARAY;ASPÝR
;;
