ÝLÇE ADI;MAHALLE ADI;DOÐRUDAN SATIN ALINABÝLECEK ÜRÜNLER
Akþehir;SARAY;ELMA, KÝRAZ, ÇÝLEK, VÝÞNE
Altýnekin;OÐUZELÝ;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Altýnekin;AKCAÞAR;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Altýnekin;AYIÞIÐI;BUÐDAY, ARPA
Altýnekin;AKKÖY;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Altýnekin;BORUKKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAVUN, FASULYE
Altýnekin;HACINUMAN;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Altýnekin;KARAKAYA;NOHUT, BUÐDAY, ELMA, ARPA, BÝBER, FASULYE, KAYISI
Altýnekin;KOÇAÞ;ÞEKER PANCARI, BUÐDAY, ARPA
Altýnekin;KOÇYAKA;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KAVUN
Altýnekin;MANTAR;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Altýnekin;YENÝÖLMEZ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, ÇEREZLÝK KABAK
Altýnekin;SARNIÇ;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE, ÇEREZLÝK KABAK
Altýnekin;TOPRAKLIK;MISIR, AYÇÝÇEÐÝ
Altýnekin;YENÝKUYU;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, FASULYE
Altýnekin;YENÝYAYLA;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, FÝÐ, ARPA, AYÇÝÇEÐÝ, FASULYE
Altýnekin;DEDELER;MISIR, BUÐDAY, ARPA, FASULYE
Altýnekin;AKINCILAR;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, ÇEREZLÝK KABAK
Beyþehir;ADAKÖY;BUÐDAY, ARPA, FASULYE
Beyþehir;AÐILÖNÜ;BUÐDAY, ELMA, DOMATES, ARPA, BÝBER, FASULYE, PATLICAN, SARIMSAK
Beyþehir;AKBURUN;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, ÇÝLEK, FASULYE
Beyþehir;AKÇABELEN;BUÐDAY, ELMA, ARPA, ÇÝLEK, FASULYE
Beyþehir;AVDANCIK;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA
Beyþehir;BADEMLÝ;NOHUT, BUÐDAY, ARPA
Beyþehir;BAYAT;ÞEKER PANCARI, PATATES, BUÐDAY, ARPA
Beyþehir;BAYAVÞAR;NOHUT, BUÐDAY, DOMATES, ARPA
Beyþehir;BAYINDIR;BUÐDAY, ELMA, DOMATES, ARMUT, ARPA, BÝBER, FASULYE
Beyþehir;BAÞGÖZE;BUÐDAY, ARPA, TURP
Beyþehir;BEKDEMÝR;ÞEKER PANCARI, BUÐDAY, ARPA
Beyþehir;DAMLAPINAR;PATATES, NOHUT, FASULYE
Beyþehir;DOÐANBEY;ÞEKER PANCARI, NOHUT, BUÐDAY, YONCA, YULAF
Beyþehir;DOÐANCIK;BUÐDAY, HAÞHAÞ, ARPA
Beyþehir;DUMANLI;PATATES, BUÐDAY, DOMATES, ARPA, CEVÝZ, FASULYE
Beyþehir;EMEN;NOHUT, BUÐDAY, HAÞHAÞ, ARPA, KÝRAZ, CEVÝZ
Beyþehir;ESENCE;ÞEKER PANCARI, PATATES
Beyþehir;EYLÝKLER;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, FASULYE
Beyþehir;EÐÝRLER;BUÐDAY, ARPA, CEVÝZ, SOÐAN, FASULYE
Beyþehir;FASILLAR;NOHUT, BUÐDAY, YULAF, DOMATES, ARPA, FASULYE
Beyþehir;GÖKÇEKUYU;NOHUT, BUÐDAY, ELMA, DOMATES, ÇÝLEK
Beyþehir;GÖKÇÝMEN;BUÐDAY, YONCA, ASPÝR, YULAF, FÝÐ, ARPA, SUSAM
Beyþehir;GÖLKAÞI;ÞEKER PANCARI, BUÐDAY
Beyþehir;GÖLYAKA;BUÐDAY, ELMA, ARPA, KÝRAZ
Beyþehir;GÖNEN;PATATES, NOHUT, BUÐDAY, DOMATES, ÇÝLEK
Beyþehir;GÖÇÜ;PATATES, NOHUT, DOMATES, BÝBER, SOÐAN, FASULYE
Beyþehir;GÜNDOÐDU;NOHUT, BUÐDAY, ARPA
Beyþehir;HUÐLU;PATATES, DOMATES
Beyþehir;HÜSEYÝNLER;BUÐDAY, ARPA
Beyþehir;ÝSAKÖY;ÞEKER PANCARI, NOHUT, BUÐDAY, DOMATES, ARMUT, SALATALIK, FASULYE, PATLICAN
Beyþehir;KARAALÝ;NOHUT, BUÐDAY, ARPA
Beyþehir;KARABAYAT;ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA
Beyþehir;KARADÝKEN;NOHUT, ELMA, ÜZÜM, DOMATES, ARPA, KAVUN, BÝBER, FASULYE, KARPUZ
Beyþehir;KARAHÝSAR;ÞEKER PANCARI, PATATES, BUÐDAY, BAMYA, ARPA, KAVUN
Beyþehir;KAYABAÞI;NOHUT, BUÐDAY, FASULYE
Beyþehir;KURUCUOVA;BUÐDAY, ARPA
Beyþehir;KUÞLUCA;BUÐDAY, ARPA
Beyþehir;KÜÇÜKAVÞAR;NOHUT, BUÐDAY, ELMA, DOMATES, ARMUT
Beyþehir;MESUTLAR;PATATES, NOHUT, BUÐDAY, ARPA, SOÐAN, FASULYE
Beyþehir;SADIKHACI;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, MERCÝMEK
Beyþehir;SARIKÖY;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, FASULYE
Beyþehir;SEVÝNDÝK;PATATES, NOHUT, BUÐDAY, HAÞHAÞ, ARPA, CEVÝZ
Beyþehir;ÞAMLAR;BUÐDAY, DOMATES, ARPA
Beyþehir;ÜÇPINAR;ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA
Beyþehir;ÜSTÜNLER;NOHUT, BUÐDAY, ARPA, MERCÝMEK, FASULYE
Beyþehir;ÜZÜMLÜ;ELMA, CEVÝZ, FASULYE
Beyþehir;YAZYURDU;BUÐDAY, ARPA
Beyþehir;YENÝDOÐAN;PATATES, NOHUT, BUÐDAY, CEVÝZ, VÝÞNE
Beyþehir;YEÞÝLDAÐ;PATATES, BUÐDAY, DOMATES, SALATALIK, ARPA, BÝBER, SOÐAN
Beyþehir;YUKARIESENCE;ÞEKER PANCARI, BUÐDAY, ARPA
Beyþehir;YUNUSLAR;MISIR, BUÐDAY, DOMATES
Beyþehir;ÇÝFTLÝK;PATATES, NOHUT, BUÐDAY, ELMA, MERCÝMEK
Beyþehir;ÇÝVRÝL;ÞEKER PANCARI, ÜZÜM, DOMATES
Beyþehir;ÇUKURAÐIL;NOHUT, ÇÝLEK, FASULYE
Bozkýr;ÇAÐLAYAN;ELMA, ÜZÜM, KÝRAZ
Bozkýr;HAMZALAR;ELMA, ÜZÜM, KÝRAZ, ÇÝLEK
Bozkýr;AKÇAPINAR;NOHUT, BUÐDAY, ELMA, KÝRAZ, ERÝK, FASULYE
Bozkýr;ARMUTLU;PATATES, ÜZÜM, ÇÝLEK, CEVÝZ
Bozkýr;ARSLANTAÞ;PATATES, DOMATES
Bozkýr;AYDINKIÞLA;YOK
Bozkýr;AYVALCA;PATATES, NOHUT, BUÐDAY, ELMA, DOMATES, SALATALIK, ARPA, KÝRAZ, MERCÝMEK
Bozkýr;BAÐYURDU;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ, MERCÝMEK, ERÝK
Bozkýr;BAYBAÐAN;PATATES, NOHUT, SOÐAN, FASULYE, HAVUÇ
Bozkýr;BOZDAM;BUÐDAY, ELMA, ARPA
Bozkýr;DEREÝÇÝ;ÜZÜM, KÝRAZ, ERÝK, SARIMSAK
Bozkýr;DEREKÖY;PATATES, ELMA, KÝRAZ
Bozkýr;ELMAAÐAÇ;PATATES, FASULYE
Bozkýr;HACILAR;PATATES, ELMA, KÝRAZ, SOÐAN
Bozkýr;HACIYUNUSLAR;PATATES, SOÐAN, FASULYE
Bozkýr;HARMANPINAR;BUÐDAY, ELMA, DOMATES, KÝRAZ, BÝBER
Bozkýr;HÝSARLIK;ELMA, ÜZÜM, ARMUT, KÝRAZ
Bozkýr;IÞIKLAR;PATATES, ELMA, ÜZÜM, KÝRAZ, SOÐAN
Bozkýr;KARABAYIR;ELMA, KÝRAZ, ÇÝLEK, VÝÞNE
Bozkýr;KARACAARDIÇ;NOHUT, BUÐDAY, ELMA, MERCÝMEK
Bozkýr;KARACAHÝSAR;PATATES, FASULYE
Bozkýr;KARAYAHYA;NOHUT, BUÐDAY, ELMA, KÝRAZ, KARPUZ
Bozkýr;KAYACILAR;BUÐDAY, KAVUN, KARPUZ
Bozkýr;KAYAPINAR;PATATES, ÜZÜM
Bozkýr;KINIK;NOHUT, BUÐDAY, ELMA, ÜZÜM, ARPA
Bozkýr;KIZILÇAKIR;NOHUT, BUÐDAY, ARPA
Bozkýr;KÝLDERE;NOHUT, BUÐDAY, ARPA, MERCÝMEK
Bozkýr;KOVANLIK;PATATES, NOHUT, BUÐDAY, ELMA, DOMATES, SALATALIK, KÝRAZ
Bozkýr;KOZAÐAÇ;ELMA, ÜZÜM, KÝRAZ, CEVÝZ
Bozkýr;KUÞÇA;NOHUT, BUÐDAY, MERCÝMEK
Bozkýr;KÜÇÜKHÝSARLIK;PATATES, ELMA, KÝRAZ, FASULYE, PATLICAN
Bozkýr;PINARCIK;NOHUT, BUÐDAY, ELMA, KÝRAZ
Bozkýr;SARIOÐLAN;NOHUT, BUÐDAY, ARPA
Bozkýr;SAZLI;BUÐDAY, ELMA, ARPA, KÝRAZ
Bozkýr;SOÐUCAK;PATATES, KÝRAZ, ÇÝLEK
Bozkýr;SORKUN;PATATES, FASULYE
Bozkýr;SÖÐÜT;ELMA, KÝRAZ
Bozkýr;TARLABAÞI;DOMATES, FASULYE
Bozkýr;TAÞBAÞI;PATATES
Bozkýr;TEPEARASI;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ
Bozkýr;TEPELÝCE;NOHUT, BUÐDAY, ARPA
Bozkýr;ULUPINAR;PATATES, DOMATES, KÝRAZ, CEVÝZ, BADEM
Bozkýr;ÜÇPINAR;DOMATES, KÝRAZ
Bozkýr;YALNIZCA;PATATES, ÞALGAM, SOÐAN, HAVUÇ
Bozkýr;YAZDAMI;NOHUT, MERCÝMEK, FASULYE
Bozkýr;YELBEYÝ;NOHUT, BUÐDAY, ELMA, ÜZÜM, ARPA, MERCÝMEK
Bozkýr;YENÝKÖY;NOHUT, BUÐDAY, ÜZÜM, ARPA
Bozkýr;YOLÖREN;PATATES, ELMA, ARMUT, SALATALIK, KÝRAZ, BÝBER, ERÝK
Çeltik;GÖKPINAR;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, SOÐAN, FASULYE
Çeltik;ADAKASIM;ÞEKER PANCARI, BUÐDAY, YULAF, ARPA, FASULYE
Çeltik;DOÐANYURT;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Çeltik;KAÞÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ, KANOLA, ÇEREZLÝK KABAK
Çeltik;KÜÇÜKHASAN;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, MERCÝMEK
Çeltik;TORUNLAR;MISIR, ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA, AYÇÝÇEÐÝ, MERCÝMEK, KAVUN, KARPUZ, ÇEREZLÝK KABAK
Çeltik;ÝSHAKUÞAÐI;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çeltik;HONAMLI;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, AYÇÝÇEÐÝ, SOÐAN, FASULYE, ÇEREZLÝK KABAK
Cihanbeyli;BÖÐRÜDELÝK;MISIR, ÞEKER PANCARI, BUÐDAY, KAVUN, FASULYE, KARPUZ
Cihanbeyli;YAPALI;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Cihanbeyli;YENÝCEOBA;NOHUT, MERCÝMEK, KÝMYON, FASULYE
Cihanbeyli;CUMHURÝYET;BUÐDAY, ARPA
Cihanbeyli;GEMECÝK;MISIR, ÞEKER PANCARI, BUÐDAY, ELMA, ARPA
Cihanbeyli;GÖKTEPE;BUÐDAY, ARPA, KÝMYON
Cihanbeyli;AÐABEYLÝ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Cihanbeyli;HODOÐLU;BUÐDAY, ARPA
Cihanbeyli;KAYI;MISIR, BUÐDAY, ASPÝR, ARPA
Cihanbeyli;KIRKIÞLA;MISIR, ÞEKER PANCARI, AYÇÝÇEÐÝ
Cihanbeyli;KORKMAZLAR;NOHUT, BUÐDAY, ARPA
Cihanbeyli;KÜÇÜKBEÞKAVAK;BUÐDAY, ARPA
Cihanbeyli;MUTLUKONAK;BUÐDAY, ARPA
Cihanbeyli;SAÐLIK;BUÐDAY, YULAF, ARPA, MERCÝMEK, KÝMYON, ÇÖREK OTU
Cihanbeyli;SIÐIRCIK;BUÐDAY, ARPA
Cihanbeyli;TURANLAR;NOHUT, BUÐDAY, MERCÝMEK, KÝMYON
Cihanbeyli;TÜFEKÇÝPINAR;BUÐDAY, YULAF, ARPA, MERCÝMEK, KÝMYON
Cihanbeyli;UZUNCAYAYLA;MISIR, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Cihanbeyli;YÜNLÜKUYU;NOHUT, BUÐDAY, YULAF, ARPA, MERCÝMEK, KÝMYON
Cihanbeyli;ZAFERÝYE;PATATES, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Cihanbeyli;GÖLYAZI;ÞEKER PANCARI, BUÐDAY, ARPA, ÇAVDAR
Cihanbeyli;GÜNYÜZÜ;ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Cihanbeyli;ÝNSUYU;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, FASULYE
Cihanbeyli;KANDÝL;NOHUT, BUÐDAY, YULAF, ARPA, MERCÝMEK, KÝMYON
Cihanbeyli;KARABAÐ;NOHUT, BUÐDAY, ARPA
Cihanbeyli;KELHASAN;NOHUT, BUÐDAY, ARPA, MERCÝMEK, KÝMYON
Cihanbeyli;KUÞCA;MISIR, ÞEKER PANCARI, PATATES, NOHUT, ARPA, AYÇÝÇEÐÝ, KÝMYON
Cihanbeyli;KÜTÜKUÞAÐI;ÞEKER PANCARI, BUÐDAY, DOMATES, ARPA, KAVUN, PATLICAN
Cihanbeyli;TAÞPINAR;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Cihanbeyli;BEYLÝOVA;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Cihanbeyli;ÇÝMEN;NOHUT, BUÐDAY, FÝÐ, ARPA, MERCÝMEK, KÝMYON
Cihanbeyli;ÇÖL;ÞEKER PANCARI, BUÐDAY, ARPA
Cihanbeyli;DAMLAKUYU;BUÐDAY, ARPA
Cihanbeyli;BULDUK;BUÐDAY, ARPA
Cihanbeyli;BÜYÜKBEÞKAVAK;BUÐDAY, ARPA
Cihanbeyli;KARATEPE;BUÐDAY, ARPA, MERCÝMEK, KÝMYON, ÇÖREK OTU
Çumra;ARIKÖREN;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Çumra;DEDEMOÐLU;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, ÇEREZLÝK KABAK
Çumra;TÜRKMENCAMÝLÝ;MISIR, ÞEKER PANCARI, BUÐDAY
Çumra;A.B.HÜYÜÐÜ;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, AYÇÝÇEÐÝ, FASULYE
Çumra;DÝNEK;BUÐDAY, ARPA, KAVUN, FASULYE, KARPUZ
Çumra;ÝÇERÝÇUMRA;MISIR, ÞEKER PANCARI, KAVUN, FASULYE, KARPUZ
Çumra;GÜVERCÝNLÝK;MISIR, BUÐDAY, DOMATES, ARPA, AYÇÝÇEÐÝ
Çumra;KARKIN;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, ARPA, AYÇÝÇEÐÝ, KAVUN, FASULYE
Çumra;OKÇU;MISIR, ÞEKER PANCARI, BUÐDAY, AYÇÝÇEÐÝ
Çumra;YENÝSU;MISIR, PATATES, NOHUT, BUÐDAY, KAVUN, FASULYE, KARPUZ
Çumra;APA;MISIR, BUÐDAY, ÜZÜM, ARPA, ÇÝLEK, FASULYE
Çumra;ABDÝTOLU;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çumra;ADAKALE;ELMA, CEVÝZ, KAVUN, ERÝK, KAYISI
Çumra;ALEMDAR;MISIR, ÞEKER PANCARI, PATATES, FASULYE, ÇEREZLÝK KABAK
Çumra;APASARAYCIK;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, ELMA, KÝRAZ, MERCÝMEK, SUSAM
Çumra;AFÞAR;BUÐDAY, ARPA
Çumra;AVDUL;ÞEKER PANCARI, DOMATES, KAVUN, FASULYE, KARPUZ
Çumra;BALÇIKHÝSAR;MISIR, ÞEKER PANCARI, BUÐDAY, KAVUN, FASULYE, KARPUZ
Çumra;BEYLERCE;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, DOMATES, ARPA, FASULYE
Çumra;B.AÞLAMA;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çumra;CÝCEK;NOHUT, BUÐDAY, ARPA
Çumra;ÇUKURKAVAK;BUÐDAY, YULAF, ARPA, SUSAM
Çumra;DÝNLENDÝK;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Çumra;DÝNEKSARAY;PATATES, NOHUT, KAVUN, FASULYE, KARPUZ
Çumra;DOÐANLI;ÞEKER PANCARI, KAVUN, FASULYE, KARPUZ
Çumra;FETHÝYE;ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAVUN, FASULYE, KARPUZ
Çumra;GÖKHÜYÜK;MISIR, ÞEKER PANCARI, BUÐDAY, YONCA, ARPA, FASULYE
Çumra;ERENTEPE;MISIR, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, MERCÝMEK, KAVUN, KARPUZ
Çumra;ÝNLÝ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çumra;KUZUCU;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çumra;KÜÇÜKKÖY;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, BÝBER
Çumra;SEÇME;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, AYÇÝÇEÐÝ, MERCÝMEK, KAVUN, FASULYE
Çumra;SÜRGÜÇ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA
Çumra;TAHTALI;BUÐDAY, ARPA
Çumra;T.KARAHÜYÜK;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, AYÇÝÇEÐÝ
Çumra;TAÞAÐIL;MISIR, ÞEKER PANCARI, BUÐDAY, FÝÐ, KANOLA
Çumra;UZUNKUYU;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, ARPA, AYÇÝÇEÐÝ, KAVUN, KARPUZ
Çumra;ÜÇHÜYÜK;ÞEKER PANCARI, BUÐDAY, ARPA, FASULYE
Çumra;ÜRÜNLÜ;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, ÇEREZLÝK KABAK
Çumra;YÖRÜKCAMÝLÝ;PATATES, NOHUT, BUÐDAY, ARPA, MERCÝMEK, KAVUN
Çumra;ÇAYBAÞI;MISIR, ÞEKER PANCARI, PATATES, BUÐDAY, FASULYE
Derbent;ÇÝFTLÝKÖZÜ;ÞEKER PANCARI, ELMA, DOMATES, FASULYE
Derbent;DEÐÝÞ;BUÐDAY, ARPA, FASULYE
Derbent;TEKKE;NOHUT, BUÐDAY, YULAF, ARPA
Derbent;GÜNEYKÖY;PATATES, BUÐDAY, ELMA, ARMUT, KÝRAZ, SOÐAN, VÝÞNE, FASULYE
Derbent;MÜLAYÝM;PATATES, NOHUT, BUÐDAY, ARPA, ÇÝLEK
Derbent;SARAYPINAR;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ, CEVÝZ, VÝÞNE
Derbent;YASSIÖREN;NOHUT, BUÐDAY, HAÞHAÞ, ARPA, FASULYE
Derbent;SÜLEYMAN;ÞEKER PANCARI, PATATES, BUÐDAY, ÇÝLEK, FASULYE
Derbent;KARALAR;PATATES, ÇÝLEK, SOÐAN, FASULYE
Derebucak;ÇAMLIK;PATATES, NOHUT, ELMA, FASULYE
Derebucak;DURAK;PATATES, NOHUT
Derebucak;GENCEK;PATATES, KÝRAZ, ÇÝLEK, FASULYE
Derebucak;GÖYNEM;ÇÝLEK, FASULYE
Derebucak;PINARBAÞI;NOHUT, BUÐDAY, ÇÝLEK, FASULYE
Derebucak;TAÞLIPINAR;PATATES, NOHUT, BUÐDAY, DOMATES
Derebucak;TEPEARASI;DOMATES, SALATALIK, KÝRAZ
Derebucak;UÐURLU;PATATES, DOMATES, BÝBER, FASULYE
Doðanhisar;BAÞKÖY;ELMA, HAÞHAÞ, ARMUT, VÝÞNE
Doðanhisar;YAZLICA;MISIR, ÞEKER PANCARI, NOHUT, BUÐDAY, YULAF, HAÞHAÞ, ÇÝLEK, FASULYE
Doðanhisar;AYASLAR;BUÐDAY, DOMATES, ARPA, ÇÝLEK, CEVÝZ, BÝBER, VÝÞNE, FASULYE
Doðanhisar;ÇINAROBA;BUÐDAY, HAÞHAÞ, ARPA, ÇÝLEK, VÝÞNE
Doðanhisar;DEÞTÝÐÝN;PATATES, ÇÝLEK, VÝÞNE, FASULYE, TERMÝYE
Doðanhisar;FIRINLI;BUÐDAY, ELMA, YONCA, HAÞHAÞ, FÝÐ, ARPA, KÝRAZ, ÇÝLEK, CEVÝZ, VÝÞNE, FASULYE, TERMÝYE
