ÝLÇE ADI;MAHALLE ADI;ENDEMÝK (SADECE BU BÖLGEDE YETÝÞEN) BÝTKÝLER
Akþehir;YEÞÝLKÖY;YOK
Akþehir;SARAY;YOK
Altýnekin;OÐUZELÝ;YOK
Altýnekin;AKCAÞAR;YOK
Altýnekin;AYIÞIÐI;YOK
Altýnekin;AKKÖY;YOK
Altýnekin;BORUKKUYU;YOK
Altýnekin;HACINUMAN;YOK
Altýnekin;KARAKAYA;YOK
Altýnekin;KOÇAÞ;YOK
Altýnekin;KOÇYAKA;YOK
Altýnekin;MANTAR;YOK
Altýnekin;YENÝÖLMEZ;YOK
Altýnekin;SARNIÇ;YOK
Altýnekin;TOPRAKLIK;YOK
Altýnekin;YENÝKUYU;YOK
Altýnekin;YENÝYAYLA;YOK
Altýnekin;DEDELER;YOK
Altýnekin;AKINCILAR;YOK
Beyþehir;ADAKÖY;YOK
Beyþehir;AÐILÖNÜ;YOK
Beyþehir;AKBURUN;YOK
Beyþehir;AKÇABELEN;YOK
Beyþehir;AVDANCIK;YOK
Beyþehir;BADEMLÝ;YOK
Beyþehir;BAYAT;YOK
Beyþehir;BAYAVÞAR;YOK
Beyþehir;BAYINDIR;YOK
Beyþehir;BAÞGÖZE;YOK
Beyþehir;BEKDEMÝR;YOK
Beyþehir;DAMLAPINAR;YOK
Beyþehir;DOÐANBEY;YOK
Beyþehir;DOÐANCIK;YOK
Beyþehir;DUMANLI;YOK
Beyþehir;EMEN;YOK
Beyþehir;ESENCE;YOK
Beyþehir;EYLÝKLER;YOK
Beyþehir;EÐÝRLER;YOK
Beyþehir;FASILLAR;YOK
Beyþehir;GÖKÇEKUYU;YOK
Beyþehir;GÖKÇÝMEN;YOK
Beyþehir;GÖLKAÞI;YOK
Beyþehir;GÖLYAKA;YOK
Beyþehir;GÖNEN;YOK
Beyþehir;GÖÇÜ;ÇOBAN DÖÞEÐÝ
Beyþehir;GÜNDOÐDU;YOK
Beyþehir;HUÐLU;YOK
Beyþehir;HÜSEYÝNLER;YOK
Beyþehir;ÝSAKÖY;YOK
Beyþehir;KARAALÝ;YOK
Beyþehir;KARABAYAT;YOK
Beyþehir;KARADÝKEN;SAZ SÜMBÜLÜ
Beyþehir;KARAHÝSAR;YOK
Beyþehir;KAYABAÞI;YOK
Beyþehir;KURUCUOVA;YOK
Beyþehir;KUÞLUCA;YOK
Beyþehir;KÜÇÜKAVÞAR;YOK
Beyþehir;MESUTLAR;YOK
Beyþehir;SADIKHACI;YOK
Beyþehir;SARIKÖY;YOK
Beyþehir;SEVÝNDÝK;YOK
Beyþehir;ÞAMLAR;YOK
Beyþehir;ÜÇPINAR;YOK
Beyþehir;ÜSTÜNLER;YOK
Beyþehir;ÜZÜMLÜ;YOK
Beyþehir;YAZYURDU;YOK
Beyþehir;YENÝDOÐAN;YOK
Beyþehir;YEÞÝLDAÐ;YOK
Beyþehir;YUKARIESENCE;YOK
Beyþehir;YUNUSLAR;YOK
Beyþehir;ÇÝFTLÝK;YOK
Beyþehir;ÇÝVRÝL;YOK
Beyþehir;ÇUKURAÐIL;YOK
Bozkýr;ÇAÐLAYAN;YOK
Bozkýr;HAMZALAR;YOK
Bozkýr;AKÇAPINAR;YOK
Bozkýr;ARMUTLU;YOK
Bozkýr;ARSLANTAÞ;YOK
Bozkýr;AYDINKIÞLA;YOK
Bozkýr;AYVALCA;YOK
Bozkýr;BAÐYURDU;YOK
Bozkýr;BAYBAÐAN;YOK
Bozkýr;BOZDAM;YOK
Bozkýr;DEREÝÇÝ;YOK
Bozkýr;DEREKÖY;YOK
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;YOK
Bozkýr;HACIYUNUSLAR;YOK
Bozkýr;HARMANPINAR;YOK
Bozkýr;HÝSARLIK;YOK
Bozkýr;IÞIKLAR;YOK
Bozkýr;KARABAYIR;YOK
Bozkýr;KARACAARDIÇ;YOK
Bozkýr;KARACAHÝSAR;YOK
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;YOK
Bozkýr;KAYAPINAR;YOK
Bozkýr;KINIK;YOK
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;YOK
Bozkýr;KOVANLIK;YOK
Bozkýr;KOZAÐAÇ;YOK
Bozkýr;KUÞÇA;YOK
Bozkýr;KÜÇÜKHÝSARLIK;YOK
Bozkýr;PINARCIK;YOK
Bozkýr;SARIOÐLAN;YOK
Bozkýr;SAZLI;YOK
Bozkýr;SOÐUCAK;YOK
Bozkýr;SORKUN;YOK
Bozkýr;SÖÐÜT;YOK
Bozkýr;TARLABAÞI;YOK
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;YOK
Bozkýr;TEPELÝCE;YOK
Bozkýr;ULUPINAR;YOK
Bozkýr;ÜÇPINAR;YOK
Bozkýr;YALNIZCA;YOK
Bozkýr;YAZDAMI;YOK
Bozkýr;YELBEYÝ;YOK
Bozkýr;YENÝKÖY;YOK
Bozkýr;YOLÖREN;YOK
Çeltik;GÖKPINAR;YOK
Çeltik;ADAKASIM;YOK
Çeltik;DOÐANYURT;YOK
Çeltik;KAÞÖREN;YOK
Çeltik;KÜÇÜKHASAN;YOK
Çeltik;TORUNLAR;YOK
Çeltik;ÝSHAKUÞAÐI;YOK
Çeltik;HONAMLI;YOK
Cihanbeyli;BÖÐRÜDELÝK;YOK
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENÝCEOBA;YOK
Cihanbeyli;CUMHURÝYET;YOK
Cihanbeyli;GEMECÝK;YOK
Cihanbeyli;GÖKTEPE;YOK
Cihanbeyli;AÐABEYLÝ;YOK
Cihanbeyli;HODOÐLU;YOK
Cihanbeyli;KAYI;YOK
Cihanbeyli;KIRKIÞLA;YOK
Cihanbeyli;KORKMAZLAR;YOK
Cihanbeyli;KÜÇÜKBEÞKAVAK;YOK
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAÐLIK;YOK
Cihanbeyli;SIÐIRCIK;YOK
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇÝPINAR;YOK
Cihanbeyli;UZUNCAYAYLA;YOK
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERÝYE;YOK
Cihanbeyli;GÖLYAZI;YOK
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;ÝNSUYU;YOK
Cihanbeyli;KANDÝL;YOK
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;YOK
Cihanbeyli;KUÞCA;YOK
Cihanbeyli;KÜTÜKUÞAÐI;YOK
Cihanbeyli;TAÞPINAR;YOK
Cihanbeyli;BEYLÝOVA;YOK
Cihanbeyli;ÇÝMEN;YOK
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;YOK
Çumra;DEDEMOÐLU;YOK
Çumra;TÜRKMENCAMÝLÝ;YOK
Çumra;A.B.HÜYÜÐÜ;YOK
Çumra;DÝNEK;YOK
Çumra;ÝÇERÝÇUMRA;YOK
Çumra;GÜVERCÝNLÝK;YOK
Çumra;KARKIN;YOK
Çumra;OKÇU;YOK
Çumra;YENÝSU;YOK
Çumra;APA;YOK
Çumra;ABDÝTOLU;YOK
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;YOK
Çumra;AFÞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHÝSAR;YOK
Çumra;BEYLERCE;YOK
Çumra;B.AÞLAMA;YOK
Çumra;CÝCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DÝNLENDÝK;YOK
Çumra;DÝNEKSARAY;YOK
Çumra;DOÐANLI;YOK
Çumra;FETHÝYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;YOK
Çumra;ÝNLÝ;YOK
Çumra;KUZUCU;YOK
Çumra;KÜÇÜKKÖY;YOK
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;YOK
Çumra;TAÞAÐIL;YOK
Çumra;UZUNKUYU;YOK
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMÝLÝ;YOK
Çumra;ÇAYBAÞI;YOK
Derbent;ÇÝFTLÝKÖZÜ;YOK
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYÝM;YOK
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;YOK
Derebucak;GÖYNEM;YOK
Derebucak;PINARBAÞI;YOK
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UÐURLU;YOK
Doðanhisar;BAÞKÖY;YOK
Doðanhisar;YAZLICA;YOK
Doðanhisar;AYASLAR;YOK
Doðanhisar;ÇINAROBA;YOK
Doðanhisar;DEÞTÝÐÝN;YOK
Doðanhisar;FIRINLI;YOK
Doðanhisar;GÜVENDÝK;YOK
Doðanhisar;ÝLYASLAR;YOK
Doðanhisar;KARAAÐA;YOK
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;YOK
Doðanhisar;KONAKKALE;YOK
Doðanhisar;TEKKE;YOK
Doðanhisar;UNCULAR;YOK
Doðanhisar;YAZIR;YOK
Doðanhisar;YENÝCE;YOK
Emirgazi;EKÝZLÝ;YOK
Emirgazi;AKMESCÝT;YOK
Emirgazi;BESCÝ;YOK
Emirgazi;DEMÝRCÝ;YOK
Emirgazi;GÖLÖREN;YOK
Emirgazi;IÞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEÞELÝ;YOK
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;YOK
Ereðli;ZENGEN;YOK
Ereðli;ACIPINAR;YOK
Ereðli;ADABAÐ;YOK
Ereðli;AKHÜYÜK;YOK
Ereðli;ALHAN;YOK
Ereðli;AÞAÐI GÖNDELEN;YOK
Ereðli;AÞIKLAR;YOK
Ereðli;AZÝZÝYE;YOK
Ereðli;BAHÇELÝ;YOK
Ereðli;BELCEAÐAÇ;YOK
Ereðli;BELKAYA;YOK
Ereðli;BEYKÖY;YOK
Ereðli;BEYÖREN;YOK
Ereðli;BULGURLUK;YOK
Ereðli;BURHANÝYE;YOK
Ereðli;BÜYÜKDEDE;YOK
Ereðli;ÇAKMAK;YOK
Ereðli;ÇAYHAN;YOK
Ereðli;ÇÝLLER;YOK
Ereðli;ÇÝMENCÝK;YOK
Ereðli;GAYBÝ;YOK
Ereðli;GÖKÇEYAZI;YOK
Ereðli;GÖKTÖME;YOK
Ereðli;HACIMEMÝÞ;YOK
Ereðli;KAMIÞLIKUYU;YOK
Ereðli;KARABURUN;YOK
Ereðli;KARGACI;YOK
Ereðli;KIZILGEDÝK;YOK
Ereðli;KUSKUNCUK;YOK
Ereðli;KUTÖREN;YOK
Ereðli;KUZUKUYU;YOK
Ereðli;MELÝCEK;YOK
Ereðli;ORHANÝYE;YOK
Ereðli;ÖZGÜRLER;YOK
Ereðli;PINARÖZÜ;YOK
Ereðli;SARICA;YOK
Ereðli;SARITOPALLI;YOK
Ereðli;SELVÝLÝ;YOK
Ereðli;TAÞAÐIL;YOK
Ereðli;TAÞBUDAK;YOK
Ereðli;TATLIKUYU;YOK
Ereðli;TÜRKMEN;YOK
Ereðli;ULUMEÞE;YOK
Ereðli;YAZLIK;YOK
Ereðli;YELLÝCE;YOK
Ereðli;YENÝKÖY;YOK
Ereðli;YILDIZLI;YOK
Ereðli;YUKARIGÖNDELEN;YOK
Ereðli;HORTU;YOK
Ereðli;ACIKUYU;YOK
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;YOK
Güneysýnýr;ALANÖZÜ;YOK
Güneysýnýr;AVCITEPE;YOK
Güneysýnýr;AYDOÐMUÞ;YOK
Güneysýnýr;HABÝLLER;YOK
Güneysýnýr;KARAGÜNEY;YOK
Güneysýnýr;KAYAAÐZI;YOK
Güneysýnýr;KIZILÖZ;YOK
Güneysýnýr;KURUKAVAK;YOK
Güneysýnýr;MEHMET ALÝ;YOK
Güneysýnýr;ÖMEROÐLU;YOK
Güneysýnýr;ÖRENBOYALI;YOK
Güneysýnýr;SARIHACI;YOK
Hadim;AÞAÐIEÞENLER;YOK
Hadim;AÞAÐIKIZILKAYA;YOK
Hadim;BADEMLÝ;YOK
Hadim;BAÐBAÞI;YOK
Hadim;BEYRELÝ;YOK
Hadim;BOLAT;YOK
Hadim;ÇÝFTEPINAR;YOK
Hadim;DEDEMLÝ;YOK
Hadim;DÜLGERLER;YOK
Hadim;FAKILAR;YOK
Hadim;GAZÝLER;YOK
Hadim;GÖYNÜKKIÞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;ERENLER ÇÝÇEÐÝ
Hadim;KAPLANLI;YOK
Hadim;GEZLEVÝ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;YOK
Hadim;SELAHATTÝN;YOK
Hadim;UMURLAR;YOK
Hadim;YAÐCI;YOK
Hadim;YALINÇEVRE;YOK
Hadim;YELMEZ;YOK
Hadim;YENÝKONAK;YOK
Hadim;YUKARIEÞENLER;YOK
Halkapýnar;ÝVRÝZ;YOK
Halkapýnar;BÜYÜKDOÐAN;YOK
Halkapýnar;DEDELÝ;YOK
Halkapýnar;DELÝMAHMUTLU;YOK
Halkapýnar;ESKÝHÝSAR;YOK
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;YOK
Halkapýnar;KÖRLÜ;YOK
Halkapýnar;KÜSERE;YOK
Halkapýnar;OSMANKÖSELÝ;KONGUR, HASRET GÜLÜ, TERS LALE
Halkapýnar;SEYDÝFAKILI;YOK
Halkapýnar;YASSIKAYA;YOK
Halkapýnar;YAYIKLI;YOK
Halkapýnar;YEÞÝLYURT;YOK
Halkapýnar;ÇAKILLAR;YOK
Hüyük;BAÞLAMIÞ;YOK
Hüyük;BUDAK;YOK
Hüyük;BURUNSUZ;YOK
Hüyük;ÇAMLICA;YOK
Hüyük;ÇAVUÞ;YOK
Hüyük;ÇUKURKENT;YOK
Hüyük;DEÐÝRMENALTI;YOK
Hüyük;GÖÇERÝ;YOK
Hüyük;GÖRÜNMEZ;YOK
Hüyük;ÝLMEN;YOK
Hüyük;ÝMRENLER;YOK
Hüyük;KIRELÝ;YOK
Hüyük;KÖÞK;YOK
Hüyük;MUTLU;YOK
Hüyük;PINARBAÞI;YOK
Hüyük;SELKÝ;YOK
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;YOK
Hüyük;YENÝCE;YOK
Ilgýn;ARGITHANI;YOK
Ilgýn;BEYKONAK;YOK
Ilgýn;ÇAVUÞÇUGÖL;YOK
Ilgýn;AÐALAR;YOK
Ilgýn;BALKI;YOK
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;YOK
Ilgýn;BOÐAZKENT;YOK
Ilgýn;BULCUK;YOK
Ilgýn;BÜYÜKOBA;YOK
Ilgýn;ÇÝÐÝL;YOK
Ilgýn;ÇATAK;YOK
Ilgýn;ÇOBANKAYA;YOK
Ilgýn;ÇÖMLEKCÝ;YOK
Ilgýn;DEREKÖY;YOK
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;YOK
Ilgýn;ELDEÞ;YOK
Ilgýn;GEÇÝT;YOK
Ilgýn;GEDÝKÖREN;YOK
Ilgýn;GÖSTERE;YOK
Ilgýn;GÖKÇEYURT;YOK
Ilgýn;GÖLYAKA;YOK
Ilgýn;GÖKBUDAK;YOK
Ilgýn;GÜNEYPINAR;YOK
Ilgýn;HARMANYAZI;YOK
Ilgýn;ÝHSANÝYE;YOK
Ilgýn;KAPAKLI;YOK
Ilgýn;KARAKÖY;YOK
Ilgýn;KALEKÖY;YOK
Ilgýn;MAHMUTHÝSAR;YOK
Ilgýn;MECÝDÝYE;YOK
Ilgýn;MÝSAFÝRLÝ;YOK
Ilgýn;OLUKPINAR;YOK
Ilgýn;ORHANÝYE;YOK
Ilgýn;ORMANÖZÜ;YOK
Ilgýn;SADIKKÖY;YOK
Ilgýn;SEBÝLLER;YOK
Ilgýn;TEKELER;YOK
Ilgýn;YUKARIÇÝÐÝL;YOK
Ilgýn;YORAZLAR;YOK
Ilgýn;ZAFERÝYE;YOK
Ilgýn;AVDAN;YOK
Kadýnhaný;OSMANCIK;YOK
Kadýnhaný;AFÞARLI;YOK
Kadýnhaný;ALABAÐ;YOK
Kadýnhaný;ATLANTI;YOK
Kadýnhaný;BAKIRPINAR;YOK
Kadýnhaný;BAÞKUYU;YOK
Kadýnhaný;BAYRAMLI;YOK
Kadýnhaný;BEYKAVAÐI;YOK
Kadýnhaný;BULGURPINAR;YOK
Kadýnhaný;ÇAVDAR;YOK
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;YOK
Kadýnhaný;HACIMEHMETLÝ;YOK
Kadýnhaný;HACIOFLAZLAR;YOK
Kadýnhaný;HACIPÝRLÝ;YOK
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;YOK
Kadýnhaný;KARAHÝSARLI;YOK
Kadýnhaný;KARAKURTLU;YOK
Kadýnhaný;KARASEVÝNÇ;YOK
Kadýnhaný;KARAYÜRÜKLÜ;YOK
Kadýnhaný;KIZILKUYU;YOK
Kadýnhaný;KOLUKISA;YOK
Kadýnhaný;KONURÖREN;YOK
Kadýnhaný;KÖKEZ;YOK
Kadýnhaný;KÖYLÜTOLU;YOK
Kadýnhaný;KURTHASANLI;YOK
Kadýnhaný;KÜÇÜKKUYU;YOK
Kadýnhaný;MAHMUDÝYE;YOK
Kadýnhaný;MEYDANLI;YOK
Kadýnhaný;ÖRNEK;YOK
Kadýnhaný;PÝRALÝ;YOK
Kadýnhaný;PUSAT;YOK
Kadýnhaný;SAÇIKARA;YOK
Kadýnhaný;SARIKAYA;YOK
Kadýnhaný;SÖÐÜTÖZÜ;YOK
Kadýnhaný;ÞAHÖREN;YOK
Kadýnhaný;TOSUNOÐLU;YOK
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;YOK
Karapýnar;HOTAMIÞ;YOK
Karapýnar;KESMEZ;YOK
Karapýnar;AKÇAYAZI;YOK
Karapýnar;AKÖREN;YOK
Karapýnar;ÇÝÐÝL;YOK
Karapýnar;HASANOBA;YOK
Karapýnar;ÝSLÝK;YOK
Karapýnar;KARAKIÞLA;YOK
Karapýnar;KAYACIK;YOK
Karapýnar;KAYALI;YOK
Karapýnar;KAZANHÜYÜÐÜ;YOK
Karapýnar;KÜÇÜKAÞLAMA;YOK
Karapýnar;ORTAOBA;YOK
Karapýnar;OYMALI;MAHMUDÝYE
Karapýnar;SAZLIPINAR;YOK
Karapýnar;YAÐMAPINAR;YOK
Karapýnar;YENÝKUYU;YOK
Karapýnar;YEÞÝLYURT;YOK
Karatay;YARMA;YOK
Karatay;ACIDORT;YOK
Karatay;AÐSAKLI;YOK
Karatay;AKBAÞ;YOK
Karatay;AKÖRENKIÞLA;YOK
Karatay;BAKIRTOLU;YOK
Karatay;BAÞGÖTÜREN;YOK
Karatay;BEÞAÐIL;YOK
Karatay;BÜYÜKBURNAK;YOK
Karatay;ÇENGÝLTÝ;YOK
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;YOK
Karatay;GÖÇÜ;YOK
Karatay;HAYIROÐLU MERKEZ;YOK
Karatay;ÝPEKLER;YOK
Karatay;ÝSMÝL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YOK
Karatay;KIZÖREN;YOK
Karatay;KÖSEALÝ;YOK
Karatay;OBRUK;YOK
Karatay;OVAKAVAÐI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;YOK
Karatay;ÞATIR;YOK
Karatay;YAÐLIBAYAT;YOK
Karatay;YAVÞANKUYU;YOK
Karatay;YENÝCE;YOK
Karatay;YENÝKENT;YOK
Karatay;ZÝNCÝRLÝ;YOK
Kulu;ACIKUYU;YOK
Kulu;AÐILBAÞI;YOK
Kulu;ALTILAR;YOK
Kulu;ARÞINCA;YOK
Kulu;BEÞKARDEÞ;YOK
Kulu;BOÐAZÖREN;YOK
Kulu;BOZAN;YOK
Kulu;BURUNAÐIL;YOK
Kulu;CANIMANA;YOK
Kulu;CELEP;YOK
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;YEPELEK
Kulu;FEVZÝYE;YOK
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;YOK
Kulu;HÝSAR;YOK
Kulu;KARACADAÐ;YOK
Kulu;KARACADERE;YOK
Kulu;KIRKKUYU;YOK
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;YOK
Kulu;KÖMÜÞÝNÝ;YOK
Kulu;KÖÞKER;YOK
Kulu;SARIYAYLA;YOK
Kulu;SEYÝTAHMETLÝ;YOK
Kulu;SOÐUKKUYU;YOK
Kulu;ÞEREFLÝ;YOK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;YOK
Kulu;TUZYAKA;YOK
Kulu;YARAÞLI;YOK
Kulu;YAZIÇAYIR;YOK
Kulu;YEÞÝLTEPE;YOK
Kulu;YEÞÝLYURT;YOK
Kulu;ZÝNCÝRLÝKUYU;YOK
Kulu;BAHADIRLI;YOK
Kulu;DEÐÝRMENÖZÜ;YOK
Meram;ERENKAYA;YOK
Meram;YATAÐAN;YOK
Meram;GÖKYURT;YOK
Meram;BAYAT;YOK
Meram;BORUKTOLU;YOK
Meram;BOTSA;YOK
Meram;ÇAYIRBAÐI;YOK
Meram;ÇOMAKLAR;YOK
Meram;ÇUKURÇÝMEN;YOK
Meram;EVLÝYATEKKE;YOK
Meram;HATUNSARAY;YOK
Meram;ÝKÝPINAR;YOK
Meram;ÝLYASBABA;YOK
Meram;ÝNLÝCE;YOK
Meram;KARAAÐAÇ;YOK
Meram;KAVAK;YOK
Meram;KAYADÝBÝ;YOK
Meram;KAYALI;YOK
Meram;KAYHÜYÜK;YOK
Meram;KIZILÖREN;YOK
Meram;KUMRALI;YOK
Meram;SADIKLAR;YOK
Meram;SAÐLIK;YOK
Meram;SARIKIZ;YOK
Meram;SEFAKÖY;YOK
Meram;YEÞÝLDERE;YOK
Meram;YEÞÝLTEKKE;YOK
Meram;KAÞINHANI;YOK
Sarayönü;LADÝK;YOK
Sarayönü;BAHÇESARAY;YOK
Sarayönü;BAÞHÜYÜK;YOK
Sarayönü;BOYALI;YOK
Sarayönü;BÜYÜKZENGÝ;YOK
Sarayönü;ÇEÞMELÝSEBÝL;YOK
Sarayönü;DEÐÝRMENLÝ;YOK
Sarayönü;ERTUÐRUL;YOK
Sarayönü;GÖZLÜ;YOK
Sarayönü;KADIOÐLU;YOK
Sarayönü;KARABIYIK;YOK
Sarayönü;KARATEPE;YOK
Sarayönü;KAYIÖREN;YOK
Sarayönü;KONAR;YOK
Sarayönü;KURÞUNLU;YOK
Sarayönü;KUYULUSEBÝL;YOK
Sarayönü;ÖZKENT;YOK
Sarayönü;YENÝCEKAYA;YOK
Selçuklu;BAÞARAKAVAK;YOK, KONGUR
Selçuklu;hasan;
Selçuklu;SARAYKÖY;YOK
Selçuklu;SULUTAS;YOK
Selçuklu;TATKÖY;YOK
Selçuklu;AKPINAR;YOK
Selçuklu;BAÐRIKURT;YOK
Selçuklu;BÝÇER;YOK
Selçuklu;ÇALDERE;YOK
Selçuklu;ÇALTI;YOK
Selçuklu;ÇANDIR;YOK
Selçuklu;DAÐDERE;YOK
Selçuklu;EÐRÝBAYAT;YOK
Selçuklu;GÜVENÇ;YOK
Selçuklu;KALE;YOK
Selçuklu;KARAÖMERLER;YOK
Selçuklu;KERVAN;YOK
Selçuklu;KINIK;YOK
Selçuklu;KIZILCAKUYU;YOK
Selçuklu;MEYDAN;YOK
Selçuklu;SELAHATTÝN;YOK
Selçuklu;SIZMA;YOK
Selçuklu;TEPEKENT;YOK
Selçuklu;ULUMUHSÝNE;YOK
Selçuklu;YAZIBELEN;YOK
Selçuklu;SÝLLE;YOK
Selçuklu;ARDIÇLI;YOK
Selçuklu;AÞAÐIPINARBAÞI;YOK
Selçuklu;YUKARIPINARBAÞI;YOK
Selçuklu;KÜÇÜKMUHSÝNE;YOK
Selçuklu;SARICALAR;YOK
Selçuklu;TÖMEK;YOK
Selçuklu;YÜKSELEN;YOK
Selçuklu;Mehmet Fatih;
Seydiþehir;KESECÝK;YOK
Seydiþehir;AKÇALAR;YOK
Seydiþehir;AÞAÐIKARAÖREN;YOK
Seydiþehir;BAÞKARAÖREN;YOK
Seydiþehir;BOSTANDERE;YOK
Seydiþehir;BOYALI;YOK
Seydiþehir;BÜKÇE;YOK
Seydiþehir;ÇAT;YOK
Seydiþehir;ÇATMAKAYA;YOK
Seydiþehir;ÇAVUÞ;YOK
Seydiþehir;DÝKÝLÝTAÞ;YOK
Seydiþehir;GEVREKLÝ;YOK
Seydiþehir;GÖKÇEHÜYÜK;YOK
Seydiþehir;GÖKHÜYÜK;YOK
