ÝLÇE ADI;MAHALLE ADI;SULAMA SUYU KAYNAÐI YÖNETÝMÝ
Akþehir;ÇÝMENDERE;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Akþehir;DEÐÝRMENKÖY;SULAMA KOOPERATÝFÝ
Akþehir;DOÐRUGÖZ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;ENGÝLÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;GÖLÇAYIR;SULAMA KOOPERATÝFÝ
Akþehir;GÖZPINARI;SULAMA KOOPERATÝFÝ
Akþehir;ILICAK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;KARABULUT;SULAMA KOOPERATÝFÝ
Akþehir;ORTACA;ÞAHSÝ KUYULAR
Akþehir;ORTAKÖY;ÞAHSÝ KUYULAR
Akþehir;REÝS;ÞAHSÝ KUYULAR
Akþehir;SAVAÞ;SULAMA KOOPERATÝFÝ
Akþehir;SORKUN;SULAMA KOOPERATÝFÝ
Akþehir;SÖÐÜTLÜ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;TEKKE;ÞAHSÝ KUYULAR
Akþehir;TÝPÝKÖY;ÞAHSÝ KUYULAR
Akþehir;ULUPINAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;ÜÇHÜYÜK;ÞAHSÝ KUYULAR
Akþehir;YAÞARLAR;ÞAHSÝ KUYULAR
Akþehir;YAYLABELEN;SULAMA KOOPERATÝFÝ
Akþehir;YAZLA;SULAMA KOOPERATÝFÝ
Akþehir;YENÝKÖY;ÞAHSÝ KUYULAR
Akþehir;YEÞÝLKÖY;ÞAHSÝ KUYULAR
Akþehir;SARAY;SULAMA KOOPERATÝFÝ
Altýnekin;OÐUZELÝ;ÞAHSÝ KUYULAR
Altýnekin;AKCAÞAR;ÞAHSÝ KUYULAR
Altýnekin;AYIÞIÐI;YOK
Altýnekin;AKKÖY;ÞAHSÝ KUYULAR
Altýnekin;BORUKKUYU;SULAMA KOOPERATÝFÝ
Altýnekin;HACINUMAN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Altýnekin;KARAKAYA;ÞAHSÝ KUYULAR
Altýnekin;KOÇAÞ;SULAMA KOOPERATÝFÝ
Altýnekin;KOÇYAKA;ÞAHSÝ KUYULAR
Altýnekin;MANTAR;SULAMA KOOPERATÝFÝ
Altýnekin;YENÝÖLMEZ;ÞAHSÝ KUYULAR
Altýnekin;SARNIÇ;ÞAHSÝ KUYULAR
Altýnekin;TOPRAKLIK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Altýnekin;YENÝKUYU;SULAMA KOOPERATÝFÝ
Altýnekin;YENÝYAYLA;ÞAHSÝ KUYULAR
Altýnekin;DEDELER;ÞAHSÝ KUYULAR
Altýnekin;AKINCILAR;ÞAHSÝ KUYULAR
Beyþehir;ADAKÖY;ÞAHSÝ KUYULAR
Beyþehir;AÐILÖNÜ;ÞAHSÝ KUYULAR
Beyþehir;AKBURUN;ÞAHSÝ KUYULAR
Beyþehir;AKÇABELEN;SULAMA KOOPERATÝFÝ
Beyþehir;AVDANCIK;SULAMA BÝRLÝÐÝ
Beyþehir;BADEMLÝ;YOK
Beyþehir;BAYAT;SULAMA BÝRLÝÐÝ
Beyþehir;BAYAVÞAR;SULAMA BÝRLÝÐÝ
Beyþehir;BAYINDIR;SULAMA BÝRLÝÐÝ
Beyþehir;BAÞGÖZE;SULAMA BÝRLÝÐÝ
Beyþehir;BEKDEMÝR;SULAMA BÝRLÝÐÝ
Beyþehir;DAMLAPINAR;SULAMA BÝRLÝÐÝ
Beyþehir;DOÐANBEY;SULAMA BÝRLÝÐÝ
Beyþehir;DOÐANCIK;SULAMA KOOPERATÝFÝ
Beyþehir;DUMANLI;SULAMA BÝRLÝÐÝ
Beyþehir;EMEN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Beyþehir;ESENCE;ÞAHSÝ KUYULAR
Beyþehir;EYLÝKLER;ÞAHSÝ KUYULAR
Beyþehir;EÐÝRLER;ÞAHSÝ KUYULAR
Beyþehir;FASILLAR;ÞAHSÝ KUYULAR
Beyþehir;GÖKÇEKUYU;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;GÖKÇÝMEN;ÞAHSÝ KUYULAR
Beyþehir;GÖLKAÞI;SULAMA KOOPERATÝFÝ
Beyþehir;GÖLYAKA;ÞAHSÝ KUYULAR
Beyþehir;GÖNEN;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;GÖÇÜ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Beyþehir;GÜNDOÐDU;ÞAHSÝ KUYULAR
Beyþehir;HUÐLU;ÞAHSÝ KUYULAR
Beyþehir;HÜSEYÝNLER;ÞAHSÝ KUYULAR
Beyþehir;ÝSAKÖY;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;KARAALÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Beyþehir;KARABAYAT;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Beyþehir;KARADÝKEN;ÞAHSÝ KUYULAR
Beyþehir;KARAHÝSAR;SULAMA BÝRLÝÐÝ
Beyþehir;KAYABAÞI;ÞAHSÝ KUYULAR
Beyþehir;KURUCUOVA;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;KUÞLUCA;ÞAHSÝ KUYULAR
Beyþehir;KÜÇÜKAVÞAR;ÞAHSÝ KUYULAR
Beyþehir;MESUTLAR;ÞAHSÝ KUYULAR
Beyþehir;SADIKHACI;SULAMA KOOPERATÝFÝ
Beyþehir;SARIKÖY;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;SEVÝNDÝK;SULAMA KOOPERATÝFÝ
Beyþehir;ÞAMLAR;ÞAHSÝ KUYULAR
Beyþehir;ÜÇPINAR;ÞAHSÝ KUYULAR
Beyþehir;ÜSTÜNLER;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;ÜZÜMLÜ;ÞAHSÝ KUYULAR
Beyþehir;YAZYURDU;ÞAHSÝ KUYULAR
Beyþehir;YENÝDOÐAN;SULAMA KOOPERATÝFÝ
Beyþehir;YEÞÝLDAÐ;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;YUKARIESENCE;SULAMA BÝRLÝÐÝ
Beyþehir;YUNUSLAR;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Beyþehir;ÇÝFTLÝK;SULAMA BÝRLÝÐÝ
Beyþehir;ÇÝVRÝL;SULAMA BÝRLÝÐÝ
Beyþehir;ÇUKURAÐIL;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Bozkýr;ÇAÐLAYAN;ÞAHSÝ KUYULAR
Bozkýr;HAMZALAR;ÞAHSÝ KUYULAR
Bozkýr;AKÇAPINAR;SULAMA KOOPERATÝFÝ
Bozkýr;ARMUTLU;ÞAHSÝ KUYULAR
Bozkýr;ARSLANTAÞ;ÞAHSÝ KUYULAR
Bozkýr;AYDINKIÞLA;ÞAHSÝ KUYULAR
Bozkýr;AYVALCA;ÞAHSÝ KUYULAR
Bozkýr;BAÐYURDU;ÞAHSÝ KUYULAR
Bozkýr;BAYBAÐAN;SULAMA KOOPERATÝFÝ
Bozkýr;BOZDAM;ÞAHSÝ KUYULAR
Bozkýr;DEREÝÇÝ;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Bozkýr;DEREKÖY;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ, BELEDÝYE
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;ÞAHSÝ KUYULAR
Bozkýr;HACIYUNUSLAR;ÞAHSÝ KUYULAR
Bozkýr;HARMANPINAR;ÞAHSÝ KUYULAR
Bozkýr;HÝSARLIK;ÞAHSÝ KUYULAR
Bozkýr;IÞIKLAR;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ, BELEDÝYE
Bozkýr;KARABAYIR;ÞAHSÝ KUYULAR
Bozkýr;KARACAARDIÇ;ÞAHSÝ KUYULAR
Bozkýr;KARACAHÝSAR;ÞAHSÝ KUYULAR
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;ÞAHSÝ KUYULAR
Bozkýr;KAYAPINAR;ÞAHSÝ KUYULAR
Bozkýr;KINIK;ÞAHSÝ KUYULAR
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;ÞAHSÝ KUYULAR
Bozkýr;KOVANLIK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Bozkýr;KOZAÐAÇ;ÞAHSÝ KUYULAR
Bozkýr;KUÞÇA;ÞAHSÝ KUYULAR
Bozkýr;KÜÇÜKHÝSARLIK;ÞAHSÝ KUYULAR
Bozkýr;PINARCIK;ÞAHSÝ KUYULAR
Bozkýr;SARIOÐLAN;ÞAHSÝ KUYULAR
Bozkýr;SAZLI;ÞAHSÝ KUYULAR
Bozkýr;SOÐUCAK;ÞAHSÝ KUYULAR
Bozkýr;SORKUN;ÞAHSÝ KUYULAR
Bozkýr;SÖÐÜT;ÞAHSÝ KUYULAR
Bozkýr;TARLABAÞI;ÞAHSÝ KUYULAR
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;ÞAHSÝ KUYULAR
Bozkýr;TEPELÝCE;ÞAHSÝ KUYULAR
Bozkýr;ULUPINAR;ÞAHSÝ KUYULAR
Bozkýr;ÜÇPINAR;ÞAHSÝ KUYULAR
Bozkýr;YALNIZCA;ÞAHSÝ KUYULAR
Bozkýr;YAZDAMI;ÞAHSÝ KUYULAR
Bozkýr;YELBEYÝ;ÞAHSÝ KUYULAR
Bozkýr;YENÝKÖY;ÞAHSÝ KUYULAR
Bozkýr;YOLÖREN;ÞAHSÝ KUYULAR
Çeltik;GÖKPINAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;ADAKASIM;ÞAHSÝ KUYULAR
Çeltik;DOÐANYURT;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;KAÞÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;KÜÇÜKHASAN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;TORUNLAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;ÝSHAKUÞAÐI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çeltik;HONAMLI;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Cihanbeyli;BÖÐRÜDELÝK;SULAMA KOOPERATÝFÝ
Cihanbeyli;YAPALI;ÞAHSÝ KUYULAR
Cihanbeyli;YENÝCEOBA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Cihanbeyli;CUMHURÝYET;YOK
Cihanbeyli;GEMECÝK;ÞAHSÝ KUYULAR
Cihanbeyli;GÖKTEPE;ÞAHSÝ KUYULAR
Cihanbeyli;AÐABEYLÝ;ÞAHSÝ KUYULAR
Cihanbeyli;HODOÐLU;YOK
Cihanbeyli;KAYI;ÞAHSÝ KUYULAR
Cihanbeyli;KIRKIÞLA;ÞAHSÝ KUYULAR
Cihanbeyli;KORKMAZLAR;ÞAHSÝ KUYULAR
Cihanbeyli;KÜÇÜKBEÞKAVAK;ÞAHSÝ KUYULAR
Cihanbeyli;MUTLUKONAK;ÞAHSÝ KUYULAR
Cihanbeyli;SAÐLIK;YOK
Cihanbeyli;SIÐIRCIK;SULAMA KOOPERATÝFÝ
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇÝPINAR;ÞAHSÝ KUYULAR
Cihanbeyli;UZUNCAYAYLA;ÞAHSÝ KUYULAR
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERÝYE;ÞAHSÝ KUYULAR
Cihanbeyli;GÖLYAZI;ÞAHSÝ KUYULAR
Cihanbeyli;GÜNYÜZÜ;ÞAHSÝ KUYULAR
Cihanbeyli;ÝNSUYU;ÞAHSÝ KUYULAR
Cihanbeyli;KANDÝL;ÞAHSÝ KUYULAR
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;ÞAHSÝ KUYULAR
Cihanbeyli;KUÞCA;ÞAHSÝ KUYULAR
Cihanbeyli;KÜTÜKUÞAÐI;ÞAHSÝ KUYULAR
Cihanbeyli;TAÞPINAR;ÞAHSÝ KUYULAR
Cihanbeyli;BEYLÝOVA;ÞAHSÝ KUYULAR
Cihanbeyli;ÇÝMEN;ÞAHSÝ KUYULAR
Cihanbeyli;ÇÖL;ÞAHSÝ KUYULAR
Cihanbeyli;DAMLAKUYU;YOK
Cihanbeyli;BULDUK;ÞAHSÝ KUYULAR
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;SULAMA KOOPERATÝFÝ
Çumra;DEDEMOÐLU;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Çumra;TÜRKMENCAMÝLÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;A.B.HÜYÜÐÜ;SULAMA KOOPERATÝFÝ
Çumra;DÝNEK;SULAMA KOOPERATÝFÝ
Çumra;ÝÇERÝÇUMRA;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;GÜVERCÝNLÝK;ÞAHSÝ KUYULAR
Çumra;KARKIN;ÞAHSÝ KUYULAR
Çumra;OKÇU;SULAMA KOOPERATÝFÝ
Çumra;YENÝSU;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;APA;SULAMA KOOPERATÝFÝ
Çumra;ABDÝTOLU;SULAMA KOOPERATÝFÝ
Çumra;ADAKALE;ÞAHSÝ KUYULAR
Çumra;ALEMDAR;ÞAHSÝ KUYULAR
Çumra;APASARAYCIK;ÞAHSÝ KUYULAR
Çumra;AFÞAR;YOK
Çumra;AVDUL;SULAMA KOOPERATÝFÝ
Çumra;BALÇIKHÝSAR;SULAMA KOOPERATÝFÝ
Çumra;BEYLERCE;SULAMA KOOPERATÝFÝ
Çumra;B.AÞLAMA;ÞAHSÝ KUYULAR
Çumra;CÝCEK;SULAMA KOOPERATÝFÝ
Çumra;ÇUKURKAVAK;ÞAHSÝ KUYULAR
Çumra;DÝNLENDÝK;ÞAHSÝ KUYULAR
Çumra;DÝNEKSARAY;SULAMA KOOPERATÝFÝ
Çumra;DOÐANLI;ÞAHSÝ KUYULAR
Çumra;FETHÝYE;SULAMA KOOPERATÝFÝ
Çumra;GÖKHÜYÜK;ÞAHSÝ KUYULAR
Çumra;ERENTEPE;ÞAHSÝ KUYULAR
Çumra;ÝNLÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;KUZUCU;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;KÜÇÜKKÖY;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;SEÇME;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;SÜRGÜÇ;SULAMA KOOPERATÝFÝ
Çumra;TAHTALI;ÞAHSÝ KUYULAR
Çumra;T.KARAHÜYÜK;SULAMA KOOPERATÝFÝ
Çumra;TAÞAÐIL;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;UZUNKUYU;SULAMA KOOPERATÝFÝ
Çumra;ÜÇHÜYÜK;ÞAHSÝ KUYULAR
Çumra;ÜRÜNLÜ;ÞAHSÝ KUYULAR
Çumra;YÖRÜKCAMÝLÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Çumra;ÇAYBAÞI;SULAMA KOOPERATÝFÝ
Derbent;ÇÝFTLÝKÖZÜ;SULAMA KOOPERATÝFÝ
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;ÞAHSÝ KUYULAR
Derbent;GÜNEYKÖY;ÞAHSÝ KUYULAR
Derbent;MÜLAYÝM;YOK
Derbent;SARAYPINAR;ÞAHSÝ KUYULAR
Derbent;YASSIÖREN;ÞAHSÝ KUYULAR
Derbent;SÜLEYMAN;ÞAHSÝ KUYULAR
Derbent;KARALAR;ÞAHSÝ KUYULAR
Derebucak;ÇAMLIK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Derebucak;DURAK;YOK
Derebucak;GENCEK;SULAMA KOOPERATÝFÝ
Derebucak;GÖYNEM;SULAMA KOOPERATÝFÝ
Derebucak;PINARBAÞI;SULAMA BÝRLÝÐÝ
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;ÞAHSÝ KUYULAR
Derebucak;UÐURLU;YOK
Doðanhisar;BAÞKÖY;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Doðanhisar;YAZLICA;SULAMA KOOPERATÝFÝ
Doðanhisar;AYASLAR;SULAMA KOOPERATÝFÝ
Doðanhisar;ÇINAROBA;SULAMA KOOPERATÝFÝ
Doðanhisar;DEÞTÝÐÝN;SULAMA KOOPERATÝFÝ
Doðanhisar;FIRINLI;BELEDÝYE
Doðanhisar;GÜVENDÝK;YOK
Doðanhisar;ÝLYASLAR;SULAMA KOOPERATÝFÝ
Doðanhisar;KARAAÐA;SULAMA KOOPERATÝFÝ
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;ÞAHSÝ KUYULAR
Doðanhisar;KONAKKALE;SULAMA KOOPERATÝFÝ
Doðanhisar;TEKKE;ÞAHSÝ KUYULAR
Doðanhisar;UNCULAR;SULAMA KOOPERATÝFÝ
Doðanhisar;YAZIR;SULAMA KOOPERATÝFÝ
Doðanhisar;YENÝCE;SULAMA KOOPERATÝFÝ
Emirgazi;EKÝZLÝ;ÞAHSÝ KUYULAR
Emirgazi;AKMESCÝT;SULAMA KOOPERATÝFÝ
Emirgazi;BESCÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Emirgazi;DEMÝRCÝ;ÞAHSÝ KUYULAR
Emirgazi;GÖLÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Emirgazi;IÞIKLAR;SULAMA KOOPERATÝFÝ
Emirgazi;KARAÖREN;ÞAHSÝ KUYULAR
Emirgazi;MEÞELÝ;ÞAHSÝ KUYULAR
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Ereðli;ZENGEN;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ereðli;ACIPINAR;SULAMA BÝRLÝÐÝ
Ereðli;ADABAÐ;SULAMA BÝRLÝÐÝ
Ereðli;AKHÜYÜK;SULAMA BÝRLÝÐÝ
Ereðli;ALHAN;SULAMA BÝRLÝÐÝ
Ereðli;AÞAÐI GÖNDELEN;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;AÞIKLAR;SULAMA KOOPERATÝFÝ
Ereðli;AZÝZÝYE;SULAMA BÝRLÝÐÝ
Ereðli;BAHÇELÝ;SULAMA BÝRLÝÐÝ
Ereðli;BELCEAÐAÇ;SULAMA BÝRLÝÐÝ
Ereðli;BELKAYA;SULAMA KOOPERATÝFÝ
Ereðli;BEYKÖY;SULAMA BÝRLÝÐÝ
Ereðli;BEYÖREN;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Ereðli;BULGURLUK;SULAMA BÝRLÝÐÝ
Ereðli;BURHANÝYE;SULAMA BÝRLÝÐÝ
Ereðli;BÜYÜKDEDE;SULAMA KOOPERATÝFÝ
Ereðli;ÇAKMAK;SULAMA BÝRLÝÐÝ, SULAMA KOOPERATÝFÝ
Ereðli;ÇAYHAN;SULAMA KOOPERATÝFÝ
Ereðli;ÇÝLLER;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;ÇÝMENCÝK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;GAYBÝ;SULAMA BÝRLÝÐÝ
Ereðli;GÖKÇEYAZI;SULAMA BÝRLÝÐÝ
Ereðli;GÖKTÖME;SULAMA BÝRLÝÐÝ
Ereðli;HACIMEMÝÞ;SULAMA BÝRLÝÐÝ
Ereðli;KAMIÞLIKUYU;SULAMA BÝRLÝÐÝ
Ereðli;KARABURUN;SULAMA BÝRLÝÐÝ
Ereðli;KARGACI;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;KIZILGEDÝK;SULAMA BÝRLÝÐÝ
Ereðli;KUSKUNCUK;SULAMA BÝRLÝÐÝ
Ereðli;KUTÖREN;SULAMA KOOPERATÝFÝ
Ereðli;KUZUKUYU;SULAMA BÝRLÝÐÝ
Ereðli;MELÝCEK;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;ORHANÝYE;SULAMA BÝRLÝÐÝ
Ereðli;ÖZGÜRLER;SULAMA BÝRLÝÐÝ
Ereðli;PINARÖZÜ;ÞAHSÝ KUYULAR
Ereðli;SARICA;SULAMA BÝRLÝÐÝ
Ereðli;SARITOPALLI;ÞAHSÝ KUYULAR
Ereðli;SELVÝLÝ;ÞAHSÝ KUYULAR
Ereðli;TAÞAÐIL;SULAMA KOOPERATÝFÝ
Ereðli;TAÞBUDAK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Ereðli;TATLIKUYU;ÞAHSÝ KUYULAR
Ereðli;TÜRKMEN;SULAMA BÝRLÝÐÝ
Ereðli;ULUMEÞE;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Ereðli;YAZLIK;SULAMA BÝRLÝÐÝ
Ereðli;YELLÝCE;SULAMA BÝRLÝÐÝ
Ereðli;YENÝKÖY;ÞAHSÝ KUYULAR
Ereðli;YILDIZLI;SULAMA BÝRLÝÐÝ
Ereðli;YUKARIGÖNDELEN;SULAMA BÝRLÝÐÝ
Ereðli;HORTU;SULAMA KOOPERATÝFÝ
Ereðli;ACIKUYU;SULAMA BÝRLÝÐÝ
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;ÞAHSÝ KUYULAR
Güneysýnýr;ALANÖZÜ;ÞAHSÝ KUYULAR
Güneysýnýr;AVCITEPE;YOK
Güneysýnýr;AYDOÐMUÞ;YOK
Güneysýnýr;HABÝLLER;SULAMA KOOPERATÝFÝ
Güneysýnýr;KARAGÜNEY;ÞAHSÝ KUYULAR
Güneysýnýr;KAYAAÐZI;ÞAHSÝ KUYULAR
Güneysýnýr;KIZILÖZ;YOK
Güneysýnýr;KURUKAVAK;ÞAHSÝ KUYULAR
Güneysýnýr;MEHMET ALÝ;BELEDÝYE
Güneysýnýr;ÖMEROÐLU;YOK
Güneysýnýr;ÖRENBOYALI;ÞAHSÝ KUYULAR
Güneysýnýr;SARIHACI;SULAMA KOOPERATÝFÝ
Hadim;AÞAÐIEÞENLER;SULAMA KOOPERATÝFÝ
Hadim;AÞAÐIKIZILKAYA;ÞAHSÝ KUYULAR
Hadim;BADEMLÝ;SULAMA BÝRLÝÐÝ
Hadim;BAÐBAÞI;ÞAHSÝ KUYULAR
Hadim;BEYRELÝ;ÞAHSÝ KUYULAR
Hadim;BOLAT;ÞAHSÝ KUYULAR
Hadim;ÇÝFTEPINAR;SULAMA KOOPERATÝFÝ
Hadim;DEDEMLÝ;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Hadim;DÜLGERLER;ÞAHSÝ KUYULAR
Hadim;FAKILAR;ÞAHSÝ KUYULAR
Hadim;GAZÝLER;ÞAHSÝ KUYULAR
Hadim;GÖYNÜKKIÞLA;SULAMA BÝRLÝÐÝ
Hadim;GÜLPINAR;SULAMA BÝRLÝÐÝ
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;ÞAHSÝ KUYULAR
Hadim;KAPLANLI;ÞAHSÝ KUYULAR
Hadim;GEZLEVÝ;SULAMA BÝRLÝÐÝ
Hadim;KÜPLÜCE;BELEDÝYE
Hadim;ODUNCU;ÞAHSÝ KUYULAR
Hadim;SARNIÇ;ÞAHSÝ KUYULAR
Hadim;SELAHATTÝN;BELEDÝYE
Hadim;UMURLAR;ÞAHSÝ KUYULAR
Hadim;YAÐCI;SULAMA KOOPERATÝFÝ
Hadim;YALINÇEVRE;ÞAHSÝ KUYULAR
Hadim;YELMEZ;SULAMA KOOPERATÝFÝ
Hadim;YENÝKONAK;ÞAHSÝ KUYULAR
Hadim;YUKARIEÞENLER;ÞAHSÝ KUYULAR, SULAMA BÝRLÝÐÝ
Halkapýnar;ÝVRÝZ;SULAMA KOOPERATÝFÝ
Halkapýnar;BÜYÜKDOÐAN;SULAMA KOOPERATÝFÝ
Halkapýnar;DEDELÝ;SULAMA BÝRLÝÐÝ
Halkapýnar;DELÝMAHMUTLU;BELEDÝYE
Halkapýnar;ESKÝHÝSAR;SULAMA KOOPERATÝFÝ
Halkapýnar;KARAYUSUFLU;ÞAHSÝ KUYULAR
Halkapýnar;KAYASARAY;SULAMA KOOPERATÝFÝ
Halkapýnar;KÖRLÜ;ÞAHSÝ KUYULAR
Halkapýnar;KÜSERE;SULAMA BÝRLÝÐÝ
Halkapýnar;OSMANKÖSELÝ;YOK
Halkapýnar;SEYDÝFAKILI;BELEDÝYE
Halkapýnar;YASSIKAYA;BELEDÝYE
