ÝLÇE ADI;MAHALLE ADI;ÝYÝ TARIM UYGULAMALARI
Beyþehir;DOÐANBEY;HAYIR
Beyþehir;DOÐANCIK;HAYIR
Beyþehir;DUMANLI;HAYIR
Beyþehir;EMEN;HAYIR
Beyþehir;ESENCE;HAYIR
Beyþehir;EYLÝKLER;HAYIR
Beyþehir;EÐÝRLER;HAYIR
Beyþehir;FASILLAR;HAYIR
Beyþehir;GÖKÇEKUYU;HAYIR
Beyþehir;GÖKÇÝMEN;HAYIR
Beyþehir;GÖLKAÞI;HAYIR
Beyþehir;GÖLYAKA;HAYIR
Beyþehir;GÖNEN;HAYIR
Beyþehir;GÖÇÜ;HAYIR
Beyþehir;GÜNDOÐDU;HAYIR
Beyþehir;HUÐLU;HAYIR
Beyþehir;HÜSEYÝNLER;HAYIR
Beyþehir;ÝSAKÖY;HAYIR
Beyþehir;KARAALÝ;HAYIR
Beyþehir;KARABAYAT;HAYIR
Beyþehir;KARADÝKEN;HAYIR
Beyþehir;KARAHÝSAR;EVET
Beyþehir;KAYABAÞI;HAYIR
Beyþehir;KURUCUOVA;HAYIR
Beyþehir;KUÞLUCA;HAYIR
Beyþehir;KÜÇÜKAVÞAR;HAYIR
Beyþehir;MESUTLAR;HAYIR
Beyþehir;SADIKHACI;HAYIR
Beyþehir;SARIKÖY;HAYIR
Beyþehir;SEVÝNDÝK;HAYIR
Beyþehir;ÞAMLAR;HAYIR
Beyþehir;ÜÇPINAR;HAYIR
Beyþehir;ÜSTÜNLER;HAYIR
Beyþehir;ÜZÜMLÜ;HAYIR
Beyþehir;YAZYURDU;HAYIR
Beyþehir;YENÝDOÐAN;HAYIR
Beyþehir;YEÞÝLDAÐ;HAYIR
Beyþehir;YUKARIESENCE;HAYIR
Beyþehir;YUNUSLAR;HAYIR
Beyþehir;ÇÝFTLÝK;HAYIR
Beyþehir;ÇÝVRÝL;HAYIR
Beyþehir;ÇUKURAÐIL;HAYIR
Bozkýr;ÇAÐLAYAN;HAYIR
Bozkýr;HAMZALAR;HAYIR
Bozkýr;AKÇAPINAR;HAYIR
Bozkýr;ARMUTLU;HAYIR
Bozkýr;ARSLANTAÞ;HAYIR
Bozkýr;AYDINKIÞLA;HAYIR
Bozkýr;AYVALCA;HAYIR
Bozkýr;BAÐYURDU;HAYIR
Bozkýr;BAYBAÐAN;HAYIR
Bozkýr;BOZDAM;HAYIR
Bozkýr;DEREÝÇÝ;HAYIR
Bozkýr;DEREKÖY;HAYIR
Bozkýr;ELMAAÐAÇ;HAYIR
Bozkýr;HACILAR;HAYIR
Bozkýr;HACIYUNUSLAR;HAYIR
Bozkýr;HARMANPINAR;HAYIR
Bozkýr;HÝSARLIK;HAYIR
Bozkýr;IÞIKLAR;HAYIR
Bozkýr;KARABAYIR;HAYIR
Bozkýr;KARACAARDIÇ;HAYIR
Bozkýr;KARACAHÝSAR;HAYIR
Bozkýr;KARAYAHYA;HAYIR
Bozkýr;KAYACILAR;HAYIR
Bozkýr;KAYAPINAR;HAYIR
Bozkýr;KINIK;HAYIR
Bozkýr;KIZILÇAKIR;HAYIR
Bozkýr;KÝLDERE;HAYIR
Bozkýr;KOVANLIK;HAYIR
Bozkýr;KOZAÐAÇ;HAYIR
Bozkýr;KUÞÇA;HAYIR
Bozkýr;KÜÇÜKHÝSARLIK;HAYIR
Bozkýr;PINARCIK;HAYIR
Bozkýr;SARIOÐLAN;HAYIR
Bozkýr;SAZLI;HAYIR
Bozkýr;SOÐUCAK;HAYIR
Bozkýr;SORKUN;HAYIR
Bozkýr;SÖÐÜT;HAYIR
Bozkýr;TARLABAÞI;HAYIR
Bozkýr;TAÞBAÞI;HAYIR
Bozkýr;TEPEARASI;HAYIR
Bozkýr;TEPELÝCE;HAYIR
Bozkýr;ULUPINAR;HAYIR
Bozkýr;ÜÇPINAR;HAYIR
Bozkýr;YALNIZCA;HAYIR
Bozkýr;YAZDAMI;HAYIR
Bozkýr;YELBEYÝ;HAYIR
Bozkýr;YENÝKÖY;EVET
Bozkýr;YOLÖREN;HAYIR
Çeltik;GÖKPINAR;HAYIR
Çeltik;ADAKASIM;EVET
Çeltik;DOÐANYURT;HAYIR
Çeltik;KAÞÖREN;HAYIR
Çeltik;KÜÇÜKHASAN;HAYIR
Çeltik;TORUNLAR;EVET
Çeltik;ÝSHAKUÞAÐI;EVET
Çeltik;HONAMLI;HAYIR
Cihanbeyli;BÖÐRÜDELÝK;HAYIR
Cihanbeyli;YAPALI;HAYIR
Cihanbeyli;YENÝCEOBA;HAYIR
Cihanbeyli;CUMHURÝYET;HAYIR
Cihanbeyli;GEMECÝK;HAYIR
Cihanbeyli;GÖKTEPE;HAYIR
Cihanbeyli;AÐABEYLÝ;HAYIR
Cihanbeyli;HODOÐLU;HAYIR
Cihanbeyli;KAYI;HAYIR
Cihanbeyli;KIRKIÞLA;HAYIR
Cihanbeyli;KORKMAZLAR;HAYIR
Cihanbeyli;KÜÇÜKBEÞKAVAK;HAYIR
Cihanbeyli;MUTLUKONAK;HAYIR
Cihanbeyli;SAÐLIK;HAYIR
Cihanbeyli;SIÐIRCIK;HAYIR
Cihanbeyli;TURANLAR;HAYIR
Cihanbeyli;TÜFEKÇÝPINAR;HAYIR
Cihanbeyli;UZUNCAYAYLA;EVET
Cihanbeyli;YÜNLÜKUYU;HAYIR
Cihanbeyli;ZAFERÝYE;HAYIR
Cihanbeyli;GÖLYAZI;HAYIR
Cihanbeyli;GÜNYÜZÜ;HAYIR
Cihanbeyli;ÝNSUYU;HAYIR
Cihanbeyli;KANDÝL;HAYIR
Cihanbeyli;KARABAÐ;HAYIR
Cihanbeyli;KELHASAN;HAYIR
Cihanbeyli;KUÞCA;HAYIR
Cihanbeyli;KÜTÜKUÞAÐI;HAYIR
Cihanbeyli;TAÞPINAR;HAYIR
Cihanbeyli;BEYLÝOVA;HAYIR
Cihanbeyli;ÇÝMEN;HAYIR
Cihanbeyli;ÇÖL;HAYIR
Cihanbeyli;DAMLAKUYU;HAYIR
Cihanbeyli;BULDUK;HAYIR
Cihanbeyli;BÜYÜKBEÞKAVAK;HAYIR
Cihanbeyli;KARATEPE;HAYIR
Çumra;ARIKÖREN;HAYIR
Çumra;DEDEMOÐLU;HAYIR
Çumra;TÜRKMENCAMÝLÝ;HAYIR
Çumra;A.B.HÜYÜÐÜ;HAYIR
Çumra;DÝNEK;HAYIR
Çumra;ÝÇERÝÇUMRA;HAYIR
Çumra;GÜVERCÝNLÝK;EVET
Çumra;KARKIN;HAYIR
Çumra;OKÇU;HAYIR
Çumra;YENÝSU;HAYIR
Çumra;APA;HAYIR
Çumra;ABDÝTOLU;HAYIR
Çumra;ADAKALE;HAYIR
Çumra;ALEMDAR;HAYIR
Çumra;APASARAYCIK;HAYIR
Çumra;AFÞAR;HAYIR
Çumra;AVDUL;EVET
Çumra;BALÇIKHÝSAR;HAYIR
Çumra;BEYLERCE;HAYIR
Çumra;B.AÞLAMA;HAYIR
Çumra;CÝCEK;EVET
Çumra;ÇUKURKAVAK;HAYIR
Çumra;DÝNLENDÝK;HAYIR
Çumra;DÝNEKSARAY;HAYIR
Çumra;DOÐANLI;EVET
Çumra;FETHÝYE;HAYIR
Çumra;GÖKHÜYÜK;HAYIR
Çumra;ERENTEPE;HAYIR
Çumra;ÝNLÝ;HAYIR
Çumra;KUZUCU;HAYIR
Çumra;KÜÇÜKKÖY;HAYIR
Çumra;SEÇME;HAYIR
Çumra;SÜRGÜÇ;HAYIR
Çumra;TAHTALI;HAYIR
Çumra;T.KARAHÜYÜK;HAYIR
Çumra;TAÞAÐIL;HAYIR
Çumra;UZUNKUYU;HAYIR
Çumra;ÜÇHÜYÜK;HAYIR
Çumra;ÜRÜNLÜ;HAYIR
Çumra;YÖRÜKCAMÝLÝ;HAYIR
Çumra;ÇAYBAÞI;EVET
Derbent;ÇÝFTLÝKÖZÜ;HAYIR
Derbent;DEÐÝÞ;HAYIR
Derbent;TEKKE;HAYIR
Derbent;GÜNEYKÖY;HAYIR
Derbent;MÜLAYÝM;HAYIR
Derbent;SARAYPINAR;HAYIR
Derbent;YASSIÖREN;HAYIR
Derbent;SÜLEYMAN;HAYIR
Derbent;KARALAR;HAYIR
Derebucak;ÇAMLIK;HAYIR
Derebucak;DURAK;HAYIR
Derebucak;GENCEK;HAYIR
Derebucak;GÖYNEM;EVET
Derebucak;PINARBAÞI;HAYIR
Derebucak;TAÞLIPINAR;HAYIR
Derebucak;TEPEARASI;HAYIR
Derebucak;UÐURLU;HAYIR
Doðanhisar;BAÞKÖY;HAYIR
Doðanhisar;YAZLICA;HAYIR
Doðanhisar;AYASLAR;HAYIR
Doðanhisar;ÇINAROBA;HAYIR
Doðanhisar;DEÞTÝÐÝN;HAYIR
Doðanhisar;FIRINLI;EVET
Doðanhisar;GÜVENDÝK;HAYIR
Doðanhisar;ÝLYASLAR;HAYIR
Doðanhisar;KARAAÐA;HAYIR
Doðanhisar;KEMER;HAYIR
Doðanhisar;KOÇAÞ;HAYIR
Doðanhisar;KONAKKALE;HAYIR
Doðanhisar;TEKKE;HAYIR
Doðanhisar;UNCULAR;HAYIR
Doðanhisar;YAZIR;HAYIR
Doðanhisar;YENÝCE;HAYIR
Emirgazi;EKÝZLÝ;HAYIR
Emirgazi;AKMESCÝT;HAYIR
Emirgazi;BESCÝ;HAYIR
Emirgazi;DEMÝRCÝ;HAYIR
Emirgazi;GÖLÖREN;HAYIR
Emirgazi;IÞIKLAR;HAYIR
Emirgazi;KARAÖREN;HAYIR
Emirgazi;MEÞELÝ;HAYIR
Emirgazi;ÖBEKTAÞ;HAYIR
Emirgazi;YAMAÇ;HAYIR
Ereðli;ZENGEN;HAYIR
Ereðli;ACIPINAR;HAYIR
Ereðli;ADABAÐ;HAYIR
Ereðli;AKHÜYÜK;EVET
Ereðli;ALHAN;HAYIR
Ereðli;AÞAÐI GÖNDELEN;HAYIR
Ereðli;AÞIKLAR;HAYIR
Ereðli;AZÝZÝYE;EVET
Ereðli;BAHÇELÝ;HAYIR
Ereðli;BELCEAÐAÇ;HAYIR
Ereðli;BELKAYA;HAYIR
Ereðli;BEYKÖY;HAYIR
Ereðli;BEYÖREN;HAYIR
Ereðli;BULGURLUK;EVET
Ereðli;BURHANÝYE;HAYIR
Ereðli;BÜYÜKDEDE;HAYIR
Ereðli;ÇAKMAK;HAYIR
Ereðli;ÇAYHAN;HAYIR
Ereðli;ÇÝLLER;EVET
Ereðli;ÇÝMENCÝK;HAYIR
Ereðli;GAYBÝ;HAYIR
Ereðli;GÖKÇEYAZI;HAYIR
Ereðli;GÖKTÖME;HAYIR
Ereðli;HACIMEMÝÞ;HAYIR
Ereðli;KAMIÞLIKUYU;HAYIR
Ereðli;KARABURUN;HAYIR
Ereðli;KARGACI;HAYIR
Ereðli;KIZILGEDÝK;HAYIR
Ereðli;KUSKUNCUK;HAYIR
Ereðli;KUTÖREN;EVET
Ereðli;KUZUKUYU;HAYIR
Ereðli;MELÝCEK;HAYIR
Ereðli;ORHANÝYE;HAYIR
Ereðli;ÖZGÜRLER;HAYIR
Ereðli;PINARÖZÜ;HAYIR
Ereðli;SARICA;HAYIR
Ereðli;SARITOPALLI;HAYIR
Ereðli;SELVÝLÝ;HAYIR
Ereðli;TAÞAÐIL;HAYIR
Ereðli;TAÞBUDAK;HAYIR
Ereðli;TATLIKUYU;HAYIR
Ereðli;TÜRKMEN;HAYIR
Ereðli;ULUMEÞE;HAYIR
Ereðli;YAZLIK;EVET
Ereðli;YELLÝCE;HAYIR
Ereðli;YENÝKÖY;EVET
Ereðli;YILDIZLI;HAYIR
Ereðli;YUKARIGÖNDELEN;EVET
Ereðli;HORTU;HAYIR
Ereðli;ACIKUYU;EVET
Güneysýnýr;GÜRAÐAÇ;HAYIR
Güneysýnýr;AÐAÇOBA;HAYIR
Güneysýnýr;ALANÖZÜ;HAYIR
Güneysýnýr;AVCITEPE;HAYIR
Güneysýnýr;AYDOÐMUÞ;HAYIR
Güneysýnýr;HABÝLLER;HAYIR
Güneysýnýr;KARAGÜNEY;EVET
Güneysýnýr;KAYAAÐZI;HAYIR
Güneysýnýr;KIZILÖZ;HAYIR
Güneysýnýr;KURUKAVAK;HAYIR
Güneysýnýr;MEHMET ALÝ;EVET
Güneysýnýr;ÖMEROÐLU;HAYIR
Güneysýnýr;ÖRENBOYALI;HAYIR
Güneysýnýr;SARIHACI;HAYIR
Hadim;AÞAÐIEÞENLER;HAYIR
Hadim;AÞAÐIKIZILKAYA;HAYIR
Hadim;BADEMLÝ;HAYIR
Hadim;BAÐBAÞI;HAYIR
Hadim;BEYRELÝ;HAYIR
Hadim;BOLAT;EVET
Hadim;ÇÝFTEPINAR;EVET
Hadim;DEDEMLÝ;HAYIR
Hadim;DÜLGERLER;HAYIR
Hadim;FAKILAR;HAYIR
Hadim;GAZÝLER;EVET
Hadim;GÖYNÜKKIÞLA;HAYIR
Hadim;GÜLPINAR;HAYIR
Hadim;ÝÐDEÖREN;HAYIR
Hadim;KALINAÐIL;HAYIR
Hadim;KAPLANLI;HAYIR
Hadim;GEZLEVÝ;HAYIR
Hadim;KÜPLÜCE;HAYIR
Hadim;ODUNCU;HAYIR
Hadim;SARNIÇ;HAYIR
Hadim;SELAHATTÝN;HAYIR
Hadim;UMURLAR;HAYIR
Hadim;YAÐCI;HAYIR
Hadim;YALINÇEVRE;HAYIR
Hadim;YELMEZ;EVET
Hadim;YENÝKONAK;HAYIR
Hadim;YUKARIEÞENLER;EVET
Halkapýnar;ÝVRÝZ;HAYIR
Halkapýnar;BÜYÜKDOÐAN;HAYIR
Halkapýnar;DEDELÝ;HAYIR
Halkapýnar;DELÝMAHMUTLU;HAYIR
Halkapýnar;ESKÝHÝSAR;HAYIR
Halkapýnar;KARAYUSUFLU;HAYIR
Halkapýnar;KAYASARAY;HAYIR
Halkapýnar;KÖRLÜ;HAYIR
Halkapýnar;KÜSERE;HAYIR
Halkapýnar;OSMANKÖSELÝ;HAYIR
Halkapýnar;SEYDÝFAKILI;HAYIR
Halkapýnar;YASSIKAYA;HAYIR
Halkapýnar;YAYIKLI;HAYIR
Halkapýnar;YEÞÝLYURT;EVET
Halkapýnar;ÇAKILLAR;HAYIR
Hüyük;BAÞLAMIÞ;HAYIR
Hüyük;BUDAK;HAYIR
Hüyük;BURUNSUZ;HAYIR
Hüyük;ÇAMLICA;HAYIR
Hüyük;ÇAVUÞ;HAYIR
Hüyük;ÇUKURKENT;EVET
Hüyük;DEÐÝRMENALTI;HAYIR
Hüyük;GÖÇERÝ;HAYIR
Hüyük;GÖRÜNMEZ;HAYIR
Hüyük;ÝLMEN;HAYIR
Hüyük;ÝMRENLER;HAYIR
Hüyük;KIRELÝ;HAYIR
Hüyük;KÖÞK;HAYIR
Hüyük;MUTLU;HAYIR
Hüyük;PINARBAÞI;HAYIR
Hüyük;SELKÝ;HAYIR
Hüyük;SULUDERE;HAYIR
Hüyük;TOLCA;HAYIR
Hüyük;YENÝCE;HAYIR
Ilgýn;ARGITHANI;HAYIR
Ilgýn;BEYKONAK;HAYIR
Ilgýn;ÇAVUÞÇUGÖL;HAYIR
Ilgýn;AÐALAR;HAYIR
Ilgýn;BALKI;HAYIR
Ilgýn;BARAKMUSLU;HAYIR
Ilgýn;BELEKLER;HAYIR
Ilgýn;BOÐAZKENT;HAYIR
Ilgýn;BULCUK;HAYIR
Ilgýn;BÜYÜKOBA;HAYIR
Ilgýn;ÇÝÐÝL;HAYIR
Ilgýn;ÇATAK;HAYIR
Ilgýn;ÇOBANKAYA;HAYIR
Ilgýn;ÇÖMLEKCÝ;HAYIR
Ilgýn;DEREKÖY;HAYIR
Ilgýn;DIÐRAK;HAYIR
Ilgýn;DÜÐER;HAYIR
Ilgýn;ELDEÞ;HAYIR
Ilgýn;GEÇÝT;HAYIR
Ilgýn;GEDÝKÖREN;HAYIR
Ilgýn;GÖSTERE;HAYIR
Ilgýn;GÖKÇEYURT;HAYIR
Ilgýn;GÖLYAKA;HAYIR
Ilgýn;GÖKBUDAK;HAYIR
Ilgýn;GÜNEYPINAR;HAYIR
Ilgýn;HARMANYAZI;HAYIR
Ilgýn;ÝHSANÝYE;HAYIR
Ilgýn;KAPAKLI;HAYIR
Ilgýn;KARAKÖY;HAYIR
Ilgýn;KALEKÖY;HAYIR
Ilgýn;MAHMUTHÝSAR;HAYIR
Ilgýn;MECÝDÝYE;HAYIR
Ilgýn;MÝSAFÝRLÝ;HAYIR
Ilgýn;OLUKPINAR;HAYIR
Ilgýn;ORHANÝYE;HAYIR
Ilgýn;ORMANÖZÜ;HAYIR
Ilgýn;SADIKKÖY;HAYIR
Ilgýn;SEBÝLLER;HAYIR
Ilgýn;TEKELER;HAYIR
Ilgýn;YUKARIÇÝÐÝL;HAYIR
Ilgýn;YORAZLAR;HAYIR
Ilgýn;ZAFERÝYE;HAYIR
Ilgýn;AVDAN;HAYIR
Kadýnhaný;OSMANCIK;HAYIR
Kadýnhaný;AFÞARLI;HAYIR
Kadýnhaný;ALABAÐ;HAYIR
Kadýnhaný;ATLANTI;HAYIR
Kadýnhaný;BAKIRPINAR;HAYIR
Kadýnhaný;BAÞKUYU;HAYIR
Kadýnhaný;BAYRAMLI;HAYIR
Kadýnhaný;BEYKAVAÐI;HAYIR
Kadýnhaný;BULGURPINAR;HAYIR
Kadýnhaný;ÇAVDAR;HAYIR
Kadýnhaný;ÇEÞMECÝK;HAYIR
Kadýnhaný;ÇUBUK;HAYIR
Kadýnhaný;DEMÝROLUK;HAYIR
Kadýnhaný;HACIMEHMETLÝ;HAYIR
Kadýnhaný;HACIOFLAZLAR;HAYIR
Kadýnhaný;HACIPÝRLÝ;HAYIR
Kadýnhaný;KABACALI;HAYIR
Kadýnhaný;KAMIÞLIÖZÜ;HAYIR
Kadýnhaný;KARAHÝSARLI;HAYIR
Kadýnhaný;KARAKURTLU;HAYIR
Kadýnhaný;KARASEVÝNÇ;HAYIR
Kadýnhaný;KARAYÜRÜKLÜ;HAYIR
Kadýnhaný;KIZILKUYU;HAYIR
Kadýnhaný;KOLUKISA;HAYIR
Kadýnhaný;KONURÖREN;HAYIR
Kadýnhaný;KÖKEZ;HAYIR
Kadýnhaný;KÖYLÜTOLU;HAYIR
Kadýnhaný;KURTHASANLI;HAYIR
Kadýnhaný;KÜÇÜKKUYU;HAYIR
Kadýnhaný;MAHMUDÝYE;HAYIR
Kadýnhaný;MEYDANLI;HAYIR
Kadýnhaný;ÖRNEK;HAYIR
Kadýnhaný;PÝRALÝ;HAYIR
Kadýnhaný;PUSAT;HAYIR
Kadýnhaný;SAÇIKARA;HAYIR
Kadýnhaný;SARIKAYA;HAYIR
Kadýnhaný;SÖÐÜTÖZÜ;HAYIR
Kadýnhaný;ÞAHÖREN;HAYIR
Kadýnhaný;TOSUNOÐLU;HAYIR
Kadýnhaný;YAÐLICA;HAYIR
Kadýnhaný;YAYLAYAKA;HAYIR
Karapýnar;HOTAMIÞ;HAYIR
Karapýnar;KESMEZ;HAYIR
Karapýnar;AKÇAYAZI;HAYIR
Karapýnar;AKÖREN;EVET
Karapýnar;ÇÝÐÝL;EVET
Karapýnar;HASANOBA;HAYIR
Karapýnar;ÝSLÝK;HAYIR
Karapýnar;KARAKIÞLA;HAYIR
Karapýnar;KAYACIK;HAYIR
Karapýnar;KAYALI;HAYIR
Karapýnar;KAZANHÜYÜÐÜ;HAYIR
Karapýnar;KÜÇÜKAÞLAMA;HAYIR
Karapýnar;ORTAOBA;HAYIR
Karapýnar;OYMALI;HAYIR
Karapýnar;SAZLIPINAR;HAYIR
Karapýnar;YAÐMAPINAR;HAYIR
Karapýnar;YENÝKUYU;HAYIR
Karapýnar;YEÞÝLYURT;HAYIR
Karatay;YARMA;HAYIR
Karatay;ACIDORT;HAYIR
Karatay;AÐSAKLI;HAYIR
Karatay;AKBAÞ;HAYIR
Karatay;AKÖRENKIÞLA;HAYIR
Karatay;BAKIRTOLU;HAYIR
Karatay;BAÞGÖTÜREN;HAYIR
Karatay;BEÞAÐIL;HAYIR
Karatay;BÜYÜKBURNAK;EVET
Karatay;ÇENGÝLTÝ;HAYIR
Karatay;DÝVANLAR;HAYIR
Karatay;ESENTEPE;HAYIR
Karatay;GÖÇÜ;HAYIR
Karatay;HAYIROÐLU MERKEZ;HAYIR
Karatay;ÝPEKLER;HAYIR
Karatay;ÝSMÝL;HAYIR
Karatay;KARADONA;HAYIR
Karatay;KARAKAYA;HAYIR
Karatay;KATRANCI;HAYIR
Karatay;KIZÖREN;HAYIR
Karatay;KÖSEALÝ;HAYIR
Karatay;OBRUK;HAYIR
Karatay;OVAKAVAÐI;HAYIR
Karatay;SAKYATAN;HAYIR
Karatay;SÜRÜÇ;HAYIR
Karatay;ÞATIR;HAYIR
Karatay;YAÐLIBAYAT;HAYIR
Karatay;YAVÞANKUYU;HAYIR
Karatay;YENÝCE;HAYIR
Karatay;YENÝKENT;HAYIR
Karatay;ZÝNCÝRLÝ;HAYIR
Kulu;ACIKUYU;HAYIR
Kulu;AÐILBAÞI;HAYIR
Kulu;ALTILAR;EVET
Kulu;ARÞINCA;HAYIR
Kulu;BEÞKARDEÞ;EVET
Kulu;BOÐAZÖREN;EVET
Kulu;BOZAN;EVET
Kulu;BURUNAÐIL;EVET
Kulu;CANIMANA;HAYIR
Kulu;CELEP;EVET
Kulu;DÝPDEDE;HAYIR
Kulu;DOÐUTEPE;EVET
Kulu;FEVZÝYE;EVET
Kulu;GÖKLER;HAYIR
Kulu;GÜZELYAYLA;HAYIR
Kulu;HÝSAR;HAYIR
Kulu;KARACADAÐ;EVET
Kulu;KARACADERE;HAYIR
Kulu;KIRKKUYU;EVET
Kulu;KIRKPINAR;HAYIR
Kulu;KOZANLI;EVET
Kulu;KÖMÜÞÝNÝ;HAYIR
Kulu;KÖÞKER;HAYIR
Kulu;SARIYAYLA;HAYIR
Kulu;SEYÝTAHMETLÝ;HAYIR
Kulu;SOÐUKKUYU;HAYIR
Kulu;ÞEREFLÝ;EVET
Kulu;TAVLIÖREN;HAYIR
Kulu;ÖMERANLI;HAYIR
Kulu;TUZYAKA;HAYIR
Kulu;YARAÞLI;HAYIR
Kulu;YAZIÇAYIR;EVET
Kulu;YEÞÝLTEPE;HAYIR
Kulu;YEÞÝLYURT;HAYIR
Kulu;ZÝNCÝRLÝKUYU;EVET
Kulu;BAHADIRLI;HAYIR
Kulu;DEÐÝRMENÖZÜ;EVET
Meram;ERENKAYA;HAYIR
Meram;YATAÐAN;HAYIR
Meram;GÖKYURT;HAYIR
Meram;BAYAT;HAYIR
Meram;BORUKTOLU;HAYIR
Meram;BOTSA;HAYIR
Meram;ÇAYIRBAÐI;HAYIR
Meram;ÇOMAKLAR;HAYIR
Meram;ÇUKURÇÝMEN;HAYIR
Meram;EVLÝYATEKKE;HAYIR
Meram;HATUNSARAY;HAYIR
Meram;ÝKÝPINAR;HAYIR
Meram;ÝLYASBABA;HAYIR
Meram;ÝNLÝCE;HAYIR
Meram;KARAAÐAÇ;HAYIR
Meram;KAVAK;HAYIR
Meram;KAYADÝBÝ;HAYIR
Meram;KAYALI;HAYIR
Meram;KAYHÜYÜK;HAYIR
Meram;KIZILÖREN;HAYIR
Meram;KUMRALI;HAYIR
Meram;SADIKLAR;HAYIR
Meram;SAÐLIK;HAYIR
Meram;SARIKIZ;HAYIR
Meram;SEFAKÖY;HAYIR
Meram;YEÞÝLDERE;HAYIR
Meram;YEÞÝLTEKKE;HAYIR
Meram;KAÞINHANI;EVET
Sarayönü;LADÝK;HAYIR
Sarayönü;BAHÇESARAY;HAYIR
Sarayönü;BAÞHÜYÜK;HAYIR
Sarayönü;BOYALI;HAYIR
Sarayönü;BÜYÜKZENGÝ;HAYIR
Sarayönü;ÇEÞMELÝSEBÝL;HAYIR
Sarayönü;DEÐÝRMENLÝ;HAYIR
Sarayönü;ERTUÐRUL;HAYIR
Sarayönü;GÖZLÜ;HAYIR
Sarayönü;KADIOÐLU;HAYIR
Sarayönü;KARABIYIK;HAYIR
Sarayönü;KARATEPE;HAYIR
Sarayönü;KAYIÖREN;HAYIR
Sarayönü;KONAR;HAYIR
Sarayönü;KURÞUNLU;HAYIR
