ÝLÇE ADI;MAHALLE ADI;ALTERNATÝF YENÝ ÜRÜN ÇEÞÝTLERÝ ÜRETÝMÝ
Beyþehir;EMEN;AYÇÝÇEÐÝ, ASPÝR, HAÞHAÞ
Beyþehir;ESENCE;YOK
Beyþehir;EYLÝKLER;YOK
Beyþehir;EÐÝRLER;KANOLA, ASPÝR
Beyþehir;FASILLAR;ASPÝR, ÇÖREKOTU
Beyþehir;GÖKÇEKUYU;BEZELYE
Beyþehir;GÖKÇÝMEN;YOK
Beyþehir;GÖLKAÞI;YOK
Beyþehir;GÖLYAKA;YOK
Beyþehir;GÖNEN;YOK
Beyþehir;GÖÇÜ;YOK
Beyþehir;GÜNDOÐDU;ASPÝR
Beyþehir;HUÐLU;ÜZÜM, CEVÝZ
Beyþehir;HÜSEYÝNLER;ÞEFTALÝ, KÝRAZ
Beyþehir;ÝSAKÖY;MERCÝMEK, ASPÝR
Beyþehir;KARAALÝ;YOK
Beyþehir;KARABAYAT;PATATES
Beyþehir;KARADÝKEN;YOK
Beyþehir;KARAHÝSAR;ASPÝR
Beyþehir;KAYABAÞI;YOK
Beyþehir;KURUCUOVA;YOK
Beyþehir;KUÞLUCA;YOK
Beyþehir;KÜÇÜKAVÞAR;YOK
Beyþehir;MESUTLAR;ÇÝLEK
Beyþehir;SADIKHACI;YOK
Beyþehir;SARIKÖY;KANOLA, ASPÝR, HAÞHAÞ
Beyþehir;SEVÝNDÝK;YOK
Beyþehir;ÞAMLAR;BEZELYE, ASPÝR
Beyþehir;ÜÇPINAR;YOK
Beyþehir;ÜSTÜNLER;BEZELYE, KÝNOA, AYÇÝÇEÐÝ
Beyþehir;ÜZÜMLÜ;YOK
Beyþehir;YAZYURDU;YOK
Beyþehir;YENÝDOÐAN;YOK
Beyþehir;YEÞÝLDAÐ;YOK
Beyþehir;YUKARIESENCE;YOK
Beyþehir;YUNUSLAR;CEVÝZ, ÇÝLEK
Beyþehir;ÇÝFTLÝK;ASPÝR
Beyþehir;ÇÝVRÝL;SARIMSAK, AHUDUDU, BÖÐÜRTLEN, KORUNGA
Beyþehir;ÇUKURAÐIL;YOK
Bozkýr;ÇAÐLAYAN;YOK
Bozkýr;HAMZALAR;YOK
Bozkýr;AKÇAPINAR;ÇÝLEK
Bozkýr;ARMUTLU;YOK
Bozkýr;ARSLANTAÞ;YOK
Bozkýr;AYDINKIÞLA;YOK
Bozkýr;AYVALCA;ÇÝLEK
Bozkýr;BAÐYURDU;YOK
Bozkýr;BAYBAÐAN;YOK
Bozkýr;BOZDAM;YOK
Bozkýr;DEREÝÇÝ;CEVÝZ, BADEM
Bozkýr;DEREKÖY;YOK
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;YOK
Bozkýr;HACIYUNUSLAR;YOK
Bozkýr;HARMANPINAR;YOK
Bozkýr;HÝSARLIK;GOJÝ BERRY, ÇÝLEK
Bozkýr;IÞIKLAR;YOK
Bozkýr;KARABAYIR;YOK
Bozkýr;KARACAARDIÇ;YOK
Bozkýr;KARACAHÝSAR;YOK
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;YOK
Bozkýr;KAYAPINAR;KÝRAZ
Bozkýr;KINIK;YOK
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;LAVANTA, GÜL
Bozkýr;KOVANLIK;YOK
Bozkýr;KOZAÐAÇ;YOK
Bozkýr;KUÞÇA;YOK
Bozkýr;KÜÇÜKHÝSARLIK;YOK
Bozkýr;PINARCIK;YOK
Bozkýr;SARIOÐLAN;ÇÝLEK
Bozkýr;SAZLI;ÇÝLEK, AHUDUDU
Bozkýr;SOÐUCAK;YOK
Bozkýr;SORKUN;ÇÝLEK
Bozkýr;SÖÐÜT;YOK
Bozkýr;TARLABAÞI;YOK
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;YOK
Bozkýr;TEPELÝCE;YOK
Bozkýr;ULUPINAR;YOK
Bozkýr;ÜÇPINAR;YOK
Bozkýr;YALNIZCA;YOK
Bozkýr;YAZDAMI;YOK
Bozkýr;YELBEYÝ;YOK
Bozkýr;YENÝKÖY;YOK
Bozkýr;YOLÖREN;YOK
Çeltik;GÖKPINAR;ÇÖREKOTU
Çeltik;ADAKASIM;REZENE
Çeltik;DOÐANYURT;ASPÝR
Çeltik;KAÞÖREN;REZENE, KANOLA
Çeltik;KÜÇÜKHASAN;REZENE, ASPÝR
Çeltik;TORUNLAR;KANOLA
Çeltik;ÝSHAKUÞAÐI;REZENE
Çeltik;HONAMLI;YOK
Cihanbeyli;BÖÐRÜDELÝK;NOHUT, KÝMYON, ASPÝR
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENÝCEOBA;NOHUT, FASULYE
Cihanbeyli;CUMHURÝYET;YOK
Cihanbeyli;GEMECÝK;ÇÝLEK
Cihanbeyli;GÖKTEPE;ASPÝR
Cihanbeyli;AÐABEYLÝ;YOK
Cihanbeyli;HODOÐLU;YOK
Cihanbeyli;KAYI;FÝÐ, ASPÝR
Cihanbeyli;KIRKIÞLA;YOK
Cihanbeyli;KORKMAZLAR;KÝMYON, ASPÝR
Cihanbeyli;KÜÇÜKBEÞKAVAK;YOK
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAÐLIK;NOHUT, MERCÝMEK
Cihanbeyli;SIÐIRCIK;AYÇÝÇEÐÝ
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇÝPINAR;KANOLA, ASPÝR
Cihanbeyli;UZUNCAYAYLA;ASPÝR
Cihanbeyli;YÜNLÜKUYU;ASPÝR
Cihanbeyli;ZAFERÝYE;ASPÝR
Cihanbeyli;GÖLYAZI;ASPÝR
Cihanbeyli;GÜNYÜZÜ;YOK
Cihanbeyli;ÝNSUYU;YOK
Cihanbeyli;KANDÝL;YOK
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;ANASON, ASPÝR
Cihanbeyli;KUÞCA;ASPÝR
Cihanbeyli;KÜTÜKUÞAÐI;KANOLA, ASPÝR
Cihanbeyli;TAÞPINAR;YOK
Cihanbeyli;BEYLÝOVA;KANOLA, ASPÝR
Cihanbeyli;ÇÝMEN;YOK
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;ASPÝR
Cihanbeyli;BULDUK;KANOLA, ASPÝR
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;MERCÝMEK
Çumra;ARIKÖREN;YOK
Çumra;DEDEMOÐLU;YOK
Çumra;TÜRKMENCAMÝLÝ;YOK
Çumra;A.B.HÜYÜÐÜ;ÇÝLEK, KANOLA
Çumra;DÝNEK;YOK
Çumra;ÝÇERÝÇUMRA;YOK
Çumra;GÜVERCÝNLÝK;FÝÐ, AYÇÝÇEÐÝ
Çumra;KARKIN;KANOLA
Çumra;OKÇU;AYÇÝÇEÐÝ
Çumra;YENÝSU;YOK
Çumra;APA;YOK
Çumra;ABDÝTOLU;FÝÐ
Çumra;ADAKALE;YOK
Çumra;ALEMDAR;KANOLA, ASPÝR
Çumra;APASARAYCIK;YOK
Çumra;AFÞAR;YOK
Çumra;AVDUL;YOK
Çumra;BALÇIKHÝSAR;KANOLA
Çumra;BEYLERCE;FÝÐ
Çumra;B.AÞLAMA;KANOLA
Çumra;CÝCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DÝNLENDÝK;YOK
Çumra;DÝNEKSARAY;YOK
Çumra;DOÐANLI;YOK
Çumra;FETHÝYE;YOK
Çumra;GÖKHÜYÜK;YOK
Çumra;ERENTEPE;YOK
Çumra;ÝNLÝ;YOK
Çumra;KUZUCU;ASPÝR
Çumra;KÜÇÜKKÖY;KANOLA
Çumra;SEÇME;YOK
Çumra;SÜRGÜÇ;YOK
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;FÝÐ, KANOLA
Çumra;TAÞAÐIL;YOK
Çumra;UZUNKUYU;KÝMYON
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;YOK
Çumra;YÖRÜKCAMÝLÝ;YOK
Çumra;ÇAYBAÞI;YOK
Derbent;ÇÝFTLÝKÖZÜ;YOK
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;YOK
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYÝM;FASULYE
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;FÝÐ, ÇÝLEK
Derbent;KARALAR;ÇÝLEK, BÖÐÜRTLEN
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;KÝNOA
Derebucak;GÖYNEM;ASPÝR
Derebucak;PINARBAÞI;YOK
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;ASPÝR
Derebucak;UÐURLU;YOK
Doðanhisar;BAÞKÖY;SÝLAJLIK MISIR, ASPÝR
Doðanhisar;YAZLICA;ÜZÜM, ÇÝLEK
Doðanhisar;AYASLAR;CEVÝZ, ÞEFTALÝ
Doðanhisar;ÇINAROBA;AYÇÝÇEÐÝ, ASPÝR
Doðanhisar;DEÞTÝÐÝN;BÖÐÜRTLEN
Doðanhisar;FIRINLI;KANOLA
Doðanhisar;GÜVENDÝK;YOK
Doðanhisar;ÝLYASLAR;YOK
Doðanhisar;KARAAÐA;CEVÝZ, ÇÝLEK
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;YOK
Doðanhisar;KONAKKALE;YOK
Doðanhisar;TEKKE;YOK
Doðanhisar;UNCULAR;YOK
Doðanhisar;YAZIR;KANOLA, HAÞHAÞ
Doðanhisar;YENÝCE;ÇÝLEK, ASPÝR
Emirgazi;EKÝZLÝ;KÜLTÜR MANTARI
Emirgazi;AKMESCÝT;NOHUT, MERCÝMEK
Emirgazi;BESCÝ;TRÝTÝKALE
Emirgazi;DEMÝRCÝ;YOK
Emirgazi;GÖLÖREN;YOK
Emirgazi;IÞIKLAR;YOK
Emirgazi;KARAÖREN;YOK
Emirgazi;MEÞELÝ;YOK
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;YOK
Ereðli;ZENGEN;YOK
Ereðli;ACIPINAR;YOK
Ereðli;ADABAÐ;YOK
Ereðli;AKHÜYÜK;YOK
Ereðli;ALHAN;YOK
Ereðli;AÞAÐI GÖNDELEN;YOK
Ereðli;AÞIKLAR;YOK
Ereðli;AZÝZÝYE;YOK
Ereðli;BAHÇELÝ;YOK
Ereðli;BELCEAÐAÇ;YOK
Ereðli;BELKAYA;NOHUT, FÝÐ
Ereðli;BEYKÖY;YOK
Ereðli;BEYÖREN;YOK
Ereðli;BULGURLUK;YOK
Ereðli;BURHANÝYE;YOK
Ereðli;BÜYÜKDEDE;YOK
Ereðli;ÇAKMAK;YOK
Ereðli;ÇAYHAN;YOK
Ereðli;ÇÝLLER;YOK
Ereðli;ÇÝMENCÝK;YOK
Ereðli;GAYBÝ;KÝNOA
Ereðli;GÖKÇEYAZI;YOK
Ereðli;GÖKTÖME;AYÇÝÇEÐÝ
Ereðli;HACIMEMÝÞ;YOK
Ereðli;KAMIÞLIKUYU;YOK
Ereðli;KARABURUN;YOK
Ereðli;KARGACI;YOK
Ereðli;KIZILGEDÝK;YOK
Ereðli;KUSKUNCUK;YOK
Ereðli;KUTÖREN;YOK
Ereðli;KUZUKUYU;PATATES
Ereðli;MELÝCEK;SÝLAJLIK MISIR, FÝÐ
Ereðli;ORHANÝYE;YOK
Ereðli;ÖZGÜRLER;YOK
Ereðli;PINARÖZÜ;AYÇÝÇEÐÝ
Ereðli;SARICA;YOK
Ereðli;SARITOPALLI;YOK
Ereðli;SELVÝLÝ;YOK
Ereðli;TAÞAÐIL;YOK
Ereðli;TAÞBUDAK;YOK
Ereðli;TATLIKUYU;FÝÐ, AYÇÝÇEÐÝ
Ereðli;TÜRKMEN;YOK
Ereðli;ULUMEÞE;ALTIN ÇÝLEK
Ereðli;YAZLIK;SÝLAJLIK MISIR
Ereðli;YELLÝCE;YOK
Ereðli;YENÝKÖY;YOK
Ereðli;YILDIZLI;JAPON ARMUDU
Ereðli;YUKARIGÖNDELEN;ÇÖREKOTU
Ereðli;HORTU;YOK
Ereðli;ACIKUYU;NOHUT, FASULYE, AYÇÝÇEÐÝ
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;YOK
Güneysýnýr;ALANÖZÜ;YOK
Güneysýnýr;AVCITEPE;YOK
Güneysýnýr;AYDOÐMUÞ;YOK
Güneysýnýr;HABÝLLER;GOJÝ BERRY, ÇÝLEK
Güneysýnýr;KARAGÜNEY;YOK
Güneysýnýr;KAYAAÐZI;YOK
Güneysýnýr;KIZILÖZ;YOK
Güneysýnýr;KURUKAVAK;YOK
Güneysýnýr;MEHMET ALÝ;FASULYE, ÇÖREKOTU
Güneysýnýr;ÖMEROÐLU;YOK
Güneysýnýr;ÖRENBOYALI;YOK
Güneysýnýr;SARIHACI;ÇÝLEK
Hadim;AÞAÐIEÞENLER;YOK
Hadim;AÞAÐIKIZILKAYA;SAFRAN
Hadim;BADEMLÝ;CEVÝZ
Hadim;BAÐBAÞI;YOK
Hadim;BEYRELÝ;ÇÝLEK
Hadim;BOLAT;ÇÝLEK
Hadim;ÇÝFTEPINAR;YOK
Hadim;DEDEMLÝ;YOK
Hadim;DÜLGERLER;SARIMSAK, AYÇÝÇEÐÝ, ÇÖREKOTU
Hadim;FAKILAR;YOK
Hadim;GAZÝLER;YOK
Hadim;GÖYNÜKKIÞLA;YOK
Hadim;GÜLPINAR;YOK
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;YOK
Hadim;KAPLANLI;YOK
Hadim;GEZLEVÝ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;YOK
Hadim;SELAHATTÝN;YOK
Hadim;UMURLAR;CEVÝZ
Hadim;YAÐCI;GOJÝ BERRY
Hadim;YALINÇEVRE;GOJÝ BERRY
Hadim;YELMEZ;YOK
Hadim;YENÝKONAK;CEVÝZ
Hadim;YUKARIEÞENLER;YOK
Halkapýnar;ÝVRÝZ;YOK
Halkapýnar;BÜYÜKDOÐAN;YOK
Halkapýnar;DEDELÝ;YOK
Halkapýnar;DELÝMAHMUTLU;YOK
Halkapýnar;ESKÝHÝSAR;YOK
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;YOK
Halkapýnar;KÖRLÜ;YOK
Halkapýnar;KÜSERE;YOK
Halkapýnar;OSMANKÖSELÝ;ÇÝLEK
Halkapýnar;SEYDÝFAKILI;YOK
Halkapýnar;YASSIKAYA;KÝRAZ
Halkapýnar;YAYIKLI;MISIR, ÇÝLEK
Halkapýnar;YEÞÝLYURT;TRÝTÝKALE
Halkapýnar;ÇAKILLAR;YOK
Hüyük;BAÞLAMIÞ;YOK
Hüyük;BUDAK;FASULYE, AHUDUDU, BÖÐÜRTLEN
Hüyük;BURUNSUZ;CEVÝZ
Hüyük;ÇAMLICA;YOK
Hüyük;ÇAVUÞ;ÜZÜM
Hüyük;ÇUKURKENT;ÇÝLEK
Hüyük;DEÐÝRMENALTI;AHUDUDU
Hüyük;GÖÇERÝ;YOK
Hüyük;GÖRÜNMEZ;ASPÝR
Hüyük;ÝLMEN;AHUDUDU
Hüyük;ÝMRENLER;MERCÝMEK, ÇÝLEK, KANOLA, AHUDUDU, ASPÝR
Hüyük;KIRELÝ;LAVANTA, LALE
Hüyük;KÖÞK;CEVÝZ, KANOLA
Hüyük;MUTLU;CEVÝZ
Hüyük;PINARBAÞI;YOK
Hüyük;SELKÝ;SÝLAJLIK MISIR, ÇÝLEK, YONCA
Hüyük;SULUDERE;YOK
Hüyük;TOLCA;YOK
Hüyük;YENÝCE;AHUDUDU, BÖÐÜRTLEN
Ilgýn;ARGITHANI;ÇÖREKOTU
Ilgýn;BEYKONAK;YOK
Ilgýn;ÇAVUÞÇUGÖL;PATATES, ASPÝR, ÇÖREKOTU, ÇEREZLÝK KABAK
Ilgýn;AÐALAR;SÝLAJLIK MISIR, FÝÐ
Ilgýn;BALKI;YOK
Ilgýn;BARAKMUSLU;YOK
Ilgýn;BELEKLER;YOK
Ilgýn;BOÐAZKENT;KÝMYON, ASPÝR
Ilgýn;BULCUK;CEVÝZ, VÝÞNE
Ilgýn;BÜYÜKOBA;ÞEKER PANCARI
Ilgýn;ÇÝÐÝL;BÖÐÜRTLEN
Ilgýn;ÇATAK;YOK
Ilgýn;ÇOBANKAYA;KÝMYON
Ilgýn;ÇÖMLEKCÝ;KÝMYON, ASPÝR
Ilgýn;DEREKÖY;YOK
Ilgýn;DIÐRAK;YOK
Ilgýn;DÜÐER;YOK
Ilgýn;ELDEÞ;YOK
Ilgýn;GEÇÝT;AYÇÝÇEÐÝ, ASPÝR
Ilgýn;GEDÝKÖREN;YOK
Ilgýn;GÖSTERE;YOK
Ilgýn;GÖKÇEYURT;ÇÝLEK
Ilgýn;GÖLYAKA;TRÝTÝKALE
Ilgýn;GÖKBUDAK;ÇÝLEK
Ilgýn;GÜNEYPINAR;YOK
Ilgýn;HARMANYAZI;MERCÝMEK, ASPÝR
Ilgýn;ÝHSANÝYE;NOHUT
Ilgýn;KAPAKLI;YOK
Ilgýn;KARAKÖY;ÇÖREKOTU
Ilgýn;KALEKÖY;YOK
Ilgýn;MAHMUTHÝSAR;AYÇÝÇEÐÝ
Ilgýn;MECÝDÝYE;FÝÐ, ASPÝR, ÇÖREKOTU
Ilgýn;MÝSAFÝRLÝ;YOK
Ilgýn;OLUKPINAR;YOK
Ilgýn;ORHANÝYE;FÝÐ, ÇÖREKOTU
Ilgýn;ORMANÖZÜ;YOK
Ilgýn;SADIKKÖY;YOK
Ilgýn;SEBÝLLER;YOK
Ilgýn;TEKELER;BADEM
Ilgýn;YUKARIÇÝÐÝL;PATATES, FASULYE
Ilgýn;YORAZLAR;YOK
Ilgýn;ZAFERÝYE;YOK
Ilgýn;AVDAN;KÝRAZ, AHUDUDU, ASPÝR, BÖÐÜRTLEN
Kadýnhaný;OSMANCIK;YOK
Kadýnhaný;AFÞARLI;YOK
Kadýnhaný;ALABAÐ;YOK
Kadýnhaný;ATLANTI;YOK
Kadýnhaný;BAKIRPINAR;YOK
Kadýnhaný;BAÞKUYU;YOK
Kadýnhaný;BAYRAMLI;SÝLAJLIK MISIR
Kadýnhaný;BEYKAVAÐI;YOK
Kadýnhaný;BULGURPINAR;YOK
Kadýnhaný;ÇAVDAR;YOK
Kadýnhaný;ÇEÞMECÝK;YOK
Kadýnhaný;ÇUBUK;YOK
Kadýnhaný;DEMÝROLUK;YOK
Kadýnhaný;HACIMEHMETLÝ;YOK
Kadýnhaný;HACIOFLAZLAR;YOK
Kadýnhaný;HACIPÝRLÝ;YOK
Kadýnhaný;KABACALI;YOK
Kadýnhaný;KAMIÞLIÖZÜ;YOK
Kadýnhaný;KARAHÝSARLI;YOK
Kadýnhaný;KARAKURTLU;YOK
Kadýnhaný;KARASEVÝNÇ;YOK
Kadýnhaný;KARAYÜRÜKLÜ;YOK
Kadýnhaný;KIZILKUYU;YOK
Kadýnhaný;KOLUKISA;YOK
Kadýnhaný;KONURÖREN;KÝMYON, ASPÝR
Kadýnhaný;KÖKEZ;YOK
Kadýnhaný;KÖYLÜTOLU;YOK
Kadýnhaný;KURTHASANLI;YOK
Kadýnhaný;KÜÇÜKKUYU;YOK
Kadýnhaný;MAHMUDÝYE;ANASON, ÇÖREKOTU
Kadýnhaný;MEYDANLI;YOK
Kadýnhaný;ÖRNEK;YOK
Kadýnhaný;PÝRALÝ;YOK
Kadýnhaný;PUSAT;YOK
Kadýnhaný;SAÇIKARA;YOK
Kadýnhaný;SARIKAYA;YOK
Kadýnhaný;SÖÐÜTÖZÜ;YOK
Kadýnhaný;ÞAHÖREN;YOK
Kadýnhaný;TOSUNOÐLU;YOK
Kadýnhaný;YAÐLICA;YOK
Kadýnhaný;YAYLAYAKA;YOK
Karapýnar;HOTAMIÞ;YOK
Karapýnar;KESMEZ;YOK
Karapýnar;AKÇAYAZI;YOK
Karapýnar;AKÖREN;YOK
Karapýnar;ÇÝÐÝL;KANOLA
Karapýnar;HASANOBA;YOK
Karapýnar;ÝSLÝK;YOK
Karapýnar;KARAKIÞLA;PATATES
Karapýnar;KAYACIK;YOK
Karapýnar;KAYALI;YOK
Karapýnar;KAZANHÜYÜÐÜ;AYÇÝÇEÐÝ
Karapýnar;KÜÇÜKAÞLAMA;YOK
Karapýnar;ORTAOBA;YOK
Karapýnar;OYMALI;YOK
Karapýnar;SAZLIPINAR;SARIMSAK
Karapýnar;YAÐMAPINAR;YOK
Karapýnar;YENÝKUYU;YOK
Karapýnar;YEÞÝLYURT;YOK
Karatay;YARMA;PATATES, KANOLA
Karatay;ACIDORT;YOK
Karatay;AÐSAKLI;SÝLAJLIK MISIR
Karatay;AKBAÞ;KANOLA
Karatay;AKÖRENKIÞLA;ASPÝR
Karatay;BAKIRTOLU;YOK
Karatay;BAÞGÖTÜREN;YOK
Karatay;BEÞAÐIL;FASULYE
Karatay;BÜYÜKBURNAK;SÝLAJLIK MISIR
Karatay;ÇENGÝLTÝ;KÝNOA
Karatay;DÝVANLAR;YOK
Karatay;ESENTEPE;SÝLAJLIK MISIR
Karatay;GÖÇÜ;YOK
Karatay;HAYIROÐLU MERKEZ;KANOLA
Karatay;ÝPEKLER;YOK
Karatay;ÝSMÝL;YOK
Karatay;KARADONA;YOK
Karatay;KARAKAYA;YOK
Karatay;KATRANCI;YEM BEZELYESÝ, KANOLA, YONCA
Karatay;KIZÖREN;KANOLA
Karatay;KÖSEALÝ;SARIMSAK
Karatay;OBRUK;FASULYE
Karatay;OVAKAVAÐI;YOK
Karatay;SAKYATAN;YOK
Karatay;SÜRÜÇ;ASPÝR, ÇÖREKOTU
Karatay;ÞATIR;YOK
Karatay;YAÐLIBAYAT;YOK
Karatay;YAVÞANKUYU;YOK
Karatay;YENÝCE;YOK
Karatay;YENÝKENT;BEZELYE, ASPÝR
Karatay;ZÝNCÝRLÝ;YOK
Kulu;ACIKUYU;KÝMYON, ASPÝR
Kulu;AÐILBAÞI;YOK
Kulu;ALTILAR;ASPÝR
Kulu;ARÞINCA;KANOLA, ASPÝR
Kulu;BEÞKARDEÞ;YOK
Kulu;BOÐAZÖREN;YOK
Kulu;BOZAN;MERCÝMEK
Kulu;BURUNAÐIL;YOK
Kulu;CANIMANA;NOHUT
Kulu;CELEP;YOK
Kulu;DÝPDEDE;YOK
Kulu;DOÐUTEPE;YOK
Kulu;FEVZÝYE;ASPÝR
Kulu;GÖKLER;YOK
Kulu;GÜZELYAYLA;YOK
Kulu;HÝSAR;YOK
Kulu;KARACADAÐ;FÝÐ, ASPÝR, ÇÖREKOTU
Kulu;KARACADERE;FÝÐ
Kulu;KIRKKUYU;KÝNOA
Kulu;KIRKPINAR;YOK
Kulu;KOZANLI;FÝÐ, MISIR
Kulu;KÖMÜÞÝNÝ;ASPÝR
Kulu;KÖÞKER;YOK
Kulu;SARIYAYLA;YOK
Kulu;SEYÝTAHMETLÝ;YOK
Kulu;SOÐUKKUYU;YOK
Kulu;ÞEREFLÝ;YOK
Kulu;TAVLIÖREN;YOK
Kulu;ÖMERANLI;YOK
Kulu;TUZYAKA;ÇÝLEK, ASPÝR
Kulu;YARAÞLI;YOK
Kulu;YAZIÇAYIR;ASPÝR
Kulu;YEÞÝLTEPE;YOK
Kulu;YEÞÝLYURT;YOK
Kulu;ZÝNCÝRLÝKUYU;NOHUT, FÝÐ, ÇÖREKOTU
Kulu;BAHADIRLI;MISIR, AYÇÝÇEÐÝ, ÇÖREKOTU
Kulu;DEÐÝRMENÖZÜ;ÇÖREKOTU
