ÝLÇE ADI;MAHALLE ADI;SULAK ALAN MÝKTARI
Çeltik;TORUNLAR;70%
Çeltik;ÝSHAKUÞAÐI;70%
Çeltik;HONAMLI;60%
Cihanbeyli;BÖÐRÜDELÝK;50%
Cihanbeyli;YAPALI;35%
Cihanbeyli;YENÝCEOBA;70%
Cihanbeyli;CUMHURÝYET;0%
Cihanbeyli;GEMECÝK;20%
Cihanbeyli;GÖKTEPE;5%
Cihanbeyli;AÐABEYLÝ;30%
Cihanbeyli;HODOÐLU;0%
Cihanbeyli;KAYI;20%
Cihanbeyli;KIRKIÞLA;40%
Cihanbeyli;KORKMAZLAR;10%
Cihanbeyli;KÜÇÜKBEÞKAVAK;5%
Cihanbeyli;MUTLUKONAK;10%
Cihanbeyli;SAÐLIK;0%
Cihanbeyli;SIÐIRCIK;5%
Cihanbeyli;TURANLAR;0%
Cihanbeyli;TÜFEKÇÝPINAR;25%
Cihanbeyli;UZUNCAYAYLA;10%
Cihanbeyli;YÜNLÜKUYU;0%
Cihanbeyli;ZAFERÝYE;35%
Cihanbeyli;GÖLYAZI;15%
Cihanbeyli;GÜNYÜZÜ;60%
Cihanbeyli;ÝNSUYU;40%
Cihanbeyli;KANDÝL;10%
Cihanbeyli;KARABAÐ;0%
Cihanbeyli;KELHASAN;10%
Cihanbeyli;KUÞCA;20%
Cihanbeyli;KÜTÜKUÞAÐI;15%
Cihanbeyli;TAÞPINAR;70%
Cihanbeyli;BEYLÝOVA;40%
Cihanbeyli;ÇÝMEN;10%
Cihanbeyli;ÇÖL;15%
Cihanbeyli;DAMLAKUYU;10%
Cihanbeyli;BULDUK;0%
Cihanbeyli;BÜYÜKBEÞKAVAK;0%
Cihanbeyli;KARATEPE;0%
Çumra;ARIKÖREN;70%
Çumra;DEDEMOÐLU;60%
Çumra;TÜRKMENCAMÝLÝ;70%
Çumra;A.B.HÜYÜÐÜ;70%
Çumra;DÝNEK;50%
Çumra;ÝÇERÝÇUMRA;70%
Çumra;GÜVERCÝNLÝK;80%
Çumra;KARKIN;95%
Çumra;OKÇU;100%
Çumra;YENÝSU;70%
Çumra;APA;80%
Çumra;ABDÝTOLU;80%
Çumra;ADAKALE;35%
Çumra;ALEMDAR;95%
Çumra;APASARAYCIK;35%
Çumra;AFÞAR;0%
Çumra;AVDUL;70%
Çumra;BALÇIKHÝSAR;20%
Çumra;BEYLERCE;80%
Çumra;B.AÞLAMA;80%
Çumra;CÝCEK;10%
Çumra;ÇUKURKAVAK;10%
Çumra;DÝNLENDÝK;95%
Çumra;DÝNEKSARAY;50%
Çumra;DOÐANLI;95%
Çumra;FETHÝYE;95%
Çumra;GÖKHÜYÜK;30%
Çumra;ERENTEPE;95%
Çumra;ÝNLÝ;80%
Çumra;KUZUCU;35%
Çumra;KÜÇÜKKÖY;95%
Çumra;SEÇME;30%
Çumra;SÜRGÜÇ;80%
Çumra;TAHTALI;10%
Çumra;T.KARAHÜYÜK;95%
Çumra;TAÞAÐIL;100%
Çumra;UZUNKUYU;70%
Çumra;ÜÇHÜYÜK;10%
Çumra;ÜRÜNLÜ;95%
Çumra;YÖRÜKCAMÝLÝ;10%
Çumra;ÇAYBAÞI;60%
Derbent;ÇÝFTLÝKÖZÜ;25%
Derbent;DEÐÝÞ;0%
Derbent;TEKKE;10%
Derbent;GÜNEYKÖY;25%
Derbent;MÜLAYÝM;0%
Derbent;SARAYPINAR;10%
Derbent;YASSIÖREN;20%
Derbent;SÜLEYMAN;20%
Derbent;KARALAR;60%
Derebucak;ÇAMLIK;5%
Derebucak;DURAK;0%
Derebucak;GENCEK;50%
Derebucak;GÖYNEM;50%
Derebucak;PINARBAÞI;70%
Derebucak;TAÞLIPINAR;10%
Derebucak;TEPEARASI;10%
Derebucak;UÐURLU;10%
Doðanhisar;BAÞKÖY;25%
Doðanhisar;YAZLICA;15%
Doðanhisar;AYASLAR;40%
Doðanhisar;ÇINAROBA;40%
Doðanhisar;DEÞTÝÐÝN;40%
Doðanhisar;FIRINLI;50%
Doðanhisar;GÜVENDÝK;30%
Doðanhisar;ÝLYASLAR;25%
Doðanhisar;KARAAÐA;50%
Doðanhisar;KEMER;0%
Doðanhisar;KOÇAÞ;5%
Doðanhisar;KONAKKALE;50%
Doðanhisar;TEKKE;40%
Doðanhisar;UNCULAR;50%
Doðanhisar;YAZIR;15%
Doðanhisar;YENÝCE;60%
Emirgazi;EKÝZLÝ;5%
Emirgazi;AKMESCÝT;25%
Emirgazi;BESCÝ;20%
Emirgazi;DEMÝRCÝ;30%
Emirgazi;GÖLÖREN;20%
Emirgazi;IÞIKLAR;30%
Emirgazi;KARAÖREN;10%
Emirgazi;MEÞELÝ;20%
Emirgazi;ÖBEKTAÞ;0%
Emirgazi;YAMAÇ;20%
Ereðli;ZENGEN;70%
Ereðli;ACIPINAR;90%
Ereðli;ADABAÐ;30%
Ereðli;AKHÜYÜK;80%
Ereðli;ALHAN;60%
Ereðli;AÞAÐI GÖNDELEN;95%
Ereðli;AÞIKLAR;80%
Ereðli;AZÝZÝYE;40%
Ereðli;BAHÇELÝ;80%
Ereðli;BELCEAÐAÇ;70%
Ereðli;BELKAYA;30%
Ereðli;BEYKÖY;35%
Ereðli;BEYÖREN;60%
Ereðli;BULGURLUK;35%
Ereðli;BURHANÝYE;50%
Ereðli;BÜYÜKDEDE;30%
Ereðli;ÇAKMAK;40%
Ereðli;ÇAYHAN;40%
Ereðli;ÇÝLLER;90%
Ereðli;ÇÝMENCÝK;95%
Ereðli;GAYBÝ;60%
Ereðli;GÖKÇEYAZI;40%
Ereðli;GÖKTÖME;95%
Ereðli;HACIMEMÝÞ;80%
Ereðli;KAMIÞLIKUYU;40%
Ereðli;KARABURUN;80%
Ereðli;KARGACI;80%
Ereðli;KIZILGEDÝK;0%
Ereðli;KUSKUNCUK;60%
Ereðli;KUTÖREN;20%
Ereðli;KUZUKUYU;40%
Ereðli;MELÝCEK;95%
Ereðli;ORHANÝYE;30%
Ereðli;ÖZGÜRLER;95%
Ereðli;PINARÖZÜ;95%
Ereðli;SARICA;95%
Ereðli;SARITOPALLI;95%
Ereðli;SELVÝLÝ;70%
Ereðli;TAÞAÐIL;50%
Ereðli;TAÞBUDAK;40%
Ereðli;TATLIKUYU;30%
Ereðli;TÜRKMEN;25%
Ereðli;ULUMEÞE;90%
Ereðli;YAZLIK;90%
Ereðli;YELLÝCE;10%
Ereðli;YENÝKÖY;80%
Ereðli;YILDIZLI;60%
Ereðli;YUKARIGÖNDELEN;95%
Ereðli;HORTU;35%
Ereðli;ACIKUYU;50%
Güneysýnýr;GÜRAÐAÇ;0%
Güneysýnýr;AÐAÇOBA;35%
Güneysýnýr;ALANÖZÜ;50%
Güneysýnýr;AVCITEPE;10%
Güneysýnýr;AYDOÐMUÞ;0%
Güneysýnýr;HABÝLLER;20%
Güneysýnýr;KARAGÜNEY;40%
Güneysýnýr;KAYAAÐZI;25%
Güneysýnýr;KIZILÖZ;10%
Güneysýnýr;KURUKAVAK;10%
Güneysýnýr;MEHMET ALÝ;40%
Güneysýnýr;ÖMEROÐLU;25%
Güneysýnýr;ÖRENBOYALI;40%
Güneysýnýr;SARIHACI;50%
Hadim;AÞAÐIEÞENLER;20%
Hadim;AÞAÐIKIZILKAYA;10%
Hadim;BADEMLÝ;30%
Hadim;BAÐBAÞI;30%
Hadim;BEYRELÝ;60%
Hadim;BOLAT;30%
Hadim;ÇÝFTEPINAR;500%
Hadim;DEDEMLÝ;20%
Hadim;DÜLGERLER;30%
Hadim;FAKILAR;10%
Hadim;GAZÝLER;45%
Hadim;GÖYNÜKKIÞLA;40%
Hadim;GÜLPINAR;60%
Hadim;ÝÐDEÖREN;0%
Hadim;KALINAÐIL;10%
Hadim;KAPLANLI;25%
Hadim;GEZLEVÝ;20%
Hadim;KÜPLÜCE;30%
Hadim;ODUNCU;20%
Hadim;SARNIÇ;15%
Hadim;SELAHATTÝN;30%
Hadim;UMURLAR;10%
Hadim;YAÐCI;60%
Hadim;YALINÇEVRE;40%
Hadim;YELMEZ;20%
Hadim;YENÝKONAK;5%
Hadim;YUKARIEÞENLER;10%
Halkapýnar;ÝVRÝZ;40%
Halkapýnar;BÜYÜKDOÐAN;35%
Halkapýnar;DEDELÝ;25%
Halkapýnar;DELÝMAHMUTLU;60%
Halkapýnar;ESKÝHÝSAR;35%
Halkapýnar;KARAYUSUFLU;50%
Halkapýnar;KAYASARAY;50%
Halkapýnar;KÖRLÜ;50%
Halkapýnar;KÜSERE;50%
Halkapýnar;OSMANKÖSELÝ;30%
Halkapýnar;SEYDÝFAKILI;10%
Halkapýnar;YASSIKAYA;70%
Halkapýnar;YAYIKLI;45%
Halkapýnar;YEÞÝLYURT;20%
Halkapýnar;ÇAKILLAR;10%
Hüyük;BAÞLAMIÞ;50%
Hüyük;BUDAK;90%
Hüyük;BURUNSUZ;20%
Hüyük;ÇAMLICA;20%
Hüyük;ÇAVUÞ;35%
Hüyük;ÇUKURKENT;30%
Hüyük;DEÐÝRMENALTI;30%
Hüyük;GÖÇERÝ;80%
Hüyük;GÖRÜNMEZ;10%
Hüyük;ÝLMEN;70%
Hüyük;ÝMRENLER;25%
Hüyük;KIRELÝ;30%
Hüyük;KÖÞK;20%
Hüyük;MUTLU;70%
Hüyük;PINARBAÞI;30%
Hüyük;SELKÝ;70%
Hüyük;SULUDERE;70%
Hüyük;TOLCA;30%
Hüyük;YENÝCE;40%
Ilgýn;ARGITHANI;25%
Ilgýn;BEYKONAK;60%
Ilgýn;ÇAVUÞÇUGÖL;70%
Ilgýn;AÐALAR;40%
Ilgýn;BALKI;20%
Ilgýn;BARAKMUSLU;0%
Ilgýn;BELEKLER;20%
Ilgýn;BOÐAZKENT;70%
Ilgýn;BULCUK;60%
Ilgýn;BÜYÜKOBA;60%
Ilgýn;ÇÝÐÝL;25%
Ilgýn;ÇATAK;0%
Ilgýn;ÇOBANKAYA;0%
Ilgýn;ÇÖMLEKCÝ;0%
Ilgýn;DEREKÖY;0%
Ilgýn;DIÐRAK;0%
Ilgýn;DÜÐER;5%
Ilgýn;ELDEÞ;50%
Ilgýn;GEÇÝT;10%
Ilgýn;GEDÝKÖREN;10%
Ilgýn;GÖSTERE;30%
Ilgýn;GÖKÇEYURT;20%
Ilgýn;GÖLYAKA;10%
Ilgýn;GÖKBUDAK;10%
Ilgýn;GÜNEYPINAR;40%
Ilgýn;HARMANYAZI;20%
Ilgýn;ÝHSANÝYE;30%
Ilgýn;KAPAKLI;30%
Ilgýn;KARAKÖY;40%
Ilgýn;KALEKÖY;10%
Ilgýn;MAHMUTHÝSAR;50%
Ilgýn;MECÝDÝYE;30%
Ilgýn;MÝSAFÝRLÝ;10%
Ilgýn;OLUKPINAR;50%
Ilgýn;ORHANÝYE;60%
Ilgýn;ORMANÖZÜ;70%
Ilgýn;SADIKKÖY;70%
Ilgýn;SEBÝLLER;20%
Ilgýn;TEKELER;0%
Ilgýn;YUKARIÇÝÐÝL;40%
Ilgýn;YORAZLAR;40%
Ilgýn;ZAFERÝYE;25%
Ilgýn;AVDAN;10%
Kadýnhaný;OSMANCIK;70%
Kadýnhaný;AFÞARLI;10%
Kadýnhaný;ALABAÐ;20%
Kadýnhaný;ATLANTI;40%
Kadýnhaný;BAKIRPINAR;20%
Kadýnhaný;BAÞKUYU;40%
Kadýnhaný;BAYRAMLI;70%
Kadýnhaný;BEYKAVAÐI;50%
Kadýnhaný;BULGURPINAR;10%
Kadýnhaný;ÇAVDAR;20%
Kadýnhaný;ÇEÞMECÝK;0%
Kadýnhaný;ÇUBUK;0%
Kadýnhaný;DEMÝROLUK;10%
Kadýnhaný;HACIMEHMETLÝ;25%
Kadýnhaný;HACIOFLAZLAR;20%
Kadýnhaný;HACIPÝRLÝ;30%
Kadýnhaný;KABACALI;0%
Kadýnhaný;KAMIÞLIÖZÜ;35%
Kadýnhaný;KARAHÝSARLI;10%
Kadýnhaný;KARAKURTLU;10%
Kadýnhaný;KARASEVÝNÇ;0%
Kadýnhaný;KARAYÜRÜKLÜ;15%
Kadýnhaný;KIZILKUYU;5%
Kadýnhaný;KOLUKISA;50%
Kadýnhaný;KONURÖREN;5%
Kadýnhaný;KÖKEZ;30%
Kadýnhaný;KÖYLÜTOLU;5%
Kadýnhaný;KURTHASANLI;5%
Kadýnhaný;KÜÇÜKKUYU;20%
Kadýnhaný;MAHMUDÝYE;35%
Kadýnhaný;MEYDANLI;10%
Kadýnhaný;ÖRNEK;5%
Kadýnhaný;PÝRALÝ;0%
Kadýnhaný;PUSAT;25%
Kadýnhaný;SAÇIKARA;10%
Kadýnhaný;SARIKAYA;0%
Kadýnhaný;SÖÐÜTÖZÜ;10%
Kadýnhaný;ÞAHÖREN;10%
Kadýnhaný;TOSUNOÐLU;10%
Kadýnhaný;YAÐLICA;0%
Kadýnhaný;YAYLAYAKA;40%
Karapýnar;HOTAMIÞ;80%
Karapýnar;KESMEZ;80%
Karapýnar;AKÇAYAZI;10%
Karapýnar;AKÖREN;80%
Karapýnar;ÇÝÐÝL;70%
Karapýnar;HASANOBA;80%
Karapýnar;ÝSLÝK;70%
Karapýnar;KARAKIÞLA;50%
Karapýnar;KAYACIK;85%
Karapýnar;KAYALI;30%
Karapýnar;KAZANHÜYÜÐÜ;80%
Karapýnar;KÜÇÜKAÞLAMA;60%
Karapýnar;ORTAOBA;90%
Karapýnar;OYMALI;65%
Karapýnar;SAZLIPINAR;95%
Karapýnar;YAÐMAPINAR;35%
Karapýnar;YENÝKUYU;40%
Karapýnar;YEÞÝLYURT;20%
Karatay;YARMA;80%
Karatay;ACIDORT;60%
Karatay;AÐSAKLI;65%
Karatay;AKBAÞ;20%
Karatay;AKÖRENKIÞLA;50%
Karatay;BAKIRTOLU;80%
Karatay;BAÞGÖTÜREN;90%
Karatay;BEÞAÐIL;85%
Karatay;BÜYÜKBURNAK;90%
Karatay;ÇENGÝLTÝ;70%
Karatay;DÝVANLAR;0%
Karatay;ESENTEPE;90%
Karatay;GÖÇÜ;50%
Karatay;HAYIROÐLU MERKEZ;60%
Karatay;ÝPEKLER;30%
Karatay;ÝSMÝL;80%
Karatay;KARADONA;10%
Karatay;KARAKAYA;0%
Karatay;KATRANCI;45%
Karatay;KIZÖREN;60%
Karatay;KÖSEALÝ;90%
Karatay;OBRUK;90%
Karatay;OVAKAVAÐI;95%
Karatay;SAKYATAN;80%
Karatay;SÜRÜÇ;85%
Karatay;ÞATIR;90%
Karatay;YAÐLIBAYAT;10%
Karatay;YAVÞANKUYU;90%
Karatay;YENÝCE;20%
Karatay;YENÝKENT;70%
Karatay;ZÝNCÝRLÝ;10%
Kulu;ACIKUYU;5%
Kulu;AÐILBAÞI;40%
Kulu;ALTILAR;10%
Kulu;ARÞINCA;5%
Kulu;BEÞKARDEÞ;0%
Kulu;BOÐAZÖREN;0%
Kulu;BOZAN;40%
Kulu;BURUNAÐIL;10%
Kulu;CANIMANA;10%
Kulu;CELEP;5%
Kulu;DÝPDEDE;0%
Kulu;DOÐUTEPE;60%
Kulu;FEVZÝYE;20%
Kulu;GÖKLER;0%
Kulu;GÜZELYAYLA;5%
Kulu;HÝSAR;0%
Kulu;KARACADAÐ;10%
Kulu;KARACADERE;0%
Kulu;KIRKKUYU;0%
Kulu;KIRKPINAR;0%
Kulu;KOZANLI;20%
Kulu;KÖMÜÞÝNÝ;0%
Kulu;KÖÞKER;0%
Kulu;SARIYAYLA;60%
Kulu;SEYÝTAHMETLÝ;20%
Kulu;SOÐUKKUYU;10%
Kulu;ÞEREFLÝ;15%
Kulu;TAVLIÖREN;25%
Kulu;ÖMERANLI;10%
Kulu;TUZYAKA;25%
Kulu;YARAÞLI;0%
Kulu;YAZIÇAYIR;0%
Kulu;YEÞÝLTEPE;15%
Kulu;YEÞÝLYURT;20%
Kulu;ZÝNCÝRLÝKUYU;20%
Kulu;BAHADIRLI;30%
Kulu;DEÐÝRMENÖZÜ;20%
Meram;ERENKAYA;0%
Meram;YATAÐAN;2%
Meram;GÖKYURT;30%
Meram;BAYAT;10%
Meram;BORUKTOLU;60%
Meram;BOTSA;30%
Meram;ÇAYIRBAÐI;30%
Meram;ÇOMAKLAR;25%
Meram;ÇUKURÇÝMEN;25%
Meram;EVLÝYATEKKE;80%
Meram;HATUNSARAY;80%
Meram;ÝKÝPINAR;30%
Meram;ÝLYASBABA;30%
Meram;ÝNLÝCE;25%
Meram;KARAAÐAÇ;0%
Meram;KAVAK;30%
Meram;KAYADÝBÝ;50%
Meram;KAYALI;20%
Meram;KAYHÜYÜK;20%
Meram;KIZILÖREN;35%
Meram;KUMRALI;10%
Meram;SADIKLAR;20%
Meram;SAÐLIK;25%
Meram;SARIKIZ;0%
Meram;SEFAKÖY;30%
Meram;YEÞÝLDERE;30%
Meram;YEÞÝLTEKKE;15%
Meram;KAÞINHANI;70%
Sarayönü;LADÝK;5%
Sarayönü;BAHÇESARAY;10%
Sarayönü;BAÞHÜYÜK;10%
Sarayönü;BOYALI;10%
Sarayönü;BÜYÜKZENGÝ;20%
Sarayönü;ÇEÞMELÝSEBÝL;30%
Sarayönü;DEÐÝRMENLÝ;30%
Sarayönü;ERTUÐRUL;10%
Sarayönü;GÖZLÜ;25%
Sarayönü;KADIOÐLU;5%
Sarayönü;KARABIYIK;0%
Sarayönü;KARATEPE;20%
Sarayönü;KAYIÖREN;10%
Sarayönü;KONAR;10%
Sarayönü;KURÞUNLU;0%
Sarayönü;KUYULUSEBÝL;70%
Sarayönü;ÖZKENT;40%
Sarayönü;YENÝCEKAYA;80%
Selçuklu;BAÞARAKAVAK;30%
Selçuklu;hasan;%
Selçuklu;SARAYKÖY;0%
Selçuklu;SULUTAS;0%
Selçuklu;TATKÖY;0%
Selçuklu;AKPINAR;20%
Selçuklu;BAÐRIKURT;0%
Selçuklu;BÝÇER;0%
Selçuklu;ÇALDERE;25%
Selçuklu;ÇALTI;10%
Selçuklu;ÇANDIR;0%
Selçuklu;DAÐDERE;10%
Selçuklu;EÐRÝBAYAT;60%
Selçuklu;GÜVENÇ;50%
Selçuklu;KALE;10%
Selçuklu;KARAÖMERLER;50%
Selçuklu;KERVAN;0%
Selçuklu;KINIK;0%
Selçuklu;KIZILCAKUYU;0%
Selçuklu;MEYDAN;0%
Selçuklu;SELAHATTÝN;5%
Selçuklu;SIZMA;5%
Selçuklu;TEPEKENT;25%
Selçuklu;ULUMUHSÝNE;20%
Selçuklu;YAZIBELEN;50%
Selçuklu;SÝLLE;50%
Selçuklu;ARDIÇLI;50%
Selçuklu;AÞAÐIPINARBAÞI;15%
Selçuklu;YUKARIPINARBAÞI;20%
Selçuklu;KÜÇÜKMUHSÝNE;50%
Selçuklu;SARICALAR;60%
Selçuklu;TÖMEK;35%
Selçuklu;YÜKSELEN;30%
Selçuklu;Mehmet Fatih;%
Seydiþehir;KESECÝK;40%
Seydiþehir;AKÇALAR;20%
Seydiþehir;AÞAÐIKARAÖREN;75%
Seydiþehir;BAÞKARAÖREN;75%
Seydiþehir;BOSTANDERE;45%
Seydiþehir;BOYALI;50%
Seydiþehir;BÜKÇE;20%
Seydiþehir;ÇAT;35%
Seydiþehir;ÇATMAKAYA;60%
Seydiþehir;ÇAVUÞ;35%
Seydiþehir;DÝKÝLÝTAÞ;25%
Seydiþehir;GEVREKLÝ;60%
Seydiþehir;GÖKÇEHÜYÜK;40%
Seydiþehir;GÖKHÜYÜK;90%
Seydiþehir;GÖLYÜZÜ;60%
Seydiþehir;IRMAKLI;60%
Seydiþehir;ÝNCESU;70%
Seydiþehir;KARABULAK;25%
Seydiþehir;KARACAÖREN;70%
Seydiþehir;KAVAK;60%
Seydiþehir;KETENLÝ;20%
Seydiþehir;KIZILCA;80%
Seydiþehir;KOZLU;20%
Seydiþehir;KUMLUCA;50%
Seydiþehir;KURAN;25%
Seydiþehir;MADENLÝ;0%
Seydiþehir;MESUDÝYE;50%
Seydiþehir;MURADÝYE;60%
Seydiþehir;OÐLAKÇI;70%
Seydiþehir;ORTAKARAÖREN;50%
Seydiþehir;SARAYCIK;20%
Seydiþehir;SUSUZ;35%
Seydiþehir;TARAÞÇI;30%
Seydiþehir;TAÞAÐIL;60%
Seydiþehir;TEPECÝK;0%
Seydiþehir;TOL;80%
Seydiþehir;UFACIK;0%
Seydiþehir;YAYLACIK;55%
Seydiþehir;YENÝCE;0%
Taþkent;AFÞAR;5%
Taþkent;BALCILAR;30%
Taþkent;BOLAY;10%
Taþkent;ÇETMÝ;10%
Taþkent;KECÝMEN;20%
Taþkent;KONGUL;70%
Taþkent;SAZAK;30%
Taþkent;ILICAPINAR;20%
Tuzlukçu;KONARI;0%
Tuzlukçu;MEVLÜTLÜ;0%
Tuzlukçu;KORAÞI;0%
Tuzlukçu;ÇÖÐÜRLÜ;30%
Tuzlukçu;TURSUNLU;20%
Tuzlukçu;KUNDULLU;5%
Tuzlukçu;PAZARKAYA;0%
Tuzlukçu;SUBATAN;30%
Tuzlukçu;GÜRSU;20%
Tuzlukçu;ERDOÐDU;60%
