ÝLÇE ADI;MAHALLE ADI;MAHALLEDE KOOPERATÝF VAR MI?
Akþehir;ÇÝMENDERE;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;DEÐÝRMENKÖY;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;DOÐRUGÖZ;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ENGÝLÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;GÖLÇAYIR;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;GÖZPINARI;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ILICAK;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;KARABULUT;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ORTACA;YOK
Akþehir;ORTAKÖY;YOK
Akþehir;REÝS;SÜT KOOPERATÝFÝ
Akþehir;SAVAÞ;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;SORKUN;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;SÖÐÜTLÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;TEKKE;YOK
Akþehir;TÝPÝKÖY;YOK
Akþehir;ULUPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ÜÇHÜYÜK;YOK
Akþehir;YAÞARLAR;SÜT KOOPERATÝFÝ
Akþehir;YAYLABELEN;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;YAZLA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Akþehir;YENÝKÖY;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;YEÞÝLKÖY;YOK
Akþehir;SARAY;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;OÐUZELÝ;TARIMSAL KALKINMA KOOPERATÝFÝ
Altýnekin;AKCAÞAR;YOK
Altýnekin;AYIÞIÐI;YOK
Altýnekin;AKKÖY;YOK
Altýnekin;BORUKKUYU;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;HACINUMAN;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;KARAKAYA;YOK
Altýnekin;KOÇAÞ;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;KOÇYAKA;YOK
Altýnekin;MANTAR;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;YENÝÖLMEZ;YOK
Altýnekin;SARNIÇ;YOK
Altýnekin;TOPRAKLIK;TARIMSAL SULAMA KOOPERATÝFÝ
Altýnekin;YENÝKUYU;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Altýnekin;YENÝYAYLA;YOK
Altýnekin;DEDELER;YOK
Altýnekin;AKINCILAR;YOK
Beyþehir;ADAKÖY;YOK
Beyþehir;AÐILÖNÜ;YOK
Beyþehir;AKBURUN;YOK
Beyþehir;AKÇABELEN;TARIMSAL KALKINMA KOOPERATÝFÝ
Beyþehir;AVDANCIK;YOK
Beyþehir;BADEMLÝ;YOK
Beyþehir;BAYAT;YOK
Beyþehir;BAYAVÞAR;YOK
Beyþehir;BAYINDIR;YOK
Beyþehir;BAÞGÖZE;YOK
Beyþehir;BEKDEMÝR;YOK
Beyþehir;DAMLAPINAR;YOK
Beyþehir;DOÐANBEY;YOK
Beyþehir;DOÐANCIK;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;DUMANLI;YOK
Beyþehir;EMEN;TARIMSAL KALKINMA KOOPERATÝFÝ
Beyþehir;ESENCE;YOK
Beyþehir;EYLÝKLER;YOK
Beyþehir;EÐÝRLER;YOK
Beyþehir;FASILLAR;YOK
Beyþehir;GÖKÇEKUYU;YOK
Beyþehir;GÖKÇÝMEN;YOK
Beyþehir;GÖLKAÞI;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;GÖLYAKA;YOK
Beyþehir;GÖNEN;SÜT KOOPERATÝFÝ
Beyþehir;GÖÇÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;GÜNDOÐDU;YOK
Beyþehir;HUÐLU;HUÐLU AV TÜFEK KOOPERATÝFÝ
Beyþehir;HÜSEYÝNLER;YOK
Beyþehir;ÝSAKÖY;YOK
Beyþehir;KARAALÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;KARABAYAT;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;KARADÝKEN;YOK
Beyþehir;KARAHÝSAR;YOK
Beyþehir;KAYABAÞI;YOK
Beyþehir;KURUCUOVA;YOK
Beyþehir;KUÞLUCA;YOK
Beyþehir;KÜÇÜKAVÞAR;YOK
Beyþehir;MESUTLAR;YOK
Beyþehir;SADIKHACI;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;SARIKÖY;YOK
Beyþehir;SEVÝNDÝK;TARIMSAL KALKINMA KOOPERATÝFÝ
Beyþehir;ÞAMLAR;YOK
Beyþehir;ÜÇPINAR;YOK
Beyþehir;ÜSTÜNLER;YOK
Beyþehir;ÜZÜMLÜ;YOK
Beyþehir;YAZYURDU;YOK
Beyþehir;YENÝDOÐAN;TARIMSAL SULAMA KOOPERATÝFÝ
Beyþehir;YEÞÝLDAÐ;YOK
Beyþehir;YUKARIESENCE;YOK
Beyþehir;YUNUSLAR;YOK
Beyþehir;ÇÝFTLÝK;YOK
Beyþehir;ÇÝVRÝL;YOK
Beyþehir;ÇUKURAÐIL;TARIMSAL SULAMA KOOPERATÝFÝ
Bozkýr;ÇAÐLAYAN;TARIMSAL SULAMA KOOPERATÝFÝ
Bozkýr;HAMZALAR;TARIMSAL KALKINMA KOOPERATÝFÝ
Bozkýr;AKÇAPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Bozkýr;ARMUTLU;YOK
Bozkýr;ARSLANTAÞ;YOK
Bozkýr;AYDINKIÞLA;YOK
Bozkýr;AYVALCA;YOK
Bozkýr;BAÐYURDU;YOK
Bozkýr;BAYBAÐAN;TARIMSAL SULAMA KOOPERATÝFÝ
Bozkýr;BOZDAM;YOK
Bozkýr;DEREÝÇÝ;YOK
Bozkýr;DEREKÖY;YOK
Bozkýr;ELMAAÐAÇ;YOK
Bozkýr;HACILAR;YOK
Bozkýr;HACIYUNUSLAR;YOK
Bozkýr;HARMANPINAR;TARIMSAL KALKINMA KOOPERATÝFÝ
Bozkýr;HÝSARLIK;YOK
Bozkýr;IÞIKLAR;YOK
Bozkýr;KARABAYIR;YOK
Bozkýr;KARACAARDIÇ;YOK
Bozkýr;KARACAHÝSAR;YOK
Bozkýr;KARAYAHYA;YOK
Bozkýr;KAYACILAR;YOK
Bozkýr;KAYAPINAR;YOK
Bozkýr;KINIK;YOK
Bozkýr;KIZILÇAKIR;YOK
Bozkýr;KÝLDERE;TARIMSAL KALKINMA KOOPERATÝFÝ
Bozkýr;KOVANLIK;YOK
Bozkýr;KOZAÐAÇ;YOK
Bozkýr;KUÞÇA;YOK
Bozkýr;KÜÇÜKHÝSARLIK;YOK
Bozkýr;PINARCIK;YOK
Bozkýr;SARIOÐLAN;TARIMSAL KALKINMA KOOPERATÝFÝ
Bozkýr;SAZLI;YOK
Bozkýr;SOÐUCAK;YOK
Bozkýr;SORKUN;YOK
Bozkýr;SÖÐÜT;TARIMSAL SULAMA KOOPERATÝFÝ
Bozkýr;TARLABAÞI;YOK
Bozkýr;TAÞBAÞI;YOK
Bozkýr;TEPEARASI;YOK
Bozkýr;TEPELÝCE;YOK
Bozkýr;ULUPINAR;YOK
Bozkýr;ÜÇPINAR;TARIMSAL KALKINMA KOOPERATÝFÝ
Bozkýr;YALNIZCA;YOK
Bozkýr;YAZDAMI;YOK
Bozkýr;YELBEYÝ;YOK
Bozkýr;YENÝKÖY;YOK
Bozkýr;YOLÖREN;YOK
Çeltik;GÖKPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;ADAKASIM;YOK
Çeltik;DOÐANYURT;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;KAÞÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;KÜÇÜKHASAN;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;TORUNLAR;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;ÝSHAKUÞAÐI;TARIMSAL SULAMA KOOPERATÝFÝ
Çeltik;HONAMLI;TARIMSAL SULAMA KOOPERATÝFÝ
Cihanbeyli;BÖÐRÜDELÝK;TARIMSAL SULAMA KOOPERATÝFÝ
Cihanbeyli;YAPALI;YOK
Cihanbeyli;YENÝCEOBA;TARIM KREDÝ KOOPERATÝFÝ, PANCAR EKÝCÝLERÝ KOOPERATÝFÝ
Cihanbeyli;CUMHURÝYET;YOK
Cihanbeyli;GEMECÝK;YOK
Cihanbeyli;GÖKTEPE;YOK
Cihanbeyli;AÐABEYLÝ;SÜT KOOPERATÝFÝ
Cihanbeyli;HODOÐLU;TARIMSAL KALKINMA KOOPERATÝFÝ
Cihanbeyli;KAYI;YOK
Cihanbeyli;KIRKIÞLA;TARIMSAL KALKINMA KOOPERATÝFÝ
Cihanbeyli;KORKMAZLAR;YOK
Cihanbeyli;KÜÇÜKBEÞKAVAK;YOK
Cihanbeyli;MUTLUKONAK;YOK
Cihanbeyli;SAÐLIK;YOK
Cihanbeyli;SIÐIRCIK;TARIMSAL SULAMA KOOPERATÝFÝ
Cihanbeyli;TURANLAR;YOK
Cihanbeyli;TÜFEKÇÝPINAR;YOK
Cihanbeyli;UZUNCAYAYLA;YOK
Cihanbeyli;YÜNLÜKUYU;YOK
Cihanbeyli;ZAFERÝYE;TARIMSAL KALKINMA KOOPERATÝFÝ
Cihanbeyli;GÖLYAZI;SÜT KOOPERATÝFÝ
Cihanbeyli;GÜNYÜZÜ;TARIM KREDÝ KOOPERATÝFÝ, PANCAR EKÝCÝLERÝ KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Cihanbeyli;ÝNSUYU;YOK
Cihanbeyli;KANDÝL;TARIM KREDÝ KOOPERATÝFÝ
Cihanbeyli;KARABAÐ;YOK
Cihanbeyli;KELHASAN;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Cihanbeyli;KUÞCA;YOK
Cihanbeyli;KÜTÜKUÞAÐI;YOK
Cihanbeyli;TAÞPINAR;SÜT KOOPERATÝFÝ
Cihanbeyli;BEYLÝOVA;TARIM KREDÝ KOOPERATÝFÝ
Cihanbeyli;ÇÝMEN;YOK
Cihanbeyli;ÇÖL;YOK
Cihanbeyli;DAMLAKUYU;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Cihanbeyli;BULDUK;YOK
Cihanbeyli;BÜYÜKBEÞKAVAK;YOK
Cihanbeyli;KARATEPE;YOK
Çumra;ARIKÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;DEDEMOÐLU;YOK
Çumra;TÜRKMENCAMÝLÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;A.B.HÜYÜÐÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;DÝNEK;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;ÝÇERÝÇUMRA;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;GÜVERCÝNLÝK;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Çumra;KARKIN;TARIMSAL KALKINMA KOOPERATÝFÝ
Çumra;OKÇU;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;YENÝSU;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;APA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, PANCAR EKÝCÝLERÝ KOOPERATÝFÝ
Çumra;ABDÝTOLU;YOK
Çumra;ADAKALE;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;ALEMDAR;YOK
Çumra;APASARAYCIK;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;AFÞAR;YOK
Çumra;AVDUL;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;BALÇIKHÝSAR;TARIMSAL KALKINMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Çumra;BEYLERCE;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;B.AÞLAMA;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;CÝCEK;YOK
Çumra;ÇUKURKAVAK;YOK
Çumra;DÝNLENDÝK;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;DÝNEKSARAY;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;DOÐANLI;YOK
Çumra;FETHÝYE;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;GÖKHÜYÜK;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;ERENTEPE;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Çumra;ÝNLÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;KUZUCU;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;KÜÇÜKKÖY;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Çumra;SEÇME;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;SÜRGÜÇ;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;TAHTALI;YOK
Çumra;T.KARAHÜYÜK;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;TAÞAÐIL;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;UZUNKUYU;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;ÜÇHÜYÜK;YOK
Çumra;ÜRÜNLÜ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;YÖRÜKCAMÝLÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Çumra;ÇAYBAÞI;TARIMSAL SULAMA KOOPERATÝFÝ
Derbent;ÇÝFTLÝKÖZÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Derbent;DEÐÝÞ;YOK
Derbent;TEKKE;TARIMSAL KALKINMA KOOPERATÝFÝ
Derbent;GÜNEYKÖY;YOK
Derbent;MÜLAYÝM;YOK
Derbent;SARAYPINAR;YOK
Derbent;YASSIÖREN;YOK
Derbent;SÜLEYMAN;YOK
Derbent;KARALAR;YOK
Derebucak;ÇAMLIK;YOK
Derebucak;DURAK;YOK
Derebucak;GENCEK;TARIMSAL SULAMA KOOPERATÝFÝ
Derebucak;GÖYNEM;TARIMSAL KALKINMA KOOPERATÝFÝ
Derebucak;PINARBAÞI;TARIMSAL KALKINMA KOOPERATÝFÝ
Derebucak;TAÞLIPINAR;YOK
Derebucak;TEPEARASI;YOK
Derebucak;UÐURLU;YOK
Doðanhisar;BAÞKÖY;TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;YAZLICA;TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;AYASLAR;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;ÇINAROBA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;DEÞTÝÐÝN;TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;FIRINLI;TARIMSAL KALKINMA KOOPERATÝFÝ
Doðanhisar;GÜVENDÝK;TARIMSAL KALKINMA KOOPERATÝFÝ
Doðanhisar;ÝLYASLAR;TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;KARAAÐA;YOK
Doðanhisar;KEMER;YOK
Doðanhisar;KOÇAÞ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;KONAKKALE;TARIMSAL SULAMA KOOPERATÝFÝ
Doðanhisar;TEKKE;YOK
Doðanhisar;UNCULAR;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Doðanhisar;YAZIR;YOK
Doðanhisar;YENÝCE;TARIMSAL SULAMA KOOPERATÝFÝ
Emirgazi;EKÝZLÝ;YOK
Emirgazi;AKMESCÝT;TARIMSAL SULAMA KOOPERATÝFÝ
Emirgazi;BESCÝ;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Emirgazi;DEMÝRCÝ;SÜT KOOPERATÝFÝ
Emirgazi;GÖLÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Emirgazi;IÞIKLAR;TARIMSAL SULAMA KOOPERATÝFÝ
Emirgazi;KARAÖREN;YOK
Emirgazi;MEÞELÝ;YOK
Emirgazi;ÖBEKTAÞ;YOK
Emirgazi;YAMAÇ;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;ZENGEN;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Ereðli;ACIPINAR;YOK
Ereðli;ADABAÐ;YOK
Ereðli;AKHÜYÜK;YOK
Ereðli;ALHAN;YOK
Ereðli;AÞAÐI GÖNDELEN;YOK
Ereðli;AÞIKLAR;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;AZÝZÝYE;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;BAHÇELÝ;YOK
Ereðli;BELCEAÐAÇ;YOK
Ereðli;BELKAYA;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Ereðli;BEYKÖY;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;BEYÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;BULGURLUK;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;BURHANÝYE;YOK
Ereðli;BÜYÜKDEDE;YOK
Ereðli;ÇAKMAK;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Ereðli;ÇAYHAN;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;ÇÝLLER;YOK
Ereðli;ÇÝMENCÝK;YOK
Ereðli;GAYBÝ;YOK
Ereðli;GÖKÇEYAZI;YOK
Ereðli;GÖKTÖME;YOK
Ereðli;HACIMEMÝÞ;YOK
Ereðli;KAMIÞLIKUYU;YOK
Ereðli;KARABURUN;YOK
Ereðli;KARGACI;YOK
Ereðli;KIZILGEDÝK;YOK
Ereðli;KUSKUNCUK;YOK
Ereðli;KUTÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;KUZUKUYU;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;MELÝCEK;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;ORHANÝYE;YOK
Ereðli;ÖZGÜRLER;YOK
Ereðli;PINARÖZÜ;YOK
Ereðli;SARICA;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;SARITOPALLI;YOK
Ereðli;SELVÝLÝ;YOK
Ereðli;TAÞAÐIL;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;TAÞBUDAK;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;TATLIKUYU;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;TÜRKMEN;YOK
Ereðli;ULUMEÞE;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;YAZLIK;YOK
Ereðli;YELLÝCE;YOK
Ereðli;YENÝKÖY;SÜT KOOPERATÝFÝ
Ereðli;YILDIZLI;TARIMSAL KALKINMA KOOPERATÝFÝ
Ereðli;YUKARIGÖNDELEN;YOK
Ereðli;HORTU;TARIMSAL SULAMA KOOPERATÝFÝ
Ereðli;ACIKUYU;YOK
Güneysýnýr;GÜRAÐAÇ;YOK
Güneysýnýr;AÐAÇOBA;TARIMSAL SULAMA KOOPERATÝFÝ
Güneysýnýr;ALANÖZÜ;TARIMSAL SULAMA KOOPERATÝFÝ
Güneysýnýr;AVCITEPE;YOK
Güneysýnýr;AYDOÐMUÞ;YOK
Güneysýnýr;HABÝLLER;TARIMSAL SULAMA KOOPERATÝFÝ
Güneysýnýr;KARAGÜNEY;YOK
Güneysýnýr;KAYAAÐZI;YOK
Güneysýnýr;KIZILÖZ;YOK
Güneysýnýr;KURUKAVAK;YOK
Güneysýnýr;MEHMET ALÝ;YOK
Güneysýnýr;ÖMEROÐLU;YOK
Güneysýnýr;ÖRENBOYALI;YOK
Güneysýnýr;SARIHACI;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;AÞAÐIEÞENLER;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Hadim;AÞAÐIKIZILKAYA;YOK
Hadim;BADEMLÝ;YOK
Hadim;BAÐBAÞI;TARIMSAL KALKINMA KOOPERATÝFÝ
Hadim;BEYRELÝ;YOK
Hadim;BOLAT;YOK
Hadim;ÇÝFTEPINAR;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;DEDEMLÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;DÜLGERLER;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;FAKILAR;YOK
Hadim;GAZÝLER;YOK
Hadim;GÖYNÜKKIÞLA;YOK
Hadim;GÜLPINAR;TARIMSAL KALKINMA KOOPERATÝFÝ
Hadim;ÝÐDEÖREN;YOK
Hadim;KALINAÐIL;YOK
Hadim;KAPLANLI;YOK
Hadim;GEZLEVÝ;YOK
Hadim;KÜPLÜCE;YOK
Hadim;ODUNCU;YOK
Hadim;SARNIÇ;YOK
Hadim;SELAHATTÝN;YOK
Hadim;UMURLAR;YOK
Hadim;YAÐCI;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;YALINÇEVRE;YOK
Hadim;YELMEZ;TARIMSAL SULAMA KOOPERATÝFÝ
Hadim;YENÝKONAK;YOK
Hadim;YUKARIEÞENLER;YOK
Halkapýnar;ÝVRÝZ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Halkapýnar;BÜYÜKDOÐAN;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Halkapýnar;DEDELÝ;YOK
Halkapýnar;DELÝMAHMUTLU;YOK
Halkapýnar;ESKÝHÝSAR;YOK
Halkapýnar;KARAYUSUFLU;YOK
Halkapýnar;KAYASARAY;TARIMSAL SULAMA KOOPERATÝFÝ
Halkapýnar;KÖRLÜ;YOK
Halkapýnar;KÜSERE;TARIMSAL KALKINMA KOOPERATÝFÝ
Halkapýnar;OSMANKÖSELÝ;TARIMSAL KALKINMA KOOPERATÝFÝ
Halkapýnar;SEYDÝFAKILI;TARIMSAL KALKINMA KOOPERATÝFÝ
Halkapýnar;YASSIKAYA;YOK
Halkapýnar;YAYIKLI;YOK
Halkapýnar;YEÞÝLYURT;YOK
Halkapýnar;ÇAKILLAR;YOK
Hüyük;BAÞLAMIÞ;YOK
Hüyük;BUDAK;YOK
Hüyük;BURUNSUZ;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;ÇAMLICA;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;ÇAVUÞ;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;ÇUKURKENT;YOK
Hüyük;DEÐÝRMENALTI;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;GÖÇERÝ;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;GÖRÜNMEZ;YOK
Hüyük;ÝLMEN;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;ÝMRENLER;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;KIRELÝ;TARIMSAL KALKINMA KOOPERATÝFÝ
Hüyük;KÖÞK;TARIMSAL KALKINMA KOOPERATÝFÝ
Hüyük;MUTLU;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;PINARBAÞI;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;SELKÝ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Hüyük;SULUDERE;TARIMSAL SULAMA KOOPERATÝFÝ
Hüyük;TOLCA;DÝÐER
Hüyük;YENÝCE;TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ
Ilgýn;ARGITHANI;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Ilgýn;BEYKONAK;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ, TARIM KREDÝ KOOPERATÝFÝ
Ilgýn;ÇAVUÞÇUGÖL;TARIMSAL SULAMA KOOPERATÝFÝ
