,İLÇE ADI,MAHALLE ADI,"ARICILIK
","BESLENEN HAYVAN TÜRLERİ
","SULAMA SUYU KAYNAĞI YÖNETİMİ
","HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
","SULANABİLİR ALANDA YETİŞTİRİLEN ÜRÜNLER
","TARIMSAL SULAMA SUYU KAYNAĞI
","İYİ TARIM UYGULAMALARI
","TARIMSAL SULAMA SUYU
","DOĞRUDAN SATIN ALINABİLECEK ÜRÜNLER
","SULAK ALAN MİKTARI
","MEŞHUR ÜRÜNLER
","EN ÇOK YETİŞTİRİLEN ÜRÜNLER
","TRAKTÖR SAYISI
","BİREYSEL ARAZİ ORTALAMASI
","ALTERNATİF YENİ ÜRÜN ÇEŞİTLERİ ÜRETİMİ
","ENDEMİK (SADECE BU BÖLGEDE YETİŞEN) BİTKİLER
","TALEP EDİLEN TARIMSAL EĞİTİMLER
","TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
"
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ELMA, ARPA, KİRAZ
","10%
","BALIK
","BUĞDAY, ARPA
","80 Adet
","20 Dekar
","YOK
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

43,Beyşehir,GÖÇÜ,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","YULAF, FİĞ, ARPA
","ŞEKER PANCARI, FASULYE, DOMATES, BİBER, PATATES
","ÇAY, ŞAHSİ KUYULAR
","HAYIR
","VAR
","PATATES, NOHUT, DOMATES, BİBER, SOĞAN, FASULYE
","60%
","TARHANA, YOĞURT, PEYNİR
","BUĞDAY, ARPA, NOHUT, FASULYE
","180 Adet
","80 Dekar
","YOK
","ÇOBAN DÖŞEĞİ
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, HAYVANCILIK, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

44,Beyşehir,GÜNDOĞDU,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, YONCA, HAZIR YEM
","ŞEKER PANCARI, FASULYE
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA
","20%
","TARHANA, PEYNİR
","BUĞDAY, NOHUT
","20 Adet
","10 Dekar
","ASPİR
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

45,Beyşehir,HUĞLU,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","CEVİZ, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
","BARAJ, GÖLET, YERALTI SULARI
","HAYIR
","VAR
","PATATES, DOMATES
","20%
","TÜFEK
","MISIR, PATATES, ÇİLEK, NOHUT
","2 Adet
","15 Dekar
","ÜZÜM, CEVİZ
","YOK
","YOK
","KEKİK
"

46,Beyşehir,İSAKÖY,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","ARPA, HAZIR YEM
","BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, BİBER, PATLICAN, PATATES
","KANAL
","HAYIR
","VAR
","ŞEKER PANCARI, NOHUT, BUĞDAY, DOMATES, ARMUT, SALATALIK, FASULYE, PATLICAN
","20%
","TARHANA
","BUĞDAY, ARPA, ŞEKER PANCARI, NOHUT
","150 Adet
","50 Dekar
","MERCİMEK, ASPİR
","YOK
","TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","IHLAMUR, KEKİK, ADA ÇAYI
"

47,Beyşehir,KARADİKEN,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, FASULYE, KAVUN, KARPUZ, DOMATES, BİBER
","GÖL
","HAYIR
","VAR
","NOHUT, ELMA, ÜZÜM, DOMATES, ARPA, KAVUN, BİBER, FASULYE, KARPUZ
","40%
","SÜT
","BUĞDAY, ARPA, KAVUN, BİBER, NOHUT
","50 Adet
","30 Dekar
","YOK
","SAZ SÜMBÜLÜ
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","OĞUL OTU, KEKİK, ADA ÇAYI
"

48,Beyşehir,KARAHİSAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","KÜSPE, ARPA, SİLAJLIK MISIR
","ŞEKER PANCARI, MISIR, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES
","GÖL, KANAL
","EVET
","VAR
","ŞEKER PANCARI, PATATES, BUĞDAY, BAMYA, ARPA, KAVUN
","65%
","TARHANA, SALÇA
","BUĞDAY, PATATES, ARPA, ŞEKER PANCARI
","40 Adet
","25 Dekar
","ASPİR
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

49,Beyşehir,SADIKHACI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA KOOPERATİFİ
","KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR
","YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, NOHUT, BUĞDAY, ARPA, MERCİMEK
","20%
","SÜT, YAĞ, YOĞURT, CANLI HAYVAN
","BUĞDAY, ARPA, MERCİMEK, NOHUT
","671 Adet
","30 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ, BİOTEKNİK MÜCADELE VE İYİ TARIM UYGULAMALARI
","HAŞHAŞ
"

50,Beyşehir,ŞAMLAR,"EVET
","KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","YULAF, KÜSPE, SAMAN, HAZIR YEM
","DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK
","ŞAHSİ KUYULAR, GÖLET
","HAYIR
","VAR
","BUĞDAY, DOMATES, ARPA
","10%
","TARHANA
","BUĞDAY, DOMATES, PATATES, FASULYE, PATLICAN
","3 Adet
","10 Dekar
","BEZELYE, ASPİR
","YOK
","MODERN MEYVECİLİK, MODERN BAĞCILIK
","YOK
"

51,Beyşehir,ÜÇPINAR,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, SİLAJLIK MISIR
","ŞEKER PANCARI, DOMATES, BİBER, PATLICAN, PATATES
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ŞEKER PANCARI, PATATES, NOHUT, BUĞDAY, ARPA
","10%
","BAL, TARHANA
","BUĞDAY, ARPA
","10 Adet
","25 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, ARI YETİŞTİRİCİLİĞİ
","IHLAMUR, KEKİK, ADA ÇAYI
"

52,Beyşehir,ÜZÜMLÜ,"HAYIR
","YOK
","ŞAHSİ KUYULAR
","YOK
","ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN
","GÖLET
","HAYIR
","VAR
","ELMA, CEVİZ, FASULYE
","25%
","PEKMEZ, TÜFEK
","ELMA, CEVİZ, FASULYE
","30 Adet
","10 Dekar
","YOK
","YOK
","YOK
","YOK
"

53,Beyşehir,YEŞİLDAĞ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","BUĞDAY, FİĞ, ARPA, YONCA
","FASULYE, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN
","AKARSU
","HAYIR
","VAR
","PATATES, BUĞDAY, DOMATES, SALATALIK, ARPA, BİBER, SOĞAN
","45%
","TARHANA, YOĞURT, PEYNİR, SALÇA
","BUĞDAY, DOMATES, PATATES, ARPA
","150 Adet
","12 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ
","IHLAMUR, KEKİK, ADA ÇAYI
"

54,Beyşehir,ÇİFTLİK,"EVET
","BÜYÜKBAŞ
","SULAMA BİRLİĞİ
","SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, PATATES
","GÖLET
","HAYIR
","VAR
","PATATES, NOHUT, BUĞDAY, ELMA, MERCİMEK
","35%
","CANLI HAYVAN, BALIK
","BUĞDAY, ARPA, MERCİMEK, NOHUT, PATLICAN
","60 Adet
","60 Dekar
","ASPİR
","YOK
","SEBZE YETİŞTİRİCİLİĞİ
","YOK
"

55,Beyşehir,ÇİVRİL,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","SULAMA BİRLİĞİ
","ARPA, HAZIR YEM
","ŞEKER PANCARI, ÜZÜM, DOMATES, PATATES
","KANAL
","HAYIR
","VAR
","ŞEKER PANCARI, ÜZÜM, DOMATES
","10%
","SÜT
","DOMATES, PATATES, ŞEKER PANCARI
","10 Adet
","20 Dekar
","SARIMSAK, AHUDUDU, BÖĞÜRTLEN, KORUNGA
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

56,Bozkır,ÇAĞLAYAN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SİLAJLIK MISIR, HAZIR YEM
","ELMA, KİRAZ, VİŞNE, ÜZÜM
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ELMA, ÜZÜM, KİRAZ
","15%
","BAL, PEKMEZ
","ELMA, ÜZÜM, KİRAZ, VİŞNE
","4 Adet
","20 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
","DAĞ ÇAYI, KEKİK
"

57,Bozkır,HAMZALAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ELMA, KİRAZ, ÜZÜM, ÇİLEK
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ELMA, ÜZÜM, KİRAZ, ÇİLEK
","30%
","PEKMEZ
","ELMA, ÜZÜM, KİRAZ, ÇİLEK
","6 Adet
","5 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
","YOK
"

58,Bozkır,AYDINKIŞLA,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, HAZIR YEM
","DOMATES, PATATES
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","YOK
","10%
","SÜT, CANLI HAYVAN
","DOMATES, PATATES
","2 Adet
","8 Dekar
","YOK
","YOK
","HAYVANCILIK
","YOK
"

59,Bozkır,BAĞYURDU,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, HAZIR YEM
","ELMA, KİRAZ, ARMUT
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ELMA, ARPA, KİRAZ, MERCİMEK, ERİK
","10%
","SÜT, YOĞURT, PEKMEZ
","BUĞDAY, ELMA, ARPA, MERCİMEK, NOHUT
","25 Adet
","20 Dekar
","YOK
","YOK
","MODERN MEYVECİLİK
","YOK
"

60,Bozkır,BOZDAM,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN, HAZIR YEM
","ELMA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ELMA, ARPA
","20%
","SÜT
","ELMA
","10 Adet
","35 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK
","YOK
"

61,Bozkır,DEREİÇİ,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ
","SAMAN, SİLAJLIK MISIR, HAZIR YEM
","KİRAZ, ÜZÜM
","GÖLET
","HAYIR
","VAR
","ÜZÜM, KİRAZ, ERİK, SARIMSAK
","50%
","PEKMEZ
","ÜZÜM, KİRAZ, ERİK, SARIMSAK
","5 Adet
","6 Dekar
","CEVİZ, BADEM
","YOK
","MODERN MEYVECİLİK
","KİŞNİŞ
"

62,Bozkır,DEREKÖY,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA BİRLİĞİ, BELEDİYE
","BUĞDAY, ARPA, SAMAN, HAZIR YEM
","ELMA, PATATES
","ÇAY
","HAYIR
","VAR
","PATATES, ELMA, KİRAZ
","10%
","TAHİN
","ELMA, PATATES, KİRAZ
","2 Adet
","5 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, SEBZE YETİŞTİRİCİLİĞİ, MODERN MEYVECİLİK, ARI YETİŞTİRİCİLİĞİ
","YOK
"

63,Bozkır,HACILAR,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","BUĞDAY, ARPA, SAMAN
","ELMA, KİRAZ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","PATATES, ELMA, KİRAZ, SOĞAN
","15%
","SÜT, YOĞURT
","ELMA, PATATES, KİRAZ
","5 Adet
","25 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","ÇÖREKOTU
"

64,Bozkır,HİSARLIK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ, KANATLI HAYVAN
","ŞAHSİ KUYULAR
","BUĞDAY, KÜSPE, SAMAN, SİLAJLIK MISIR
","ÜZÜM
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","ELMA, ÜZÜM, ARMUT, KİRAZ
","10%
","BAL, PEKMEZ
","ÜZÜM
","1 Adet
","5 Dekar
","GOJİ BERRY, ÇİLEK
","YOK
","ARI YETİŞTİRİCİLİĞİ, MANTAR YETİŞTİRİCİLİĞİ
","YOK
"

65,Bozkır,KAYACILAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, HAZIR YEM
","KAVUN, KARPUZ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, KAVUN, KARPUZ
","0%
","SÜT, YAĞ, YOĞURT
","BUĞDAY
","12 Adet
","15 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK
","YOK
"

66,Bozkır,KAYAPINAR,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM
","ÜZÜM, PATATES
","ŞAHSİ KUYULAR, AKARSU
","HAYIR
","VAR
","PATATES, ÜZÜM
","30%
","SÜT, YOĞURT, PEYNİR
","ÜZÜM, PATATES
","0 Adet
","7 Dekar
","KİRAZ
","YOK
","HAYVANCILIK
","YOK
"

67,Bozkır,KOZAĞAÇ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, YONCA, HAZIR YEM
","ELMA, KİRAZ, ERİK, CEVİZ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","ELMA, ÜZÜM, KİRAZ, CEVİZ
","60%
","SÜT
","CEVİZ
","8 Adet
","10 Dekar
","YOK
","YOK
","MODERN MEYVECİLİK, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
","YOK
"

68,Bozkır,KÜÇÜKHİSARLIK,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA
","ELMA, KİRAZ, ÜZÜM, DOMATES, PATLICAN
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","PATATES, ELMA, KİRAZ, FASULYE, PATLICAN
","5%
","SÜT, YAĞ
","ÜZÜM, FASULYE, PATLICAN
","0 Adet
","20 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, MODERN BAĞCILIK
","NANE, ADA ÇAYI
"

69,Bozkır,SARIOĞLAN,"HAYIR
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, SİLAJLIK MISIR
","BUĞDAY, ARPA, NOHUT
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA
","10%
","SÜT
","BUĞDAY, ARPA, NOHUT
","90 Adet
","10 Dekar
","ÇİLEK
","YOK
","ÇİLEK YETİŞTİRİCİLİĞİ
","YOK
"

70,Bozkır,SAZLI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ELMA, KİRAZ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ELMA, ARPA, KİRAZ
","10%
","PEKMEZ
","BUĞDAY, ELMA, ARPA
","50 Adet
","30 Dekar
","ÇİLEK, AHUDUDU
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
","DAĞ ÇAYI, KEKİK
"

71,Bozkır,SORKUN,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN
","FASULYE, PATATES
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","PATATES, FASULYE
","10%
","SÜT, YAĞ
","PATATES, FASULYE
","1 Adet
","5 Dekar
","ÇİLEK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
","YOK
"

72,Bozkır,TEPELİCE,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, SİLAJLIK MISIR, HAZIR YEM
","BUĞDAY, ARPA, NOHUT
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","NOHUT, BUĞDAY, ARPA
","5%
","SÜT
","BUĞDAY, ARPA, NOHUT
","2 Adet
","15 Dekar
","YOK
","YOK
","HAYVANCILIK
","NANE, DAĞ ÇAYI, KEKİK
"

73,Bozkır,ÜÇPINAR,"EVET
","BÜYÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ELMA, PATATES
","ŞAHSİ KUYULAR, DERE
","HAYIR
","VAR
","DOMATES, KİRAZ
","25%
","SÜT, YAĞ, BAL, YOĞURT, PEYNİR
","KİRAZ, ÇİLEK
","0 Adet
","20 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ, HAYVANCILIK, ARI YETİŞTİRİCİLİĞİ
","NANE, DAĞ ÇAYI, KEKİK
"

74,Bozkır,YELBEYİ,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ELMA, KİRAZ, ÜZÜM
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","NOHUT, BUĞDAY, ELMA, ÜZÜM, ARPA, MERCİMEK
","10%
","PEKMEZ
","BUĞDAY, ELMA, ÜZÜM
","7 Adet
","7 Dekar
","YOK
","YOK
","SEBZE YETİŞTİRİCİLİĞİ
","YOK
"

75,Çeltik,ADAKASIM,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","ARPA, SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE
","YERALTI SULARI
","EVET
","VAR
","ŞEKER PANCARI, BUĞDAY, YULAF, ARPA, FASULYE
","35%
","SÜT, YOĞURT, PEYNİR
","BUĞDAY, YULAF, ARPA, REZENE, ŞEKER PANCARI, FASULYE
","120 Adet
","30 Dekar
","REZENE
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ
","REZENE, KİMYON
"

76,Çeltik,DOĞANYURT,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SAMAN, YONCA
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA
","25%
","PEYNİR
","MISIR, BUĞDAY, ARPA, ŞEKER PANCARI
","35 Adet
","125 Dekar
","ASPİR
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ASPİR, KİMYON
"

77,Çeltik,KAŞÖREN,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","KÜSPE, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KANOLA
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, HAŞHAŞ, ARPA, AYÇİÇEĞİ, KANOLA, ÇEREZLİK KABAK
","60%
","SÜT, YAĞ, PEYNİR
","MISIR, BUĞDAY, HAŞHAŞ, ÇEREZLİK KABAK, ARPA, AYÇİÇEĞİ, REZENE, ŞEKER PANCARI
","150 Adet
","180 Dekar
","REZENE, KANOLA
","YOK
","MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","HAŞHAŞ, REZENE
"

78,Çeltik,TORUNLAR,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ
","AKARSU, YERALTI SULARI
","EVET
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, HAŞHAŞ, ARPA, AYÇİÇEĞİ, MERCİMEK, KAVUN, KARPUZ, ÇEREZLİK KABAK
","70%
","SÜT, YOĞURT
","MISIR, BUĞDAY, ÇEREZLİK KABAK, ARPA, KAVUN, ŞEKER PANCARI
","120 Adet
","200 Dekar
","KANOLA
","YOK
","HAYVANCILIK
","YOK
"

79,Çeltik,İSHAKUŞAĞI,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","KÜSPE, ARPA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, REZENE
","YERALTI SULARI
","EVET
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","70%
","SÜT, YOĞURT, PEYNİR
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ, REZENE
","400 Adet
","180 Dekar
","REZENE
","YOK
","MODERN SULAMA SİSTEMLERİ, KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","ÇÖREKOTU, REZENE, KİMYON
"

80,Çeltik,HONAMLI,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR, SULAMA KOOPERATİFİ
","ARPA, SAMAN, YONCA, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, PATATES, BUĞDAY, AYÇİÇEĞİ, SOĞAN, FASULYE, ÇEREZLİK KABAK
","60%
","SÜT
","MISIR, BUĞDAY, ÇEREZLİK KABAK, AYÇİÇEĞİ, ŞEKER PANCARI, FASULYE
","1200 Adet
","500 Dekar
","YOK
","YOK
","MODERN SULAMA SİSTEMLERİ, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","NANE
"

81,Cihanbeyli,CUMHURİYET,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, SAMAN, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, YOĞURT
","BUĞDAY, ARPA
","45 Adet
","60 Dekar
","YOK
","YOK
","YOK
","KİMYON
"

82,Cihanbeyli,GEMECİK,"EVET
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","SAMAN, HAZIR YEM
","ŞEKER PANCARI, MISIR
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ELMA, ARPA
","20%
","SÜT, YAĞ, CANLI HAYVAN, PEYNİR, YUMURTA
","MISIR, BUĞDAY, ARPA, ŞEKER PANCARI
","45 Adet
","20 Dekar
","ÇİLEK
","YOK
","MODERN SULAMA SİSTEMLERİ, HAYVANCILIK
","KİMYON
"

83,Cihanbeyli,GÖKTEPE,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, SAMAN, HAZIR YEM
","YOK
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","BUĞDAY, ARPA, KİMYON
","5%
","SÜT, CANLI HAYVAN
","BUĞDAY, ARPA, KİMYON
","45 Adet
","70 Dekar
","ASPİR
","YOK
","HAYVANCILIK
","KİMYON
"

84,Cihanbeyli,AĞABEYLİ,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, BUĞDAY, ARPA, AYÇİÇEĞİ
","30%
","SÜT, YOĞURT, PEYNİR
","MISIR, BUĞDAY, ARPA, AYÇİÇEĞİ, ŞEKER PANCARI
","200 Adet
","250 Dekar
","YOK
","YOK
","KIRSALDAN KENTE GÜVENLİ GIDA, HAYVANCILIK
","YOK
"

85,Cihanbeyli,HODOĞLU,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","YOK
","ARPA, HAZIR YEM
","YOK
","YOK
","HAYIR
","YOK
","BUĞDAY, ARPA
","0%
","SÜT, YOĞURT, CANLI HAYVAN, PEYNİR
","BUĞDAY, ARPA
","120 Adet
","150 Dekar
","YOK
","YOK
","HAYVANCILIK, TIBBİ VE AROMATİK BİTKİ YETİŞTİRİCİLİĞİ, TARLA BİTKİLERİ YETİŞTİRİCİLİĞİ
","YOK
"

86,Cihanbeyli,KIRKIŞLA,"HAYIR
","BÜYÜKBAŞ, KÜÇÜKBAŞ
","ŞAHSİ KUYULAR
","HAZIR YEM
","ŞEKER PANCARI, MISIR, AYÇİÇEĞİ
","ŞAHSİ KUYULAR, YERALTI SULARI
","HAYIR
","VAR
","MISIR, ŞEKER PANCARI, AYÇİÇEĞİ
","40%
","SÜT, YAĞ, YOĞURT, PEYNİR
","MISIR, AYÇİÇEĞİ, ŞEKER PANCARI
