||2010|0.0||||||||||||||||||34590.0|29190.0||7850.0||2635.0||30400.0||4250.0|35100.0|1120.0|60.0|310.0||||||||||3020.0|||||500.0|||||||||||||||||
||2011|0.0||||||||||||||||||35010.0|28925.0||7770.0||2675.0||30900.0||3676.0|15400.0|1510.0|100.0|310.0|||||||||||||||500.0|||||||||||||||||
||2012|0.0||||||||||||||||||33760.0|24620.0||9450.0|1650.0|2810.0||39880.0||4361.0|8820.0|8205.0|1550.0|2000.0|||||||||||||||500.0|||||||||||||||||
||2013|0.0||||||||||||||||||38160.0|26820.0||9950.0|1600.0|2210.0||38880.0||4761.0|3450.0|8455.0|1400.0|2850.0|||||||||||||||500.0|||||||||||||||||
||2014|0.0||||||||||||||||||37660.0|25470.0||8280.0|1600.0|1805.0||219080.0||5141.0|3140.0|8775.0|1400.0|3400.0|||||||||||||||700.0|||||||||||||||||
||2015|0.0||||||||||||||||||13360.0|10100.0||7976.0|1600.0|1705.0||61150.0||4711.0|3050.0|10775.0|500.0|3600.0|||||||||||||||1000.0|||||||||||||||||
||2016|0.0||||||||||||||||||15710.0|11270.0||6646.0|1600.0|1520.0||60350.0||4711.0|2630.0|8475.0|2800.0|4100.0|||||||||||||||1000.0|||||||||||||||||
||2017|0.0||||||||||||||||||26560.0|32670.0||8460.0|1150.0|2815.0||76855.0||3881.0|1050.0|14340.0|2900.0|2850.0|||||||||||||||1400.0|||||||||||||||||
||2018|0.0||||||||||||||||||26760.0|32820.0||8305.0|1150.0|1810.0||37086.0||3881.0|1050.0|14340.0|2900.0|2850.0|||||||||||||||1700.0|||||||||||||||||
||2019|0.0||||||||||||||||||28210.0|38520.0||8470.0|1200.0|2990.0|200.0|67587.0||3921.0|1070.0|15495.0|3100.0|3280.0|||||||||||||||2150.0|||||||||||||||||
||2020|0.0||||||||||||||||||24870.0|37670.0||8505.0|1310.0|2537.0|200.0|62010.0||3613.0|1020.0|13925.0|2765.0|3260.0|||||||||||||||2000.0|||||||||||||||||
||2021|0.0||||||||||||||||||23575.0|90705.0||8723.0|1330.0|4867.0|240.0|120480.0||1796.0|1022.0|25950.0|6830.0|7315.0|||||||||||||||2200.0|||||||||||||||||
|Isparta-32|2004|0.0||0.0|0.0||||0.0|||||||||||140205.0|241172.0||11458.0|306080.0|13190.0|7490.0|71405.0|970.0|148600.0|100985.0|36780.0|9935.0|13970.0|0.0|1450.0|200.0||||0.0|||2740.0|25276.0|1050.0|1260.0|0.0|13495.0||920.0|695.0|0.0|2665.0|450.0||||0.0|||0.0||||
||2005|0.0||0.0|0.0||||0.0|||||||||||137970.0|235952.0||6179.0|195690.0|9925.0|6295.0|75770.0|770.0|178280.0|93160.0|43360.0|4060.0|14530.0|0.0|1450.0|150.0||||0.0|||2495.0|24560.0|1020.0|640.0|0.0|15225.0||1000.0|650.0|0.0|2650.0|450.0||||0.0|||0.0||||
||2006|0.0||0.0|0.0||||0.0|||||||||||124960.0|240342.0||7279.0|95540.0|15520.0|7205.0|79270.0|765.0|173490.0|93750.0|42160.0|4170.0|14600.0|0.0|1430.0|150.0||||0.0|||2360.0|24020.0|950.0|430.0|0.0|13625.0||920.0|635.0|0.0|2510.0|410.0||||0.0|||0.0||||
||2007|0.0|0.0|0.0|0.0||||10.0|||||||||||128215.0|266360.0||18780.0|139830.0|19545.0|8355.0|57360.0|665.0|189120.0|87365.0|43500.0|3320.0|12800.0|0.0|1215.0|150.0||||0.0|||2345.0|23630.0|950.0|390.0|0.0|14500.0||800.0|4140.0|150.0|2625.0|420.0||||0.0|||0.0||||
||2008|0.0|0.0|0.0|0.0||||15.0|||||||||||206080.0|451710.0||36065.0|158052.0|20190.0|8035.0|65592.0|865.0|266825.0|85610.0|47695.0|3010.0|11720.0|0.0|1215.0|100.0||||0.0|||2965.0|23970.0|950.0|285.0|0.0|17110.0||470.0|4760.0|160.0|2675.0|450.0||||0.0|||0.0||||
||2009|0.0|0.0|0.0|0.0||||50.0|||||||||||353875.0|724240.0||43770.0|314295.0|21551.0|10655.0|73442.0|855.0|270505.0|86190.0|56570.0|13400.0|15410.0|10.0|1215.0|155.0||15.0||0.0|||2855.0|64180.0|910.0|2165.0|0.0|26810.0||360.0|5810.0|160.0|2675.0|480.0|||||||0.0||||
||2010|0.0|0.0|0.0|0.0||||50.0|||||||||||370415.0|714940.0||46260.0|441775.0|23161.0|9975.0|124020.0|985.0|374660.0|69830.0|53905.0|12550.0|15070.0|10.0|1265.0|275.0||15.0||0.0|||2805.0|119705.0|910.0|2160.0|0.0|23408.0||420.0|7210.0|160.0|2675.0|480.0|||||||0.0||||
||2011|0.0|0.0|0.0|0.0||||50.0|||||||||||343465.0|607163.0||73235.0|548420.0|27240.0|8575.0|108730.0|1000.0|355405.0|44380.0|50173.0|12660.0|16955.0|10.0|10.0|187.0||15.0||0.0|||2575.0|119515.0|850.0|2180.0|0.0|42395.0||210.0|6980.0|165.0|2750.0|530.0|||||||0.0||||
||2012|0.0|0.0|0.0|0.0||||50.0|||||||||||408295.0|726473.0||86660.0|778935.0|29595.0|13665.0|104795.0|480.0|323320.0|38970.0|47865.0|11605.0|23130.0|10.0|12.0|192.0||165.0||0.0|||2850.0|119685.0|850.0|2130.0|0.0|41190.0||210.0|6850.0|0.0|2700.0|530.0|||||||0.0||||
||2013|0.0|0.0|0.0|0.0||||55.0|||||||||||418349.0|747707.0||86956.0|788441.0|31098.0|14625.0|112175.0|500.0|326221.0|51973.0|73106.0|10635.0|28787.0|15.0|20.0|261.0||182.0||0.0|||2942.0|135104.0|953.0|2227.0|0.0|41007.0||255.0|7118.0|150.0|2870.0|555.0|||||||0.0||||
||2014|0.0|0.0|0.0|0.0||||55.0|||||||||||431082.0|731032.0||125815.0|1003236.0|32714.0|15079.0|127858.0|490.0|294236.0|52658.0|65492.0|13703.0|28950.0|20.0|40.0|628.0||188.0|0.0|0.0|||2990.0|126117.0|5.0|238.0|0.0|46102.0||269.0|7358.0|150.0|2905.0|565.0|||||||0.0||||
||2015|0.0|0.0|0.0|0.0||||55.0|||||||||||371984.0|635080.0||94876.0|1070301.0|47276.0|15278.0|191667.0|489.0|308790.0|45251.0|70220.0|13793.0|36554.0|20.0|32.0|558.0||188.0|0.0|0.0|||2948.0|128572.0|5.0|232.0|0.0|43830.0||1293.0|7364.0|150.0|12445.0|565.0|||||||0.0||||
||2016|0.0|0.0|0.0|0.0||||55.0|||||||||||363819.0|583413.0||85538.0|537614.0|55904.0|15560.0|198715.0|465.0|358520.0|45135.0|45352.0|13993.0|37863.0|20.0|30.0|560.0|590.0|188.0|0.0|0.0|||2850.0|130335.0|5.0|409.0|0.0|49805.0||1312.0|7464.0|150.0|12775.0|565.0|||||||0.0|||0.0|
||2017|0.0||0.0|0.0||||55.0|||||||||||329122.0|507693.0||84594.0|600073.0|56851.0|18802.0|187556.0|456.0|365918.0|38608.0|49123.0|10845.0|39093.0||40.0|398.0|579.0||0.0|0.0|||853.0|124442.0|7.0|379.0||68551.0||1275.0|9056.0|115.0|11064.0|675.0|||||||0.0|||0.0|
||2018|0.0||0.0|0.0||||55.0|||||||||||314645.0|480625.0||74653.0|467148.0|55861.0|18290.0|169544.0|405.0|330700.0|46586.0|61868.0|10375.0|32496.0||30.0|391.0|579.0||0.0|0.0|||815.0|90203.0|8.0|413.0||86519.0||613.0|6976.0|115.0|5245.0|675.0|||||||0.0|||0.0|
||2019|0.0||0.0|0.0||||55.0|||||||||||298560.0|484987.0||63730.0|433290.0|57474.0|16880.0|159834.0|310.0|295893.0|46336.0|58990.0|9395.0|32198.0||255.0|280.0|579.0||0.0|0.0|||1075.0|84351.0|80.0|710.0||91103.0||510.0|5818.0|105.0|5095.0|825.0|||||||0.0|||0.0|
||2020|0.0||0.0|0.0||||335.0|||||||||||337617.0|612642.0||62717.0|416297.0|65134.0|16653.0|183282.0|280.0|275823.0|44986.0|53593.0|8916.0|34218.0||256.0|275.0|540.0||0.0|0.0|||1280.0|95151.0|80.0|920.0||94055.0||453.0|5733.0|163.0|8945.0|885.0|||||||0.0|||0.0|
||2021|0.0||0.0|0.0||||331.0|||||||||||345081.0|688338.0||69420.0|247443.0|67281.0|15776.0|166610.0|310.0|278976.0|37250.0|39849.0|6695.0|33310.0||257.0|280.0|500.0||0.0|0.0|||1272.0|73464.0|95.0|905.0||78243.0||411.0|5550.0|161.0|20600.0|1210.0|||||||0.0|||0.0|
|İstanbul-34|2004|0.0||0.0|0.0||||1000.0|||||||||||4580.0|2650.0|180.0|510.0|1380.0|14765.0|4630.0|1600.0|75.0|7590.0|2310.0|2487.0|50.0|6600.0|0.0|500.0|35.0||300.0|0.0|0.0|||1360.0|85.0||1500.0||2915.0||110.0|95.0|742.0|30.0||||||||||||
||2005|0.0||0.0|0.0||||1470.0|||||||||||4365.0|2774.0|30.0|360.0|860.0|11596.0|3995.0|1538.0|75.0|7260.0|2500.0|1327.0|0.0|6200.0|0.0|500.0|20.0||360.0|0.0|0.0|||1500.0|85.0|600.0|1500.0||3093.0||100.0|445.0|742.0|25.0||||||||||||
||2006|0.0||0.0|0.0||||2000.0|||||||||||4045.0|2300.0|30.0|550.0|760.0|11426.0|3990.0|1635.0|75.0|6415.0|2378.0|1255.0||5830.0|180.0|500.0|20.0||1035.0||0.0|||1450.0|15500.0|600.0|1500.0||23815.0||75.0|350.0|700.0|||||||||||||
||2007|0.0||0.0|0.0||||2110.0|||||||||||5085.0|2750.0|30.0|2240.0|800.0|10721.0|4140.0|1605.0|50.0|14305.0|2428.0|1255.0||6745.0|200.0|500.0|20.0||1635.0|0.0|0.0|||1472.0|9050.0|600.0|1500.0||26745.0||50.0|350.0|1330.0|||||||||||||
||2008|0.0||0.0|0.0||||2110.0|||||||||||5200.0|3460.0|30.0|2280.0|800.0|10515.0|4130.0|1405.0|50.0|14845.0|2408.0|1175.0||6905.0|200.0|500.0|20.0||1835.0|0.0|0.0|||1452.0|10300.0|600.0|1500.0||31740.0||70.0|350.0|1330.0|||||||||||||
||2009|0.0|0.0|0.0|0.0||||1860.0|||||||||||5110.0|3530.0|30.0|2270.0|1200.0|7845.0|4050.0|620.0|50.0|18865.0|2000.0|1025.0||5235.0|200.0|500.0|20.0||1135.0|0.0|0.0|||1630.0|19000.0|600.0|1500.0||47190.0||25.0|450.0|1200.0|||||||||||||
||2010|0.0|0.0|0.0|0.0||||1200.0|||||||||||7330.0|5320.0||400.0|10950.0|7440.0|3820.0|760.0|50.0|10190.0|370.0|600.0||4935.0|0.0||50.0||1035.0||0.0|||1430.0|3500.0|6000.0|1500.0||42540.0||25.0|50.0|1100.0|||||||||||||
||2011|0.0|0.0|0.0|0.0||||900.0|||||||||||5295.0|3485.0||320.0|11250.0|6310.0|3890.0|760.0|50.0|9241.0|310.0|440.0||5230.0|0.0||50.0||850.0|0.0|0.0|||720.0|4400.0|600.0|31097.0||47230.0||25.0|500.0|1100.0|||||||||||||
||2012|0.0|0.0|0.0|0.0||||800.0|||||||||||4460.0|2322.0||250.0|10200.0|6080.0|3785.0|760.0|50.0|9131.0|310.0|425.0||5170.0|0.0||50.0||850.0|0.0|0.0||0.0|670.0|4300.0|600.0|31097.0||48670.0||25.0|500.0|1080.0|||||||||||||
||2013|0.0|0.0|0.0|0.0||||700.0|||||||||||3885.0|1900.0||100.0|10080.0|4130.0|3835.0|710.0|50.0|7045.0|310.0|385.0||3135.0|0.0||50.0||400.0|0.0|0.0|0.0|0.0|565.0|3950.0|600.0|21500.0||48615.0||25.0|450.0|880.0|||||||||||||
||2014|0.0|0.0|0.0|0.0||||700.0|||||||||||2325.0|1385.0||50.0|9980.0|3940.0|3825.0|755.0||6220.0|300.0|400.0||2660.0|0.0||50.0||400.0|0.0|0.0|0.0|0.0|200.0|3800.0|600.0|16500.0||48885.0||0.0|400.0|780.0|||||||||||||
||2015|0.0|0.0|0.0|0.0||||700.0|||||||||||2312.0|1376.0||50.0|8980.0|3935.0|3910.0|755.0||6215.0|300.0|394.0||2160.0|0.0||50.0||300.0|0.0|0.0|0.0|0.0|195.0|3800.0|600.0|11500.0||45335.0||0.0|400.0|980.0|||||||||||||
||2016|0.0|0.0|0.0|0.0||||400.0|||||||||||2161.0|1202.0||20.0|8950.0|3852.0|3885.0|655.0||6115.0|250.0|331.0||2060.0|0.0||50.0||275.0|0.0|0.0|0.0|0.0|195.0|3250.0|600.0|9500.0||43005.0||0.0|380.0|880.0|||||||||||||
||2017|0.0|0.0|0.0|||||350.0|||||||||||2102.0|1130.0||10.0|9440.0|3792.0|3875.0|115.0||2665.0|110.0|308.0||1360.0|0.0||50.0||250.0|0.0|0.0|0.0|0.0|195.0|3338.0|600.0|6601.0||32383.0||0.0|400.0|980.0|||||||||||||
||2018|0.0|0.0|0.0|||||240.0|||||||||||2075.0|1112.0||5.0|9430.0|3690.0|3870.0|105.0||2640.0|100.0|302.0||1350.0|||50.0||250.0|0.0|0.0|0.0|0.0|205.0|3500.0|600.0|6921.0||24443.0||0.0|390.0|980.0|||||||||||||
||2019|0.0|0.0|0.0|||||230.0|||||||||||2122.0|1155.0||0.0|9445.0|3810.0|3850.0|95.0||2615.0|90.0|307.0||1340.0|||50.0||250.0|0.0|0.0|0.0|0.0|195.0|3500.0|600.0|5140.0||26213.0||2.0|380.0|980.0|||||||||||||
||2020|0.0|0.0|0.0|||||120.0|||||||||||2316.0|1037.0||0.0|9440.0|3838.0|3860.0|95.0||2665.0|95.0|324.0||1320.0|||50.0||250.0|0.0|0.0|0.0|0.0|185.0|3500.0|600.0|5140.0||25758.0||2.0|350.0|780.0|||||||||||||
||2021|0.0|0.0|0.0|||||150.0|||||||||||2340.0|1064.0||20.0|9525.0|3883.0|3853.0|134.0||2258.0|115.0|312.0||1355.0|||50.0||0.0||0.0|0.0||193.0|3500.0|0.0|5140.0||24220.0||2.0|350.0|360.0|||||||||||||
|İzmir-35|2004|0.0|0.0|0.0|0.0|0.0|||85110.0||1140.0|170.0|75.0|25.0|224875.0|0.0||250.0||4565.0|4830.0|0.0||1255.0|9350.0|4440.0|3940.0|0.0|163050.0|11325.0|203930.0|700.0|17420.0|||200.0||200.0|0.0|0.0|||600.0|1150.0|95550.0||176300.0|15510.0||0.0|10180.0|3700.0|195950.0|799250.0|||0.0||||0.0||||
||2005|0.0|0.0|0.0|0.0|0.0|||79350.0||1250.0|110.0|75.0|0.0|209020.0|0.0||950.0||5075.0|4830.0|0.0||1220.0|8450.0|4705.0|3570.0|0.0|86100.0|14015.0|156485.0|0.0|14900.0|||200.0||200.0|0.0|0.0|||600.0|1300.0|94727.0||172400.0|18750.0||0.0|10200.0|3700.0|431790.0|1183550.0|||0.0||||0.0||||
||2006|0.0|0.0|0.0|0.0|0.0|||66820.0||1240.0|75.0|25.0|0.0|92275.0|0.0||890.0||5230.0|4700.0|0.0||1170.0|8825.0|4750.0|3970.0|0.0|533550.0|13980.0|127535.0|0.0|13800.0|||200.0||200.0||0.0|||600.0|1300.0|89400.0||217750.0|15690.0||0.0|14100.0|3400.0|598500.0|2300840.0|||0.0||||0.0||||
||2007|0.0|0.0|0.0|0.0|0.0|||73260.0||680.0|115.0|0.0|30.0|81425.0|0.0||890.0||4570.0|4755.0|0.0|200.0|1230.0|10640.0|6240.0|4070.0|110.0|798668.0|11650.0|152590.0|9830.0|21070.0|||400.0||0.0|0.0|0.0|||380.0|4260.0|89950.0||177900.0|16355.0||0.0|104740.0|3650.0|828300.0|2448790.0|||0.0||||0.0||||
||2008|0.0|0.0|0.0|0.0|0.0|||71310.0||860.0|95.0|0.0|80.0|63475.0|0.0||1490.0||4700.0|5245.0|0.0|200.0|1470.0|10350.0|6280.0|5620.0|110.0|945298.0|11800.0|228490.0|15250.0|21252.0|||400.0||0.0|0.0|0.0|||380.0|4510.0|88750.0||176930.0|16135.0||0.0|197800.0|4150.0|909470.0|2568220.0|||0.0||||0.0||||
||2009|0.0|0.0|0.0|0.0|0.0|||62359.0||730.0|95.0|0.0|40.0|61195.0|10.0||4020.0||4950.0|3645.0|0.0|200.0|1470.0|11640.0|5950.0|10250.0|110.0|887539.0|1850.0|209480.0|10565.0|26917.0|||400.0||0.0|0.0|0.0|||380.0|4810.0|95620.0||146200.0|29275.0||0.0|246150.0|4000.0|974850.0|2431840.0|||0.0||||0.0||||
||2010|0.0|0.0|0.0|0.0|0.0|||60560.0||880.0|95.0|0.0|40.0|50825.0|100.0||4020.0||6650.0|3645.0|0.0|0.0|1220.0|10800.0|9430.0|10550.0|110.0|898969.0|1850.0|241160.0|12765.0|30865.0|||450.0||0.0|0.0|0.0|||480.0|21210.0|85620.0||146200.0|33105.0||0.0|200295.0|5000.0|1003500.0|2425471.0|||0.0||||0.0||||
||2011|0.0|0.0|0.0|0.0|0.0|||57945.0||1380.0|395.0|0.0|200.0|48175.0|60.0||4020.0||6700.0|3845.0|0.0|0.0|1210.0|24520.0|9710.0|10350.0|110.0|906449.0|2000.0|271910.0|15280.0|41330.0|||450.0||0.0|0.0|0.0|||480.0|21560.0|85600.0||146200.0|33440.0||0.0|249215.0|5500.0|1037100.0|2554350.0|||0.0||||0.0||||
||2012|0.0|0.0|0.0|0.0|0.0|||48905.0||1680.0|395.0|0.0|200.0|46925.0|60.0||2720.0||3020.0|1325.0|0.0|0.0|193.0|17320.0|18530.0|5750.0|110.0|940749.0|1720.0|248670.0|28380.0|33790.0|||450.0||0.0|0.0|0.0||0.0|480.0|30234.0|52975.0||65820.0|34625.0||0.0|287615.0|5000.0|721182.0|2017122.0|||0.0||||0.0||||
||2013|0.0|0.0|0.0|0.0|0.0|||42126.0||1480.0|385.0|0.0|170.0|48345.0|50.0||200.0||5365.0|1320.0|0.0|0.0|861.0|18025.0|16715.0|5992.0|110.0|781296.0|1770.0|223800.0|25174.0|44520.0|||450.0||0.0|0.0|0.0||0.0|430.0|18063.0|49450.0||62451.0|42985.0||0.0|271695.0|5500.0|646151.0|2542366.0|||0.0||||0.0||||
||2014|0.0|0.0|0.0|0.0|0.0|||46695.0||1230.0|495.0|0.0|135.0|48005.0|50.0||200.0||5355.0|1320.0|0.0|0.0|841.0|21994.0|16340.0|5940.0|100.0|802226.0|1860.0|220550.0|23109.0|53845.0|||430.0||0.0|0.0|0.0||0.0|410.0|14873.0|47150.0||59401.0|36590.0||0.0|265625.0|5500.0|583728.0|2408721.0|||0.0||||0.0||||
||2015|0.0|0.0|0.0|0.0|0.0|||48540.0||1575.0|483.0|0.0|290.0|105015.0|50.0||200.0||5350.0|1320.0|0.0|0.0|465.0|20149.0|16142.0|6080.0|100.0|804515.0|1655.0|219070.0|21994.0|54633.0|||430.0||0.0|0.0|0.0||0.0|625.0|42048.0|48050.0||58817.0|43550.0||0.0|139165.0|5500.0|599803.0|2404361.0|||0.0||||0.0||||
